Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"To be considered for admission to an associate or bachelor’s degree program, you need to have a high school diploma with a GPA of 2.0 or higher or an equivalent (GED, for example).",Not Required,True,False,False,False,False,,,program,Associate's Degree in Accounting,https://post.edu/blog/dropdowns/associates-degree/,,
,,,,,,,,,,,error,Bachelor's Degree in Accounting,https://en.wikipedia.org/wiki/Academic,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To apply for an undergraduate program, you will need to submit a completed admissions application and a high school transcript or GED. For transfer students, official college transcripts from any previously attended institutions are also required.",Not Required,True,False,True,False,False,,,program,Bachelor's Degree in Biology,https://post.edu/blog/post-university-educational-opportunities-in-online-biology/,,
Not Required,Optional,"To apply for an undergraduate program at Post, you must: Complete an online application. Submit an official high school transcript or GED score report. We also accept college transcripts for any credits you may have earned.",Not Required,True,False,False,False,False,,,program,Associate's Degree in Business,https://en.wikipedia.org/wiki/Academic,,
Not Required,Not Required,"To apply for an undergraduate degree program at Post, you must: Complete the application. Submit your official high school transcript or equivalent (GED). If you have fewer than 12 college credits, you must also submit an official high school transcript or equivalent. Submit official transcripts from all previously attended colleges and universities. Complete the Free Application for Federal Student Aid (FAFSA).",Not Required,True,False,False,False,False,,,program,Bachelor's Degree in Business,https://en.wikipedia.org/wiki/Academic,,
,,,,False,False,False,False,False,,,program,Bachelor's Degree in Child Care and Support Services Management,https://en.wikipedia.org/wiki/Academic,,
Not Required,Not Required,"To apply for our on-campus or online undergraduate programs, we just need a completed application, and your high school transcripts or GED scores.",Not Required,True,False,False,False,False,,,program,Bachelor's Degree in Child Development,https://en.wikipedia.org/wiki/Academic,,
Not Required,Not Required,"To apply for an undergraduate certificate or degree program, you must: Have a high school diploma with a GPA of 2.0 or higher or a recognized equivalent such as a GED. If you have fewer than 12 college credits from a regionally accredited institution, we will require your high school transcripts. If you have 12 or more credits, we will only require your college transcripts.",Not Required,True,False,False,False,False,,,program,Bachelor's Degree in Communications,https://en.wikipedia.org/wiki/Academic,,
,,"At Post University, we have a simple, rolling admissions process. All we require is an application and your official transcripts.",,True,False,False,False,False,,,program,Bachelor's Degree in Computer and Information Sciences,https://post.edu/academics/undergraduate-degrees-certificates/bachelor-degree-in-computer-information-systems/,,
,,,,,,,,,,,error,Bachelor's Degree in Counseling Psychology,https://post.edu/student-services/academic-affairs/university-catalog/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Associate's Degree in Criminal Justice and Safety Studies,https://online.lsu.edu/online-degree-programs/associates/associate-science-criminal-justice/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To apply for undergraduate admission, we require your completed application and proof of high school graduation—either in the form of your official high school transcripts, a GED, or a state-approved high school equivalency exam.",Not Required,True,False,False,False,False,,,program,Bachelor's Degree in Criminal Justice and Safety Studies,https://en.wikipedia.org/wiki/Academic,,
,,,,False,False,False,False,False,,,program,Bachelor's Degree in Crisis/Emergency/Disaster Management,https://en.wikipedia.org/wiki/Academic,,
