QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,School of Business,,4.0,2.0,,Fall 2026,,,"$26,365/Semester",,"$1,320/Credit","$22,000 - $30,000",,"Merit-based, Need-based",,"$26,365/Semester",Minor in Accounting,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.0,,Fall 2026,,,51270,,1075,"Up to $28,000 per year",,Merit-based,4 years,"$51,270/Year",Bachelor of Science in Accounting,https://catalog.qu.edu/programs/
,School of Communications,,4.0,2.0,,Fall 2026,,,53650,,"1,195 per credit","$15,000 to $28,000 annually",,"Merit-based, Need-based",4 years (120 credits),"$53,650/Year",Bachelor of Arts in Advertising and Integrated Communications,https://catalog.qu.edu/programs/
,School of Communications,,4.0,2.0,,,,,"$52,760/Year",,"$1,155","$10,000 - $28,000 per year",,Merit-based and need-based scholarships and grants,,"$52,760/Year",Minor in Advertising and Public Relations,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,,,Fall 2026,,,26365,,1285,"$22,000 - $28,000 per year",,"Merit-based, Alumni, Endowed/Restricted",18 credits,"$52,730/Year",Minor in Aging Studies,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,,,"$1,195","$15,000 - $28,000",,Merit-based,,"$52,920/Year",Minor in Anthropology,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.0,,Fall 2026,,,,,650,,,Merit-based,120 credits,,Bachelor of Science in Applied Business,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based",,,Minor in Applied Statistics and Data Science,https://catalog.qu.edu/programs/
,School of Engineering,,4.0,2.0,,,,,53950/Year,,1345,"$18,000 to $30,000 per year",,"Merit-based, Specialty, Donor-funded",18 credits,53950/Year,Minor in Artificial Intelligence,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$52,730/Year",,1475,"$15,000 to $28,000 per year",,Merit-based,18 credits,"$52,730/Year",Minor in Asian Studies,https://catalog.qu.edu/arts-sciences/interdisciplinary-minors/asian-studies-minor/
,School of Health Sciences,,4.0,2.5,,Fall 2026,,,2000,,1815,,,"Merit-based, Need-based",4 years,54340/Year,Bachelor of Science in Athletic Training,https://catalog.qu.edu/courses-undergraduate/at/
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,53910,"more than $35,000","$1,795","$8,000 - $30,000 per year",,"Merit-based, Specialty, Endowed/Restricted",4 years,"$53,910/Year",Bachelor of Science in Behavioral Neuroscience,https://www.qu.edu/schools/arts-and-sciences/programs/bachelors-degree/behavioral-neuroscience/
,College of Arts and Sciences,2.0,4.0,2.0,,,,,52820,,"$1,275 per credit","$18,000 - $28,000 per year",,"Merit-based, Need-based",4 years,"$52,820/Year",Bachelor of Science in Biochemistry,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,"$51,270/Year",,"$1,215","$15,000 to $28,000 annually",,Merit-based,4 years,"$51,270/Year",Bachelor of Science in Biology,https://catalog.qu.edu/arts-sciences/biological-sciences/biology-bs/biology-bs.pdf
,School of Business,,4.0,2.0,,,,,52270,,1300,,,Merit-based,4 years,"$52,270/Year",Bachelor of Science in Biomedical Marketing,https://catalog.qu.edu/business/marketing/biomedical-marketing-bs/biomedical-marketing-bs.pdf
,College of Arts and Sciences,,4.0,2.0,,,,,"$53,670/Year",,"$1,555 per credit","$18,000 to $28,000 annually",,"Merit-based, Need-based",4 years,"$53,670/Year",Bachelor of Science in Biomedical Sciences,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,53720,,1285,"$15,000 - $30,000",,Merit-based,,"$53,720/Year",Minor in Biomedical Sciences,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.0,,,,,53740/Year,,1800,"Awards for first-year students start at $18,000 and go up to $25,000.",,Merit-based,4 years,53740/Year,Bachelor of Science in Business Analytics,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.0,,Fall 2026,,,53420,,1780,"$18,000 - $30,000 per year",,"Merit-based, Need-based",18 credits,"$53,420/Year",Minor in Business Analytics,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,"$49,060/Year",,"$1,265","$15,000 to $28,000 annually",,Merit-based,4 years,"$49,060/Year",Bachelor of Science in Chemistry,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$53,090/Year",,1525,"$18,000 - $30,000 per year",,"Merit-Based Scholarships, Need-Based Grants",Minimum of 20 credits,"$53,090/Year",Minor in Chemistry,https://catalog.qu.edu/programs/
,School of Engineering,,4.0,2.0,,Fall 2026,,,"$51,670/Year",,"$1,475","$18,000 - $30,000",,"Merit-based, Need-based",4 years,"$51,670/Year",Bachelor of Science in Civil Engineering,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,52760,,1285,"$15,000–$28,000 per year",,Merit-based,4 years,"$52,760/Year",Bachelor of Arts in Communications,https://catalog.qu.edu/programs/
,School of Engineering and Business,,4.0,2.0,,Fall 2026,,,53420,,"$1,225",,,"Merit-based, Need-based",4 years,"$53,420/Year",Bachelor of Science in Computer Information Systems,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.0,,Fall 2026,,,51170,,1415,,,"Merit-based, Need-based",18 credits,"$51,170/Year",Minor in Computer Information Systems,https://catalog.qu.edu/programs/
,School of Business,,4.0,2.5,,Fall 2026,,,53710,,1790,"$15,000 - $30,000",,Merit-based,4 years,"$53,710/Year",Bachelor of Science in Computer Information Systems and Accounting,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,,,,"$15,000 to $28,000 annually",,"Academic Scholarships, Specialty Scholarships, Grants",4 years,,Bachelor of Arts in Computer Science,https://catalog.qu.edu/programs/
,School of Engineering,,4.0,2.0,,,,,53610,,1215,"$15,000 - $30,000 per year",,"Merit-based, Need-based",4 years,"$53,610/Year",Bachelor of Science in Computer Science,https://catalog.qu.edu/programs/
,School of Engineering and Computing,,4.0,2.0,,,,,,,,,,,,,Minor in Computer Science,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,,,1215,,,"Merit-based, Need-based",4 years,54420/Year,Bachelor of Arts in Criminal Justice,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.0,,,,,,,1295,,,Merit-based,,"$52,760/Year",Minor in Criminal Justice,https://catalog.qu.edu/programs/
,College of Arts and Sciences,,4.0,2.5,,,,,53580,,"$1,285","$18,000 to $30,000 per year",,"Merit-based scholarships, need-based grants",4 years,"$53,580/Year",Bachelor of Science in Data Science,https://catalog.qu.edu/arts-sciences/mathematics/data-science-bs/
,School of Health Sciences,1.0,4.0,3.0,,Fall 2026,,,"$53,740/Year",,"$1,795","$20,000 - $30,000 annually",,Merit-based,4 years,"$53,740/Year",Bachelor of Science in Diagnostic Medical Sonography,https://catalog.qu.edu/health-sciences/diagnostic-imaging/diagnostic-medical-sonography-bs/diagnostic-medical-sonography-bs.pdf
