Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
,,,,False,False,False,False,False,False,,,program,Accountancy MSA,https://www.youtube.com/watch?v=kzVp8_qAgrg
,,,,False,False,False,False,False,False,,,program,Adult-Gerontology Acute Care Nurse Practitioner Cert,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html
Required,Required,"Unconditional admission to the MSN program may be granted to applicants who meet the following criteria: Hold a Bachelor of Science in Nursing degree from a nationally accredited program (ACEN or CCNE). Have a minimum overall undergraduate GPA of 3.0 on a 4.0 scale or a 3.0 on the last 60 hours of undergraduate coursework. Hold an unencumbered registered nurse license in the state where clinical experiences will be completed. Have completed an undergraduate or graduate statistics course with a grade of C or better. Submit a completed application to the Office of Graduate Admissions. Provide evidence of a minimum of one year of recent clinical experience as a Registered Nurse in an acute care setting. This will be verified by the employing agency. Submission of three recommendation forms (from a current or former supervisor, a peer, and a former faculty member if possible). Submit a resume. Submit a professional goal statement. Applicants may be required to participate in an interview.",Not Required,True,False,True,False,False,False,,,program,Adult-Gerontology Acute Care Nurse Practitioner MSN,https://www.una.edu/education/academic-programs/graduate.html
Required,Required,"Unconditional admission to the graduate program at UNA. A Master of Science in Nursing from a regionally accredited institution and a nationally accredited nursing program (ACEN or CCNE). A current, unencumbered registered nurse license in the state where clinical experiences will be completed. A minimum of one year of direct patient care experience as a registered nurse. A minimum cumulative GPA of 3.0 on a 4.0 scale on all previous academic work. Successful completion of a 3-credit hour undergraduate or graduate-level statistics course with a grade of C or better. Submission of the following documents to the Office of Graduate Admissions: Official transcripts from all postsecondary institutions attended, Three letters of professional reference attesting to the applicant’s potential for graduate study, A curriculum vitae or resume, A personal statement/essay, Copy of RN license. Submission of a completed background check. Submission of a completed drug screen.",Not Required,True,False,False,False,False,False,,,program,Adult-Gerontology Primary Care Nurse Practitioner Cert,https://www.una.edu/education/academic-programs/graduate.html
Required,Required,"Application to the MSN program is a two-part process. Applicants must first apply to the UNA Office of Graduate Admissions. Following application to the University, applicants must complete the Anderson College of Nursing and Health Professions MSN Program Application. Requirements for the Anderson College of Nursing and Health Professions MSN Program application include: a current resume or curriculum vitae; a statement of purpose (500-750 words) describing professional goals and motivation for graduate study; three (3) letters of recommendation; official transcripts from all post-secondary institutions attended; a current, unencumbered registered nurse license in the state where clinical experiences will occur; a Baccalaureate degree in nursing (BSN) from a regionally accredited institution with ACEN or CCNE program accreditation; an undergraduate GPA of 3.0 or greater on a 4.0 scale; a statistics course with a grade of C or better; and evidence of one year full-time nursing experience as a registered nurse prior to the first clinical course.",Not Required,True,False,True,False,False,False,,,program,Adult-Gerontology Primary Care Nurse Practitioner MSN,https://www.una.edu/nursing/graduate/msn.html
Not Required,Required,"Admission to the program is based on the student’s undergraduate record and other indicators of aptitude for graduate study. Applicants must have a bachelor’s degree from an accredited institution. Applicants must submit a completed application for admission to graduate study. Applicants must have official transcripts from each institution attended sent directly to the Office of Graduate Admissions. Applicants must have an overall undergraduate grade point average of at least 2.75 on a 4.00 scale. Applicants with an overall undergraduate grade point average of 2.50 to 2.74 on a 4.00 scale will be considered for conditional admission. A formal application to the M.A. in Professional Communication program, statement of purpose, and three letters of recommendation must be submitted to the Department of Communication Graduate Coordinator.",Not Required,True,False,False,False,False,False,,,program,Advertising MA,https://www.una.edu/education/academic-programs/graduate.html
,,,,False,False,False,False,False,False,,,program,Anthropology MA,https://www.una.edu/education/academic-programs/graduate.html
,Required,"A bachelor's degree from a regionally accredited institution with at least a 3.0 GPA in the last 60 semester hours of undergraduate work. At least 18 hours of previous undergraduate anthropology coursework with a grade of C or better. A formal application to the Graduate School. Official transcripts from each institution attended. A statement of purpose of at least 500 words describing the applicant’s research interests, professional goals, and reasons for pursuing a master’s degree in anthropology at UNA. Three letters of recommendation submitted via the online application system from individuals qualified to judge the applicant's potential for success in a graduate program. At least two letters should be from former professors. A writing sample demonstrating the applicant's ability to conduct research and write a scholarly paper. This should be a research paper written for a previous course. There is no minimum or maximum word count.",Required,True,False,True,False,False,False,,,program,Anthropology MA: Applied Biological Anthropology,https://www.una.edu/education/academic-programs/graduate.html
,,"Admission into the program will be based on approval from the geology certificate committee. For non-degree seeking students, the University of North Alabama’s requirements for undergraduate and graduate admissions must be met. Current UNA students who wish to earn the certificate should contact Dr. M. Taylor to fill out an application form for program admission. Contact information is on the right side of this page. Students working on the Certificate in Applied Carbonate Geology are expected to maintain a minimum GPA of 3.0 in courses in the certificate program.",,True,False,False,True,False,False,,,program,Applied Carbonate Geology Cert,https://www.una.edu/arts-sciences-engineering/certificate-programs.html
Required,,Hold a masters or educational specialist degree from an accredited institution. A cumulative GPA of 3.0 on a 4.0 scale on all graduate coursework. Submit an application to the Office of Graduate Admissions. Submit a professional resume or curriculum vitae. Submit official transcripts from all institutions attended. Submit three recommendations from school administrators or supervisors using the Leadership Disposition form. Submit a writing sample that responds to a provided prompt. Instructions on how to complete the writing sample will be sent after the application is submitted. Complete an admissions interview.,Required,True,False,False,False,False,False,,,program,Applied Learning Sciences EdD,https://www.una.edu/business/graduate/executive-doctorate-business-administration/index.html
