Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
,,"A student may apply for admission to the College of Business after they have completed a minimum of 30 credits with a minimum overall GPA of 2.5 and completed the following four courses with a minimum GPA of 2.5: ACCT:201 Financial Accounting, ECON:200 Principles of Microeconomics, ECON:201 Principles of Macroeconomics and MGMT:201 Business Analysis. To declare a major in the College of Business, a student must be admitted to the college.",,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://bulletin.uakron.edu/undergraduate/colleges-programs/business-administration/accountancy/accounting-bs/accounting-bs.pdf,,
Not Required,Not Required,"Completed online application, including the $50 application fee. Official high school transcript. We are test-optional for the 2023-24 and 2024-25 academic years, but you are welcome to submit your ACT or SAT scores.",Not Required,True,False,True,False,False,,,program,"Bachelor of Science in Actuarial Science, Statistics",https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"To apply as a freshman, you will need:

- Completed application
- Official high school transcript
- Nonrefundable application fee
- Official ACT or SAT test scores (optional for most Fall 2024 applicants)",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Adolescent to Young Adult (AYA),https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"To apply as a first-year student, you will need to complete the online application, submit your official high school transcript, and pay the nonrefundable application fee.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Aerospace Systems Engineering,https://www.uakron.edu/engineering/me/undergraduate/aerospace-systems,,
,,,,,,,,,,,error,Bachelor of Science in Allied Health Care Administration,https://www.uakron.edu/allied-health/baha/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be considered for regular admission, applicants should have graduated from a state-chartered high school (or its equivalent) and completed UA's recommended college preparatory curriculum in high school. The University of Akron has a holistic review process when reviewing applications for admission. Required documents include the application and official high school transcript. Submission of ACT/SAT scores is optional for most majors.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Anthropology,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"To apply for admission, you will need to submit: A completed online application. A $50 nonrefundable application fee. An official high school transcript. Official ACT or SAT scores (The University of Akron is test-optional for the 2024-25 academic year. Students who apply without test scores will not be disadvantaged in the admission or scholarship review process). Official college transcripts, if you earned any college credits during high school.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Applied Mathematics,https://bulletin.temple.edu/undergraduate/science-technology/applied-mathematics-bs/,,
Not Required,Not Required,"For freshman, transfer and international students planning to major in one of the programs offered by the Myers School of Art, you must first be admitted to The University of Akron. Please visit the Office of Admissions for further information on University of Akron admission requirements, application deadlines, and to apply online. Once you have been admitted to UA, you will also need to submit a portfolio for review in order to be accepted into the Bachelor of Fine Arts (B.F.A.) or Bachelor of Arts (B.A.) in Art degree programs.",Not Required,True,False,False,False,False,,,program,Bachelor of Fine Arts in Art,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"Admission to the Myers School of Art, which houses the Art Education program, is a two-part process. First, applicants must apply for general admission to The University of Akron. This requires an application for admission, an official high school transcript or GED, and a $50 application fee. Second, applicants must complete a portfolio review for the Myers School of Art.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art Education,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/art/art-education-ba/,,
,,,,,,,,,,,error,Associate of Arts,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/interdisciplinary-programs/associate-arts/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Associate of Science,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/arts-sciences.pdf,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be considered for regular admission to an associate or bachelor's degree program, you will need one of the following:

- A cumulative high school grade-point average of 2.00 or higher on a 4.00 scale; OR
- A high school equivalency diploma by earning a GED with a minimum score of 145 on each of the four sections; OR
- An ACT composite score of 17 or higher; OR
- A combined SAT score of 930 or higher.

Required application materials include a completed online application, a $50 nonrefundable application fee, and an official high school transcript or GED.",Not Required,True,False,True,False,False,17.0,930.0,program,Associate of Technical Studies,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"Admission to The University of Akron is based upon the strength of your college-preparatory curriculum.

Recommended high school curriculum:

4 units of English
4 units of math (Algebra I, Algebra II, Geometry and one other)
3 units of science, including lab experience
3 units of social studies
2 units of foreign language
1 unit of fine arts

Students who do not meet these requirements will be considered on an individual basis.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Automated Manufacturing Engineering Technology,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"To apply, please submit the following: 1. A completed online application. 2. A $50 nonrefundable application fee. 3. An official high school transcript. 4. Official college transcripts from every college/university you have attended (if applicable). ACT or SAT scores are not required for admission for the Spring 2024, Summer 2024, and Fall 2024 terms. If you would like your scores to be considered for admission, you may still submit them.",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Organizational Supervision,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"To be considered for regular admission, you should have graduated from an accredited high school (or have a GED) and completed the college preparatory curriculum, including: 4 units of English, 3 units of math (Algebra I, II, Geometry), 3 units of science (including one lab science), 3 units of social studies. We also will review your cumulative high school grade-point average.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Biochemistry,https://www.uakron.edu/academics_majors/,,
Not Required,Not Required,"Students applying for admission must submit an application for admission and $50 nonrefundable application fee, and an official high school transcript. The University of Akron requires the following minimum high school coursework for unconditional admission: 4 units of English, 3 units of mathematics (Algebra I, Algebra II and Geometry or equivalent), 3 units of natural science, and 3 units of social studies.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biology,https://www.uakron.edu/biology/academics/undergraduate/,,
,,,,,,,,,,,error,Bachelor of Science in Biomedical Engineering,https://www.uakron.edu/academics_majors/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Biomedical Science,https://www.uakron.edu/academics_majors/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"Admission to The University of Akron is based upon the strength of your college-preparatory curriculum. We recommend the following high school curriculum:

4 units of English
4 units of mathematics (Algebra I, II, Geometry and a fourth year of math)
3 units of social studies
3 units of science
2 units of foreign language
1 unit of fine arts",Not Required,True,True,False,False,False,,,program,Bachelor of Business Administration in Business Administration,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGyyYLA1e2yo0Msw7UTg6M7-OdVFd2O0ldK6YpDJv0FxaOCgm9D7hh9CqZF9WduI0dQOV1FZ6JaBJnwk6x8Dky-XwEmvSMbiefzTpM2E3rXaccvsy3RlGSSBXyUYj64CAV2qV9OE972rTY5KmGwwgMIhFbfhM93lc8-92QzVqbdML705CDFPxudond4IdXN-A9B56whxoaU0j9g5EnnZDJ7bhheE4X_RQ0SocsuJG2LBzqx-HkFXbC2r3VbLYpIaA_FJ7yg0gn84V9PsCZ5zL8k_2wferBT2EYcJcAo,,
Not Required,Not Required,"To be admitted to the minor, students must:
Have a cumulative GPA of 2.0 or greater.",Not Required,True,False,False,False,False,,,program,Minor in Business Administration for Non-Business Majors,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHy3qAbF3nTKR7vj1NhGXAOJAqxdo-CaIvOHh7MrvrroaDMYR2WHbS3RYVkqOKNJD74PxH9ouPOFd_BOhjHdcCMSBti9_EK1B_l-WfgdVxi6-lBNVA_wemzneFEJNYlHKRr8we7Ic403UWAtpcUrpYsiwmt8gNunrkePab6I7ZjWtWYMkhlkZr4qbtvQ0nZ5nP_Malx2eaDTRd7XyvL3NB1e_baKX4Pp_YoNfgRPaw8t24LutBxItUuRziypfZt0hfkTYQlfXocGw5U,,
