Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Not Required,Required,"Students must first apply to the university. A separate, departmental application must also be submitted online through Cal State Apply. The department application requirements include: Three letters of recommendation; A statement of purpose (see department website for writing prompts); Official transcripts from all colleges and universities attended; GPA of 3.0 or better in the last 60 semester units (or 90 quarter units) of coursework; A bachelor’s degree in nutrition and dietetics or related field from a regionally accredited institution, or the equivalent from a foreign institution. The GRE is not required for admission.",Not Required,True,False,True,False,False,False,,,program,Master of Arts in Applied Nutrition and Dietetics,https://www.csulb.edu/graduate-studies,
,,,,,,,,,,,,error,Master of Science in Athletic Training,https://www.csulb.edu/graduate-studies,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"Applicants must meet the university admission requirements. Students must meet the following school requirements for admission to the Master of Science program:

1. A bachelor’s degree with a major in Criminology and Criminal Justice from an accredited institution. Applicants with a baccalaureate degree in a related field will be considered.
2. An overall undergraduate GPA of 3.0 or higher.
3. A grade of “B” or better in an upper-division undergraduate research methods course.
4. A grade of “B” or better in an upper-division undergraduate statistics course.
5. Good academic standing at the last college or university attended.
6. Three letters of recommendation from individuals who can attest to the applicant’s capacity to succeed in a graduate program.
7. A 2-4 page, typed statement of purpose that describes the applicant’s interest in the field of criminology and criminal justice, reasons for pursuing a master’s degree, and future career goals.
8. A resume or curriculum vitae (CV) that describes the applicant’s academic and any relevant professional experience.
9. A sample of the applicant’s scholarly writing (e.g., a term paper from a prior course).",Required,True,False,False,False,False,False,,,program,Master of Science in Criminology and Criminal Justice,https://www.csulb.edu/graduate-studies,
,,,,,,,,,,,,error,Master of Public Health (Community Health),https://www.csulb.edu/graduate-studies,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Arts in Curriculum and Instruction in Physical Education,https://www.csulb.edu/graduate-studies,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Emergency Services Administration,https://www.csulb.edu/graduate-studies,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Health Care Administration,https://www.csulb.edu/college-of-health-human-services/health-care-management/master-of-science-health-care,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"In addition to the general requirements of the university, specific requirements for admission to classified graduate status are:

1. A minimum of 24 units of upper-division coursework in Kinesiology or a related field;
2. A course in introductory statistics;
3. A course in either exercise physiology or biomechanics;
4. One of the following:
    a. A minimum of a 3.0 GPA in the last 60 semester units (90 quarter units) of coursework;
    b. A minimum score on the Graduate Record Examination (GRE): 150 on the verbal section, 141 on the quantitative section, and 3.5 on the analytical writing section; or
    c. A master’s degree in a related field from an accredited university.
5. Submission of the following to the department Graduate Coordinator:
    a. Three letters of recommendation from individuals who can speak to the applicant’s academic and professional potential;
    b. A 500-word statement of purpose describing the applicant’s motivation and goals for pursuing the M.A. in Kinesiology, option in Coaching and Student-Athlete Development at CSULB; and
    c. A professional résumé highlighting the applicant’s experience in coaching, athletic administration, and/or student-athlete development.
6. A personal interview with the CSAD faculty.",Not Required,False,True,False,False,False,False,,,program,Master of Arts in Kinesiology with option in Coaching and Student Athlete Development,https://www.csulb.edu/graduate-studies,
Not Required,Required,"To be considered for admission to the Master of Arts Degree in Kinesiology, a student must:
1. A baccalaureate degree from an accredited institution with a major in Kinesiology or an equivalent degree with an appropriate background in the field as determined by the graduate committee;
2. Be in good academic standing at the last college or university attended;
3. A grade point average (GPA) of 3.0 or better in the last 60 semester units (90 quarter units) of upper-division coursework and a 3.0 GPA in all Kinesiology coursework;
4. Three letters of recommendation from persons who have knowledge of the applicant’s academic and professional potential;
5. A written statement of purpose that demonstrates the applicant’s interest and preparation for graduate study in the chosen option;
6. A sample of the applicant’s scholarly writing (e.g., a paper from a previous course);
7. A personal interview with the graduate coordinator and/or option faculty.",Required,True,False,True,True,False,False,,,program,Master of Arts in Kinesiology with option in Individualized Studies,https://www.csulb.edu/college-of-health-human-services/graduate-programs,
Required,Required,"In addition to the general requirements for admission to the university, applicants must meet the following department-specific requirements for admission to the MA in Kinesiology:
1. A bachelor’s degree in kinesiology or an equivalent degree from an accredited institution.
2. A grade point average (GPA) of 3.0 or higher in the last 60 semester units (or 90 quarter units) of coursework.
3. A GPA of 3.0 or higher in all upper-division coursework in the major.
4. Prerequisite undergraduate coursework: Introduction to Kinesiology (e.g., KIN 201); Sport Management (e.g., KIN 332); Sport Psychology (e.g., KIN 339); Sport Sociology (e.g., KIN 338 or SOC 342); Statistics (e.g., KIN 483).
5. A statement of purpose.
6. Two letters of recommendation from individuals who can speak to the applicant’s academic and/or professional potential.
7. A resume.
8. An interview with the Sport Management graduate faculty.",Not Required,True,False,True,False,False,False,,,program,Master of Arts in Kinesiology with option in Sport Management,https://www.csulb.edu/graduate-studies,
,,,,,,,,,,,,error,Master of Science in Kinesiology with option in Exercise Physiology and Nutrition,https://www.csulb.edu/college-of-health-human-services/graduate-programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Kinesiology with option in Exercise Science,https://www.csulb.edu/graduate-studies,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
