Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"The Master of Arts in Applied Nutrition and Dietetics is a 30-unit program designed for students who want to develop specialized knowledge and skills in nutrition and dietetics beyond the baccalaureate level. The M.A. degree provides advanced study in medical nutrition therapy, food science, and nutritional status assessment, along with research and other contemporary topics in dietetics. The M.A. program will enhance the skills of individuals seeking to work in positions in dietetics, nutrition, public health, or related fields. The program is designed to meet the advanced education requirements set by the Commission on Dietetic Registration (CDR) that will be required to be eligible for the registration examination for dietitians beginning January 1, 2024. The program does not provide the required coursework or supervised practice to be eligible to sit for the registration examination for dietitians. Students who want to become a registered dietitian should complete a Didactic Program in Dietetics and a Dietetic Internship. For information on these programs, please contact the FCS department.",https://www.csulb.edu/academic-catalog/graduate-degree-program/nutrition-and-dietetics-applied-ma,,Master of Arts,Master of Arts in Applied Nutrition and Dietetics,https://www.csulb.edu/graduate-studies
,"The Master of Science in Athletic Training (MSAT) program is a 60-unit, two-year, full-time, cohort-style program, that starts each year in the fall semester. The program provides students with a strong foundation in evidence-based practice and is designed to develop professional skills in the following domains: risk management and injury prevention, pathology of injury and illness, orthopedic clinical examination and diagnosis, medical conditions and disabilities, acute care of injury and illness, therapeutic interventions, psychosocial strategies and referral, health care administration, and professional development and responsibilities. Students complete a variety of clinical education experiences under the direct supervision of a preceptor and the program’s clinical education coordinator. Clinical experiences are offered in a variety of settings which may include university athletics, community college athletics, high school athletics, clinics, and industrial settings.",https://www.csulb.edu/college-of-health-human-services/kinesiology/athletic-training-master-of-science,The Master of Science in Athletic Training program is accredited by the Commission on Accreditation of Athletic Training Education (CAATE).,Master of Science,Master of Science in Athletic Training,https://www.csulb.edu/graduate-studies
,"The Master of Science degree in Criminology and Criminal Justice is a 36-unit program consisting of core courses in criminological theory, research methods, and statistics, as well as a variety of electives that address both traditional and contemporary topics in the study of crime and the criminal justice system. The M.S. program is designed to provide students with the critical thinking, analytical, and research skills to pursue professional careers in criminal justice or to continue their education at the doctoral level. Students will learn about the complex causes and correlates of crime, the challenges of achieving a fair and effective criminal justice system, and the policies and practices that reduce crime and promote community safety.",https://www.csulb.edu/college-of-health-and-human-services/school-of-criminology-criminal-justice-and-emergency-management/master-science-criminology-and-criminal-justice,,,Master of Science in Criminology and Criminal Justice,https://www.csulb.edu/graduate-studies
Community Health,"The Master of Public Health (MPH) degree in Community Health at California State University, Long Beach (CSULB) is a professional degree that provides students with the knowledge and skills necessary to improve the health and well-being of individuals, families, and communities. The program is designed to prepare students for careers in a variety of settings, including public health departments, non-profit organizations, hospitals, and worksite wellness programs. The curriculum is based on the core competencies of public health and includes coursework in epidemiology, biostatistics, health policy and management, social and behavioral sciences, and environmental health. In addition, students complete a professional paper or thesis and a field experience in a public health setting. The MPH program at CSULB is accredited by the Council on Education for Public Health (CEPH).",https://www.csulb.edu/college-of-health-and-human-services/department-of-health-science/master-of-public-health-mph,accredited by the Council on Education for Public Health (CEPH),Master,Master of Public Health (Community Health),https://www.csulb.edu/graduate-studies
,"The Master of Arts Degree in Kinesiology option in Curriculum and Instruction in Physical Education is designed to provide advanced study for students interested in teaching physical education in a variety of settings (e.g., public/private schools, community colleges, university). This option requires students to develop, implement and assess a curriculum project designed to improve physical education instruction. The Curriculum and Instruction option is offered in a cohort model with a new cohort of students starting every Fall semester. The cohort is designed to be completed in two years (including summers). Course work is offered in the evening (i.e., after 4:00 pm) and online.",https://www.csulb.edu/college-of-health-human-services/kinesiology/curriculum-and-instruction-in-physical-education-ma,,MA,Master of Arts in Curriculum and Instruction in Physical Education,https://www.csulb.edu/graduate-studies
,"The Master of Science in Emergency Services Administration (EMER) is a 33-unit, graduate-level program that prepares students for leadership roles in the fields of emergency management and homeland security. A cohort of 25-30 students begins the two-year program each fall semester. Classes are delivered via a hybrid model that blends once-a-month, face-to-face class sessions with online instruction. The EMER Program has earned the distinction of being ranked among the Best Online Master’s in Emergency Management Programs in the nation by U.S. News & World Report.",https://www.csulb.edu/college-of-health-human-services/emergency-services-administration,,Master of Science,Master of Science in Emergency Services Administration,https://www.csulb.edu/graduate-studies
,"The Master of Science in Health Care Administration (MSHCA) program is designed to meet the needs of those who wish to pursue leadership roles in health care organizations. The curriculum is designed to help students develop the values, knowledge, and skills needed to become effective health care administrators. Courses are taught by full-time faculty and health care professionals with extensive experience in the field. The program is offered in two formats: a traditional, on-campus program and an accelerated program. The accelerated MSHCA is offered through the College of Professional and Continuing Education (CPaCE). Both formats offer a comprehensive curriculum and provide flexibility for students at different points in their career. The Health Care Administration department is a full graduate member of the Association of University Programs in Health Administration (AUPHA).",https://www.csulb.edu/college-of-health-human-services/health-care-management/master-of-science-health-care,The MSHCA program is proud to be accredited by the Commission on Accreditation of Healthcare Management Education (CAHME).,Master of Science,Master of Science in Health Care Administration,https://www.csulb.edu/college-of-health-human-services/health-care-management/master-of-science-health-care
Coaching and Student-Athlete Development,The Coaching and Student-Athlete Development (CSAD) option prepares students for a career in coaching and leadership within intercollegiate athletics. This program aims to equip coaches with evidence-based knowledge and practical skills that will enhance their professional coaching practice and help them guide student-athletes toward holistic development and success in sport and life. The CSAD option culminates in either a comprehensive exam or a capstone project.,https://www.csulb.edu/academic-catalog/graduate-degree-program/kinesiology-ma,,M.A.,Master of Arts in Kinesiology with option in Coaching and Student Athlete Development,https://www.csulb.edu/graduate-studies
Individualized Studies,The Individualized Studies option is a research-based program of study designed for students who have a focused interest that cannot be accommodated by one of the existing options. The student and faculty advisor will collaboratively design a program of study that includes Kinesiology courses as well as courses from other departments on campus. The student will gain knowledge in research design and statistics and complete a thesis. Graduates of this option will be well-prepared to enter doctoral programs in their area of specialization. This program is offered on-campus.,https://www.csulb.edu/department-of-kinesiology/master-of-arts-in-kinesiology-option-in-individualized-studies,,Master of Arts,Master of Arts in Kinesiology with option in Individualized Studies,https://www.csulb.edu/college-of-health-human-services/graduate-programs
Sport Management,"The Master of Arts in Kinesiology has four options for students to choose from: Adapted Physical Education, Coaching and Student-Athlete Development, Pedagogical Studies, and Sport Management. Our program is designed to develop leaders, educators, and researchers in the field of Kinesiology. Our faculty are experts in their fields and are committed to providing a high-quality education to our students. Our program is designed to be flexible to meet the needs of our students. We offer a variety of courses that are offered in the late afternoon and evening to accommodate working professionals. Our program is designed to be completed in two years.

The Sport Management option is designed to prepare students for a career in the sport industry. The program provides students with a strong foundation in the business of sport, including finance, marketing, law, and facility management. Students will also have the opportunity to complete an internship in the sport industry. Our graduates have gone on to work for professional sports teams, collegiate athletic departments, and other sport organizations.",https://www.csulb.edu/college-of-health-human-services/department-of-kinesiology/master-of-arts-in-kinesiology,,,Master of Arts in Kinesiology with option in Sport Management,https://www.csulb.edu/graduate-studies
Exercise Physiology and Nutrition,"This option provides students with a strong scientific foundation in both exercise physiology and nutrition. Students will learn to critically evaluate research, and develop skills to conduct research and apply their knowledge in a variety of professional settings. The program is designed to provide excellent preparation for those interested in doctoral studies in either exercise physiology or nutrition, as well as for those planning a career in cardiac rehabilitation, corporate fitness, or as an exercise specialist working with a variety of healthy and clinical populations.",https://www.csulb.edu/program/kinesiology-ms,,,Master of Science in Kinesiology with option in Exercise Physiology and Nutrition,https://www.csulb.edu/college-of-health-human-services/graduate-programs
Exercise Science,"The Master of Science in Kinesiology is designed for students with an undergraduate degree in Kinesiology or a related field. The program provides advanced study in the sub-disciplines of Kinesiology. It also prepares students for doctoral work or for professional careers in a variety of fields including teaching, coaching, research, and for work in private industry or public agencies related to physical activity, exercise, and sport.",https://www.csulb.edu/college-of-health-and-human-services/kinesiology/ms-in-kinesiology,,Master of Science,Master of Science in Kinesiology with option in Exercise Science,https://www.csulb.edu/graduate-studies
,"The Master of Science in Sport, Exercise, and Performance Psychology (SEPP) is housed in the Department of Kinesiology and prepares students to be well-trained professionals that can apply psychological principles to sport, exercise, and performance settings. The program is designed for students who want to become a Certified Mental Performance Consultant (CMPC®) through the Association for Applied Sport Psychology (AASP) and work in applied settings or students who intend to pursue a doctoral degree. Our program is a theory-to-practice-based program with an emphasis on students gaining hands-on, supervised experience. Our faculty are experts in their given fields and are active in research and their applied work. All students will complete a culminating experience (i.e., thesis or capstone project). The SEPP program is committed to developing culturally competent graduates who become Certified Mental Performance Consultants (CMPC®) through the Association for Applied Sport Psychology (AASP).",https://www.csulb.edu/academic-senate/master-of-science-sport-exercise-and-performance-psychology,,Master of Science,Master of Science in Kinesiology with option in Sport and Exercise Psychology,https://www.csulb.edu/academic-senate/master-of-science-sport-exercise-and-performance-psychology
,"The Master of Science in Gerontology program provides a professional multidisciplinary education in gerontology for those who are currently working with older adults or who plan to work with them. The purpose of this program is to prepare graduates for a career in the field of aging. Coursework is designed to provide information about the complex and multiple aspects of aging including physical, social, and psychological changes; and the interdependence of the older person with the family and various other social support systems. The program provides an intensive internship or a thesis in a student’s area of interest. The curriculum has been designed to include the Gerontology Competencies for Professionals in the California University System.",https://www.csulb.edu/college-of-health-human-services/gerontology/master-science-gerontology,The Master of Science in Gerontology is an AGHE Program of Merit.,Master of Science,Master of Science in Gerontology,https://www.csulb.edu/graduate-studies
,"The Master of Science in Nutritional Science is a 31-unit graduate program designed to prepare students for a variety of professional careers in nutrition. The program provides students an opportunity to advance their knowledge in nutritional science and to develop their skills in research methodologies. Students will learn to evaluate scientific literature, design and conduct research, and communicate nutrition information to a variety of audiences. The Master of Science program will help prepare students for a doctoral degree or for careers in a variety of settings, such as healthcare, research, food systems management, public policy, and private industry.",https://www.csulb.edu/college-of-health-human-services/family-and-consumer-sciences/ms-program-nutritional-science,,Master of Science,Master of Science in Nutritional Science,https://www.csulb.edu/college-of-health-human-services/family-and-consumer-sciences/ms-program-nutritional-science
"['Community Health', 'Health Equity', 'Urban Health']","The CSULB Master of Public Health (MPH) Program is a two-year, 42-unit program that provides an exciting and supportive learning environment for students to gain the skills needed to be public health professionals. Our mission is to prepare public health professionals to promote health and health equity within diverse urban communities. To accomplish this, our program provides a dynamic, student-centered learning environment with small class sizes and personalized mentorship from our faculty. The program combines a strong foundation in the core competencies of public health with the opportunity for students to tailor their learning experience through a flexible menu of elective options and mentored fieldwork experience. Our graduates work in a variety of public health settings, including local and state health departments, non-profit agencies, healthcare organizations, and some go on to pursue doctoral studies. The program offers three specialization options: Community Health, Health Equity, and Urban Health. The Community Health option is a fully online specialization, whereas the Health Equity and Urban Health specializations are campus-based.",https://www.csulb.edu/college-of-health-human-services/health-science/master-public-health,"The CSULB MPH Program is accredited by the Council on Education for Public Health (CEPH). CEPH is an independent agency recognized by the U.S. Department of Education to accredit schools and programs of public health. CEPH assists schools and programs in evaluating the quality of their instruction, research, and service programs and provides a formal accreditation process for schools and programs that meet the criteria for accreditation.",Master,Master of Public Health,https://www.csulb.edu/graduate-studies
Public Works Administration,"The Master of Public Administration (MPA) program offers a professional education designed to prepare students for leadership careers in government and nonprofit organizations. The curriculum is designed to provide students with a foundation in the general knowledge, skills, and values of public administration, and a choice of specialized knowledge in urban affairs or public works administration. The program is committed to academic excellence and to the public service values of ethics and social equity.",https://www.csulb.edu/academic-catalog/graduate-program/public-administration-option-public-works-administration-mpa,"The MPA Program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA).",Master,Master of Public Administration with option in Public Works Administration,https://www.csulb.edu/graduate-studies
Urban Affairs,"The Master of Public Administration (MPA) degree program at California State University, Long Beach is a professional degree designed to prepare students for leadership and management careers in the public and nonprofit sectors. The mission of the CSULB MPA program is to provide a high-quality graduate education to a diverse student body, preparing them to be effective and ethical public and nonprofit leaders. The program curriculum is designed to provide students with a foundation in the general principles of public administration, and to allow students to develop expertise in a specific policy area. Students will develop skills in management, policy analysis, and problem-solving. The CSULB MPA program combines a rigorous academic curriculum with real world experience, providing students with the knowledge and skills necessary to serve their communities. The program serves both pre-service students seeking to begin a career in public service and mid-career students seeking professional development and career advancement. Our program is designed to be accessible to working professionals, with all MPA courses offered in the evenings.",https://www.csulb.edu/gpa,"The program is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA), the recognized accrediting body for public administration programs.",Masters,Master of Public Administration with option in Urban Affairs,https://www.csulb.edu/sites/default/files/document/mpa_student_handbook.pdf
,"The Master of Science in Recreation Administration is a professional degree designed to prepare students for management and leadership positions in a wide variety of recreation and/or park agencies at the local, state, and federal levels; non-profit and community-based organizations; and in the commercial/tourism industry. Students learn to manage resources, personnel, and finances, and also to plan, market, and evaluate services in recreation, parks, and tourism.",https://www.csulb.edu/college-of-health-human-services/recreation-and-leisure-studies/masters-degree-recreation,"The Master of Science in Recreation Administration is accredited by the Council on Accreditation of Parks, Recreation, Tourism and Related Professions (COAPRT).",,Master of Science in Recreation Administration,https://www.csulb.edu/college-of-health-human-services/recreation-and-leisure-studies/masters-degree-recreation
"['Child and Family Wellbeing', 'Adulthood and Aging', 'Integrated Health']","The Master of Social Work (M.S.W.) degree program at California State University, Long Beach (CSULB) has been accredited by the Council on Social Work Education (CSWE) since 1971. The mission of the School of Social Work is to provide accessible, high-quality education that produces ethical and competent social work leaders, practitioners, and scholars who are committed to advancing social and economic justice and empowering diverse individuals, families, groups, and communities, with an emphasis on serving historically underserved urban populations. The program prepares students for professional social work practice by providing them with the theoretical knowledge, practice skills, and real-world experience needed to excel in their careers. M.S.W. students complete both academic coursework and field education internships.",https://www.csulb.edu/college-of-health-and-human-services/social-work/master-social-work,Accredited by the Council on Social Work Education (CSWE) since 1971.,,Master of Social Work,https://www.csulb.edu/graduate-studies
,"The Master of Arts (M.A.) education program in speech-language pathology at California State University, Long Beach is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700. The M.A. program is also accredited by the California Commission on Teacher Credentialing. This program provides academic and clinical education leading to the M.A. degree in Speech-Language Pathology, the Certificate of Clinical Competence in Speech-Language Pathology (CCC-SLP) from the American Speech-Language-Hearing Association (ASHA), the license in speech-language pathology from the California Speech-Language Pathology and Audiology and Hearing Aid Dispensers (SLPAHADB) Board, and the Speech-Language Pathology Services Credential from the California Commission on Teacher Credentialing (CTC).",https://www.csulb.edu/speech-language-pathology/page/graduate-program,"The Master of Arts (M.A.) education program in speech-language pathology at California State University, Long Beach is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700. The M.A. program is also accredited by the California Commission on Teacher Credentialing.",,Master of Arts in Speech-Language Pathology,https://www.csulb.edu/college-of-health-human-services/speech-language-pathology
General Anthropology,"The Department of Anthropology offers a Master of Arts degree in Anthropology with an option in General Anthropology. This M.A. program serves two main student constituencies: 1) students who plan to enter a Ph.D. program in anthropology upon completion of their M.A. degree, and 2) students who will seek professional, non-academic employment in fields where anthropological training is relevant and useful. The program requires all students to develop a grounding in the traditional four subfields of anthropology (sociocultural anthropology, biological anthropology, archaeology, and linguistic anthropology) but also allows each student to select one of these subfields as a primary area of emphasis.",https://www.csulb.edu/college-of-liberal-arts/anthropology/ma-in-anthropology,,Master of Arts,Master of Arts in Anthropology with option in General Anthropology,https://www.csulb.edu/graduate-studies
