Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Arts in American Studies,https://amst.umd.edu/academic-programs/undergraduate/ba,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Communication,https://wne.edu/academics/undergraduate/communication.cfm,Not Required,Required,A completed application for admission through the Common Application or the WNE Application. Official high school transcript(s) sent directly from your school. One letter of recommendation (from a teacher or school counselor).,Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Creative Writing,https://wne.edu/academics/undergraduate/creative-writing.cfm,Not Required,Required,"To apply, first-year students must submit a completed Common Application or Western New England University Application and official high school transcript(s). A personal essay/writing sample is required for the Common Application. Western New England University is a test-optional institution, and students may choose whether or not to submit SAT or ACT scores. Letters of recommendation are an optional component of the application for admission to the Creative Writing major.",Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Economics,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Elementary Education,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"First-year applicants must submit the following credentials:

- A completed Common Application or Western New England University Application
- Official high school transcript
- One letter of recommendation from a teacher or school counselor
- Essay or personal statement",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in English,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"All first-year applicants must submit the following: Completed Common Application or the Western New England University Application, Official high school transcript, One letter of recommendation from a school counselor or teacher, Personal Essay. Western New England University is a test-optional institution, meaning you are not required to submit SAT or ACT scores to be considered for admission.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in History,https://wne.edu/academics/undergraduate/history.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Integrated Studies,https://catalog.augusta.edu/preview_program.php?catoid=48&poid=11381,Not Required,Required,"To apply for first-year admission, the following items are required:
- Common Application
- Official High School Transcript
- One Letter of Recommendation: From your school counselor or a teacher in a core academic subject area (English, Math, Science, History, or Foreign Language).
- Standardized Test Scores (SAT or ACT): Western New England University is test optional for most academic programs.
- Personal Essay: Included in the Common Application.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in International Studies,https://wne.edu/academics/undergraduate/international-studies.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Law,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"Application requirements for first-year students include a completed Common Application, official high school transcript(s), one letter of recommendation from a teacher or school counselor, and an essay or personal statement. Western New England University is a test-optional institution, meaning students may choose whether to submit SAT or ACT scores for admission consideration.",Not Required,False,True,,False,False,False,,,program,
