Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"To be considered for admission to the University of Findlay, you must submit the following: Completed online application (there is no application fee), Official high school transcript... The University of Findlay is test-optional, meaning we do not require the ACT or SAT for admission. If you would like to have your scores considered, please have them sent to Findlay... When reviewing your application for admission, we will consider the following: Cumulative high school grade point average, Strength of curriculum, Class rank, ACT/SAT scores (if submitted).",Not Required,True,True,False,False,False,False,,,program,Accounting,https://www.findlay.edu/academics/undergraduate
,,"To receive an admission decision, applicants must complete the Application for Admission (either the University of Findlay's application or the Common Application) and send in official transcripts from their high school and/or all colleges attended. The University of Findlay is a test-optional institution. The submission of an ACT or SAT score is not required for admission or scholarship consideration.",,True,False,False,False,False,False,,,program,Adolescent/Young Adult Education,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To apply, you must submit your application using the University of Findlay's free online application or through the Common App. You will also need to have your official high school transcript or GED scores sent to the Office of Admissions. The University of Findlay has a test-optional admission policy for most majors, but you may choose to submit your ACT or SAT scores.",Not Required,True,True,False,False,False,False,,,program,Adolescent/Young Adult English/Language Arts,https://www.findlay.edu/academics/undergraduate
,,"First-time freshmen can apply to the University of Findlay using our free online application or through the Common App. Applicants must send official high school transcripts. The University of Findlay has a test-optional admission policy for most of its direct-from-high-school applicants, so sending ACT or SAT test scores is optional.",,True,False,False,False,False,False,,,program,Adolescent/Young Adult Integrated Mathematics,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-mathematics
,,"To be considered for admission, you will need to complete an online application and submit your official high school transcripts. Official college transcripts are required if you have taken any college-level coursework.",,True,False,True,True,False,False,,,program,Adolescent/Young Adult Life Science,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To apply as a first-time freshman, please submit the following: Completed online application or Common Application. Official high school transcript. Official ACT and/or SAT scores (optional).",Not Required,True,True,False,True,False,False,,,program,Adolescent/Young Adult Mathematics,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-mathematics
Not Required,Not Required,"To apply for admission to the University of Findlay as a first-year student, you will need to: Complete the application for admission. You can apply using the University of Findlay's application or by using the Common Application. Submit your official high school transcript. The University of Findlay is test-optional for most majors, meaning we do not require an ACT or SAT score for admission.",Not Required,True,True,True,True,False,False,,,program,Adolescent/Young Adult Science,https://www.findlay.edu/education/undergraduate-programs/adolescent-young-adult-science
Not Required,Not Required,"To be considered for regular admission, applicants will need to submit a completed application for admission and official high school transcripts. The University of Findlay is test-optional for most undergraduate majors, including Adolescent/Young Adult Social Studies. ACT or SAT scores are not required for admission for this major.",Not Required,True,True,False,False,False,False,,,program,Adolescent/Young Adult Social Studies,https://www.findlay.edu/academics/undergraduate
Not Required,Required,"To be considered for admission to the All Hazards Emergency Management program, students must meet the general requirements for admission to graduate study at the University of Findlay and have completed a bachelor's degree from an accredited institution.

In order to be admitted to the Master of Science in All Hazards Emergency Management program, the following must be submitted:
1. Graduate application and fee.
2. Official transcript(s) from all institutions of higher education attended.
3. Two letters of recommendation.
4. Personal statement detailing professional goals and reasons for seeking admission to the Master of Science in All Hazards Emergency Management.
5. A cumulative undergraduate grade point average of 3.0 or higher is required. Students not meeting the 3.0 grade point average may be considered for conditional acceptance.",Not Required,True,False,True,False,False,False,,,program,All Hazards Emergency Management,https://findlay.smartcatalogiq.com/en/current/graduate-catalog
,,"To be considered for admission, you will need: Completed online application or Common Application; Official high school transcript; Official ACT and/or SAT scores (optional).",,True,False,False,False,False,False,,,program,Animal Science - Industry Option,https://www.findlay.edu/sciences/animal-science/industry
,,"The University of Findlay has a rolling admissions policy. For first-time freshmen, the following are required for admission consideration:

Application for Admission (There is no application fee.)
Official high school transcript or GED

The University of Findlay is test-optional, meaning you are not required to submit your ACT or SAT test scores for admission.",,True,False,False,False,False,False,,,program,Animal Science - Pre-Veterinary Medicine Option,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To be considered for admission, you will need to submit: A completed application, Official high school transcript.",Not Required,True,False,False,True,False,False,,,program,Animal Science - Science Option,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To apply for admission to the University of Findlay, we ask that you complete the application and submit your official high school transcript.",Not Required,True,True,False,True,False,False,,,program,Animal Sciences and Husbandry,https://www.findlay.edu/sciences/animal-science/science
Not Required,Not Required,"To apply as a new freshman, you will need to complete our FREE online application and submit your official high school transcript. The University of Findlay is test-optional. This means that if you have a cumulative high school GPA of a 2.5 or higher, you do not have to submit your ACT or SAT scores to be considered for admission to most majors.",Not Required,True,False,True,False,False,False,,,program,Art,https://www.findlay.edu/arts-humanities-social-sciences/art/art-major
Not Required,Not Required,"To apply for admission to the University of Findlay, we ask that you complete the following steps: 1. Complete the online application and submit it with no application fee. 2. Request your official high school transcript to be sent to the Office of Admissions.",Not Required,True,False,False,False,False,False,,,program,Art History,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To be considered for admission to the University of Findlay, we ask that you please submit the following: 1. A completed application for undergraduate admission. Apply online for free at findlay.edu/apply. 2. Official high school transcripts. Your high school counselor can submit your transcript electronically or mail it to the Office of Admissions. Findlay has a test-optional admission policy. Students may submit ACT or SAT test scores, but they are not required for the basis of admission.",Not Required,True,False,False,False,False,False,,,program,Art Management,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To apply, prospective students must submit an online application and official high school transcripts. The University of Findlay has a test-optional policy, meaning the submission of ACT or SAT scores is optional for admission.",Not Required,True,False,False,False,False,False,,,program,Art Teacher Education,https://www.findlay.edu/academics/undergraduate
Not Required,Not Required,"To apply for admission to the University of Findlay, applicants must submit the following: Application for Admission and an Official High School Transcript. The University of Findlay is test-optional, which means applicants may choose to submit their ACT or SAT scores, but it is not required for admission or scholarships.",Not Required,True,False,False,True,False,False,,,program,Biochemistry,https://findlay.smartcatalogiq.com/en/current/undergraduate-catalog/major-requirements/college-of-sciences/department-of-physical-sciences/chemistry-chem/biochemistry-bs
