ProgramName,CollegeId,CleanedProgramName
Master of Education in School Counseling,95,Master of Education in School Counseling
Master of Arts in Liberal Arts,95,Master of Arts in Liberal Arts
Master of Business Administration in Concrete Industry Management,95,Master of Business Administration in Concrete Industry Management
Master of Science in Health Care Informatics,95,Master of Science in Health Care Informatics
Master of Arts in International Affairs,95,Master of Arts in International Affairs
Master of Arts in International Security and Peace,95,Master of Arts in International Security and Peace
Master of Arts in International Development and Globalization,95,Master of Arts in International Development and Globalization
Master of Science in Actuarial Science,95,Master of Science in Actuarial Science
"Doctor of Education in Assessment, Learning, and Student Success",95,"Doctor of Education in Assessment, Learning, and Student Success"
Master of Arts in Economics,95,Master of Arts in Economics
Master of Science in Geosciences,95,Master of Science in Geosciences
Master of Arts in History,95,Master of Arts in History
Master of Arts Public History,95,Master of Arts Public History
Master of Science in Professional Science,95,Master of Science in Professional Science
Master of Science in Professional Science - Actuarial Sciences,95,Master of Science in Professional Science - Actuarial Sciences
Master of Science Professional Science - Biotechnology,95,Master of Science Professional Science - Biotechnology
Master of Science Professional Science - Engineering Management,95,Master of Science Professional Science - Engineering Management
Master of Arts in Psychology,95,Master of Arts in Psychology
Concentration in Psychology - Quantitative,95,Master of Arts in Psychology - Quantitative
Concentration in Psychology - Industrial/Organizational,95,Master of Arts in Psychology - Industrial/Organizational
Doctor of Philosophy in Public History,95,Doctor of Philosophy in Public History
Master of Fine Arts in Recording Arts and Technologies,95,Master of Fine Arts in Recording Arts and Technologies
Master of Science in Aeronautical Science,95,Master of Science in Aeronautical Science
Master of Science in Aviation Education,95,Master of Science in Aviation Education
Master of Science in Aviation Management,95,Master of Science in Aviation Management
Master of Science in Aviation Safety and Security Management,95,Master of Science in Aviation Safety and Security Management
Master of Science in Horse Science,95,Master of Science in Horse Science
Master of Science in Horse Science - Industry Management,95,Master of Science in Horse Science - Industry Management
Master of Education in Professional Counseling,95,Master of Education in Professional Counseling
Master of Arts in Psychology (Clinical Psychology),95,Master of Arts in Psychology (Clinical Psychology)
Master of Arts in Psychology (Experimental),95,Master of Arts in Psychology (Experimental)
Master of Arts in Psychology (Pre-Specialist in Education - School Psychology Concentration),95,Master of Arts in Psychology (Pre-Specialist in Education - School Psychology Concentration)
Master of Arts in Psychology (Quantitative Psychology),95,Master of Arts in Psychology (Quantitative Psychology)
Master in Accounting,95,Master in Accounting
Master in Criminal Justice Administration,95,Master in Criminal Justice Administration
Master of Science in Engineering Management,95,Master of Science in Engineering Management
Master of Science in Athletic Training,95,Master of Science in Athletic Training
Master of Science in Engineering Technology (Occupational Health and Safety),95,Master of Science in Engineering Technology (Occupational Health and Safety)
Master of Science in Exercise Science,95,Master of Science in Exercise Science
Master in Leadership in Nutrition,95,Master in Leadership in Nutrition
Master in Nursing,95,Master in Nursing
"Master in Nursing, Psychiatric Mental Health Nurse Practitioner",95,"Master in Nursing, Psychiatric Mental Health Nurse Practitioner"
Master in Physician Assistant Studies,95,Master in Physician Assistant Studies
Master of Education in Curriculum and Instruction,95,Master of Education in Curriculum and Instruction
Master of Education in Digital Teaching and Learning,95,Master of Education in Digital Teaching and Learning
Master of Education in Elementary School Education,95,Master of Education in Elementary School Education
Master of Education in Higher Education,95,Master of Education in Higher Education
Master of Education in Literacy,95,Master of Education in Literacy
Master of Education in Special Education,95,Master of Education in Special Education
Master of Professional Studies,95,Master of Professional Studies
Master of Professional Studies - Leadership in Nutrition,95,Master of Professional Studies - Leadership in Nutrition
"Master of Education in Administration and Supervision, Higher Education Specialization",95,"Master of Education in Administration and Supervision, Higher Education Specialization"
Master of Social Work,95,Master of Social Work
Master of Science in Mathematics,95,Master of Science in Mathematics
Doctor of Philosophy in Computational and Data Science,95,Doctor of Philosophy in Computational and Data Science
Doctor of Philosophy in Mathematics and Science Education,95,Doctor of Philosophy in Mathematics and Science Education
Master of Science in Mathematics - Actuarial and Financial Mathematics,95,Master of Science in Mathematics - Actuarial and Financial Mathematics
Master of Business Administration,95,Master of Business Administration
MBA - Marketing,95,Master of Business Administration - Marketing
MBA - Healthcare Management,95,Master of Business Administration - Healthcare Management
MBA - Strategic Marketing Analytics,95,Master of Business Administration - Strategic Marketing Analytics
MBA - Legal and Ethical Governance,95,Master of Business Administration - Legal and Ethical Governance
MBA - Risk Management,95,Master of Business Administration - Risk Management
MBA - Human Resource Management,95,Master of Business Administration - Human Resource Management
MBA - Data Analytics,95,Master of Business Administration - Data Analytics
MBA - IT Project Management,95,Master of Business Administration - IT Project Management
Music Business,95,Music Business
Bachelor of Arts,95,Bachelor of Arts
Bachelor of Business Administration (B.B.A.),95,Bachelor of Business Administration
Bachelor of Fine Arts,95,Bachelor of Fine Arts
Bachelor of Music (B.M.),95,Bachelor of Music
Bachelor of Science,95,Bachelor of Science
Bachelor of Science in Nursing,95,Bachelor of Science in Nursing
Bachelor of Social Work (B.S.W.),95,Bachelor of Social Work
Aerospace B.S. (Maintenance Management concentration only),95,Bachelor of Science in Aerospace (Maintenance Management concentration only)
Bachelor of Science in Animation,95,Bachelor of Science in Animation
Bachelor of Science in Audio Production,95,Bachelor of Science in Audio Production
Bachelor of Science in Concrete Industry Management,95,Bachelor of Science in Concrete Industry Management
Bachelor of Science in Fermentation Science,95,Bachelor of Science in Fermentation Science
Bachelor of Science in Horse Science,95,Bachelor of Science in Horse Science
Bachelor of Science in Mechatronics Engineering,95,Bachelor of Science in Mechatronics Engineering
"Recording Industry, B.S. (Commercial Songwriting | Music Business)",95,"Bachelor of Science in Recording Industry, (Commercial Songwriting | Music Business)"
"Video & Film Production, B.S. (Live Production and Filmmaking concentrations)",95,"Bachelor of Science in Video & Film Production, (Live Production and Filmmaking concentrations)"
"Aerospace B.S. (Aviation Management, Flight Dispatch, Maintenance Management, Professional Pilot, Technology only)",95,"Bachelor of Science in Aerospace"
Bachelor of Science in Industrial/Organizational Psychology,95,Bachelor of Science in Industrial/Organizational Psychology
Supply Chain Management B.B.A.,95,Bachelor of Business Administration in Supply Chain Management
Bachelor of Science in Media Management,95,Bachelor of Science in Media Management
"Aerospace B.S. (Flight Dispatch, Unmanned Aircraft Systems only)",95,"Bachelor of Science in Aerospace (Flight Dispatch, Unmanned Aircraft Systems only)"
Engineering Technology (Electro-Mechanical concentration only),95,Engineering Technology (Electro-Mechanical concentration only)
Bachelor of Science in Environmental Science,95,Bachelor of Science in Environmental Science
Bachelor of Science in Forensic Science,95,Bachelor of Science in Forensic Science
Music B.M. (Music Industry concentration only),95,Bachelor of Music (Music Industry concentration only)
Textiles Merchandising and Design (Fashion Merchandising and Apparel Design),95,Textiles Merchandising and Design (Fashion Merchandising and Apparel Design)
Bachelor of Science in Interior Design,95,Bachelor of Science in Interior Design
Bachelor of Business Administration in Accounting,95,Bachelor of Business Administration in Accounting
Bachelor of Science in Actuarial Science,95,Bachelor of Science in Actuarial Science
Bachelor of Science in Aerospace – Aviation Management,95,Bachelor of Science in Aerospace – Aviation Management
Bachelor of Science in Aerospace – Flight Dispatch,95,Bachelor of Science in Aerospace – Flight Dispatch
Bachelor of Science in Aerospace – Maintenance Management,95,Bachelor of Science in Aerospace – Maintenance Management
Bachelor of Science in Aerospace – Professional Pilot,95,Bachelor of Science in Aerospace – Professional Pilot
Bachelor of Science in Aerospace – Technology,95,Bachelor of Science in Aerospace – Technology
Bachelor of Science in Aerospace – Unmanned Aircraft Systems Operations,95,Bachelor of Science in Aerospace – Unmanned Aircraft Systems Operations
Bachelor of Science in Aerospace – Unmanned Aircraft Systems Technology,95,Bachelor of Science in Aerospace – Unmanned Aircraft Systems Technology
Bachelor of Science in Agribusiness,95,Bachelor of Science in Agribusiness
Bachelor of Science in Animal Science,95,Bachelor of Science in Animal Science
Bachelor of Science in Anthropology,95,Bachelor of Science in Anthropology
Bachelor of Science in Art Education – Art Education K-12 Teacher Licensure,95,Bachelor of Science in Art Education – Art Education K-12 Teacher Licensure
Bachelor of Science in Art – Art History,95,Bachelor of Science in Art – Art History
Bachelor of Fine Arts in Art – Graphic Design,95,Bachelor of Fine Arts in Art – Graphic Design
Bachelor of Fine Arts in Art – Studio Art,95,Bachelor of Fine Arts in Art – Studio Art
Bachelor of Science in Art – Visual Arts,95,Bachelor of Science in Art – Visual Arts
Bachelor of Science in Biology,95,Bachelor of Science in Biology
Bachelor of Science in Chemistry,95,Bachelor of Science in Chemistry
Bachelor of Science in Chemistry – Teacher Licensure (MTeach),95,Bachelor of Science in Chemistry – Teacher Licensure (MTeach)
Bachelor of Science in Commerce,95,Bachelor of Science in Commerce
Bachelor of Science in Communication,95,Bachelor of Science in Communication
Bachelor of Science in Communication – Culture and Social Influence,95,Bachelor of Science in Communication – Culture and Social Influence
Bachelor of Science in Communication – Organizational Communication,95,Bachelor of Science in Communication – Organizational Communication
Bachelor of Science in Computer Science – Artificial Intelligence,95,Bachelor of Science in Computer Science – Artificial Intelligence
Bachelor of Science in Computer Science – Business Applications,95,Bachelor of Science in Computer Science – Business Applications
Bachelor of Science in Computer Science – Cybersecurity Systems,95,Bachelor of Science in Computer Science – Cybersecurity Systems
Bachelor of Science in Computer Science – Professional Computer Science,95,Bachelor of Science in Computer Science – Professional Computer Science
Bachelor of Science in Concrete Industry Management – Concrete Contracting,95,Bachelor of Science in Concrete Industry Management – Concrete Contracting
