ProgramName,CollegeId
Master of Education in Art Education,128
Art Education (Certification),128
Master of Fine Arts in Communication Design,128
Master of Education in Music Education,128
Music Education (Certification),128
Master of Business Administration (MBA),128
Graduate Certificate in Business Decision-Making,128
Master of Science in Computer Science,128
Graduate Certificate in Data Analytics (MBA),128
Graduate Certificate in Leadership (MBA),128
Master of Public Administration (MPA),128
Master of Education in Student Affairs in Higher Education,128
Master of Arts in Addiction Counseling,128
Master of Arts in Clinical Mental Health Counseling,128
"Master of Arts in Marriage, Couple and Family Counseling",128
Master of Science in School Counseling,128
Autism (Endorsement Certification),128
Curriculum and Instruction (Supervisory Certificate),128
English as a Second Language (Certification),128
Instructional Coach (Endorsement Certificate),128
Master of Education in Instructional Technology,128
Instructional Technology Specialist (Certification),128
Master of Library Science (MLS),128
Master of Library Science (MLS) plus Initial Certification or Extension of Certification,128
Master of Education in Multicultural Education,128
PreK-12 Principal (Certification),128
Master of Education in Reading Specialist,128
Reading Specialist (Certification),128
Master of Education in Secondary Education,128
Secondary Education (M.Ed. plus Certification),128
Special Education (Certification),128
Doctor of Education in Transformational Teaching and Learning (EdD),128
Visual Impairment (Certification),128
Graduate Certificate in School Social Work,128
Master of Social Work (MSW),128
Doctor of Social Work (DSW),128
Graduate Certificate in Communication Design: Creative Catalyst,128
Graduate Certificate in Communication Design: Creative Futures,128
Graduate Certificate in Communication Design: Creative Refresh,128
Graduate Certificate in Computer Science: Data Analytics,128
Graduate Certificate in Computer Science: Database Design and Administration,128
Graduate Certificate in Geography: Geospatial Information Technology,128
Bachelor of Science in Game Development,128
Bachelor of Science in General Studies,128
Bachelor of Arts in Geography,128
Minor in Geography,128
Bachelor of Science in Geology,128
Minor in Geology,128
Minor in German Communication & Culture,128
Bachelor of Science in Biochemistry: Pharmacy,128
Bachelor of Science in Biology - Molecular/Micro/Cell,128
Bachelor of Science in Biology - Organismal Biology and Ecology,128
"Bachelor of Science in Biology - Pre-Medical, Pre-Veterinary, Pre-Dental",128
Bachelor of Science in Biology: Allied Health,128
Bachelor of Science in Biology: Medical Laboratory Sciences,128
Bachelor of Science in Data Science,128
Minor in Disability Studies,128
Minor in Case Management,128
Bachelor of Science in Chemistry,128
Minor in Chemistry,128
"Bachelor of Science in Cinema, Television and Media Production",128
"Minor in Cinema, Television and Media Production",128
Minor in Coaching and Fitness Administration,128
Bachelor of Fine Arts in Communication Design,128
Bachelor of Arts in Communication Studies,128
Minor in Communication Studies,128
Bachelor of Science in Computer Science,128
Minor in Computer Science,128
Bachelor of Science in Computer Science-Information Technology,128
Minor in Computer Science-Information Technology,128
Bachelor of Science in Criminal Justice,128
Minor in Criminal Justice,128
Bachelor of Science in Business Administration in Accounting,128
Minor in Actuarial Sciences,128
Bachelor of Fine Arts in Animated Arts,128
Bachelor of Arts in Anthropology,128
Minor in Anthropology,128
Minor in Applied Engineering,128
Bachelor's in Art,128
Minor in Art,128
Bachelor's in Art Education,128
Minor in Art Education,128
Bachelor's in Art History,128
Minor in Art History,128
