ProgramName,CollegeId,CleanedProgramName
Master of Education in Art Education,128,Master of Education in Art Education
Art Education (Certification),128,Certification in Art Education
Master of Fine Arts in Communication Design,128,Master of Fine Arts in Communication Design
Master of Education in Music Education,128,Master of Education in Music Education
Music Education (Certification),128,Certification in Music Education
Master of Business Administration (MBA),128,Master of Business Administration in Master of Business Administration
Graduate Certificate in Business Decision-Making,128,Graduate Certificate in Business Decision-Making
Master of Science in Computer Science,128,Master of Science in Computer Science
Graduate Certificate in Data Analytics (MBA),128,Master of Business Administration in Graduate Certificate in Data Analytics
Graduate Certificate in Leadership (MBA),128,Master of Business Administration in Graduate Certificate in Leadership
Master of Public Administration (MPA),128,Master of Public Administration in Master of Public Administration
Master of Education in Student Affairs in Higher Education,128,Master of Education in Student Affairs in Higher Education
Master of Arts in Addiction Counseling,128,Master of Arts in Addiction Counseling
Master of Arts in Clinical Mental Health Counseling,128,Master of Arts in Clinical Mental Health Counseling
"Master of Arts in Marriage, Couple and Family Counseling",128,"Master of Arts in Marriage, Couple and Family Counseling"
Master of Science in School Counseling,128,Master of Science in School Counseling
Autism (Endorsement Certification),128,Endorsement Certification in Autism
Curriculum and Instruction (Supervisory Certificate),128,Supervisory Certificate in Curriculum and Instruction
English as a Second Language (Certification),128,Certification in English as a Second Language
Instructional Coach (Endorsement Certificate),128,Endorsement Certificate in Instructional Coach
Master of Education in Instructional Technology,128,Master of Education in Instructional Technology
Instructional Technology Specialist (Certification),128,Certification in Instructional Technology Specialist
Master of Library Science (MLS),128,MLS in Master of Library Science
Master of Library Science (MLS) plus Initial Certification or Extension of Certification,128,Master of Library Science (MLS) plus Initial Certification or Extension of Certification
Master of Education in Multicultural Education,128,Master of Education in Multicultural Education
PreK-12 Principal (Certification),128,Certification in PreK-12 Principal
Master of Education in Reading Specialist,128,Master of Education in Reading Specialist
Reading Specialist (Certification),128,Certification in Reading Specialist
Master of Education in Secondary Education,128,Master of Education in Secondary Education
Secondary Education (M.Ed. plus Certification),128,M.Ed. plus Certification in Secondary Education
Special Education (Certification),128,Certification in Special Education
Doctor of Education in Transformational Teaching and Learning (EdD),128,Doctor of Education in Doctor of Education in Transformational Teaching and Learning
Visual Impairment (Certification),128,Certification in Visual Impairment
Graduate Certificate in School Social Work,128,Graduate Certificate in School Social Work
Master of Social Work (MSW),128,Master of Social Work
Doctor of Social Work (DSW),128,Doctor of Social Work
Graduate Certificate in Communication Design: Creative Catalyst,128,Graduate Certificate in Communication Design: Creative Catalyst
Graduate Certificate in Communication Design: Creative Futures,128,Graduate Certificate in Communication Design: Creative Futures
Graduate Certificate in Communication Design: Creative Refresh,128,Graduate Certificate in Communication Design: Creative Refresh
Graduate Certificate in Computer Science: Data Analytics,128,Graduate Certificate in Computer Science: Data Analytics
Graduate Certificate in Computer Science: Database Design and Administration,128,Graduate Certificate in Computer Science: Database Design and Administration
Graduate Certificate in Geography: Geospatial Information Technology,128,Graduate Certificate in Geography: Geospatial Information Technology
Bachelor of Science in Game Development,128,Bachelor of Science in Game Development
Bachelor of Science in General Studies,128,Bachelor of Science in General Studies
Bachelor of Arts in Geography,128,Bachelor of Arts in Geography
Minor in Geography,128,Minor in Geography
Bachelor of Science in Geology,128,Bachelor of Science in Geology
Minor in Geology,128,Minor in Geology
Minor in German Communication & Culture,128,Minor in German Communication & Culture
Bachelor of Science in Biochemistry: Pharmacy,128,Bachelor of Science in Biochemistry: Pharmacy
Bachelor of Science in Biology - Molecular/Micro/Cell,128,Bachelor of Science in Biology - Molecular/Micro/Cell
Bachelor of Science in Biology - Organismal Biology and Ecology,128,Bachelor of Science in Biology - Organismal Biology and Ecology
"Bachelor of Science in Biology - Pre-Medical, Pre-Veterinary, Pre-Dental",128,"Bachelor of Science in Biology - Pre-Medical, Pre-Veterinary, Pre-Dental"
Bachelor of Science in Biology: Allied Health,128,Bachelor of Science in Biology: Allied Health
Bachelor of Science in Biology: Medical Laboratory Sciences,128,Bachelor of Science in Biology: Medical Laboratory Sciences
Bachelor of Science in Data Science,128,Bachelor of Science in Data Science
Minor in Disability Studies,128,Minor in Disability Studies
Minor in Case Management,128,Minor in Case Management
Bachelor of Science in Chemistry,128,Bachelor of Science in Chemistry
Minor in Chemistry,128,Minor in Chemistry
"Bachelor of Science in Cinema, Television and Media Production",128,"Bachelor of Science in Cinema, Television and Media Production"
"Minor in Cinema, Television and Media Production",128,"Minor in Cinema, Television and Media Production"
Minor in Coaching and Fitness Administration,128,Minor in Coaching and Fitness Administration
Bachelor of Fine Arts in Communication Design,128,Bachelor of Fine Arts in Communication Design
Bachelor of Arts in Communication Studies,128,Bachelor of Arts in Communication Studies
Minor in Communication Studies,128,Minor in Communication Studies
Bachelor of Science in Computer Science,128,Bachelor of Science in Computer Science
Minor in Computer Science,128,Minor in Computer Science
Bachelor of Science in Computer Science-Information Technology,128,Bachelor of Science in Computer Science-Information Technology
Minor in Computer Science-Information Technology,128,Minor in Computer Science-Information Technology
Bachelor of Science in Criminal Justice,128,Bachelor of Science in Criminal Justice
Minor in Criminal Justice,128,Minor in Criminal Justice
Bachelor of Science in Business Administration in Accounting,128,Bachelor of Science in Business Administration in Accounting
Minor in Actuarial Sciences,128,Minor in Actuarial Sciences
Bachelor of Fine Arts in Animated Arts,128,Bachelor of Fine Arts in Animated Arts
Bachelor of Arts in Anthropology,128,Bachelor of Arts in Anthropology
Minor in Anthropology,128,Minor in Anthropology
Minor in Applied Engineering,128,Minor in Applied Engineering
Bachelor's in Art,128,Bachelor of Fine Arts in Art
Minor in Art,128,Minor in Art
Bachelor's in Art Education,128,Bachelor of Arts in Art Education
Minor in Art Education,128,Minor in Art Education
Bachelor's in Art History,128,Bachelor of Arts in Art History
Minor in Art History,128,Minor in Art History
