ProgramId,CollegeId,ProgramName,CollegeName,City,Level,QsWorldRanking,UsNewsRanking
5,2,LLM in American Law for Foreign Lawyers,Sunfire College,Tallahassee,Graduate,,
6,2,Doctor of Philosophy (Ph.D.) in Business Administration,Sunfire College,Tallahassee,Graduate,,
7,2,Master of Public Administration (M.P.A.),Sunfire College,Tallahassee,Graduate,,
8,2,Master of Accounting (MAcc),Sunfire College,Tallahassee,Graduate,,
9,2,Master of Fine Arts (MFA) in Interior Design,Sunfire College,Tallahassee,Graduate,,
10,2,Doctor of Philosophy (Ph.D.) in Music,Sunfire College,Tallahassee,Graduate,,
11,2,Master of Public Health (M.P.H.),Sunfire College,Tallahassee,Graduate,,
12,2,Juris Doctor (J.D.),Sunfire College,Tallahassee,Graduate,,
947,71,Associate of Arts in Teaching,Dallas College,Dallas,Undergraduate,,
948,71,Associate of Arts in Liberal Arts,Dallas College,Dallas,Undergraduate,,
949,71,Associate of Arts in Music,Dallas College,Dallas,Undergraduate,,
950,71,Associate of Arts in Communication,Dallas College,Dallas,Undergraduate,,
951,71,Associate of Arts in Psychology,Dallas College,Dallas,Undergraduate,,
952,71,Associate of Arts in Sociology,Dallas College,Dallas,Undergraduate,,
953,71,Associate of Arts in History,Dallas College,Dallas,Undergraduate,,
954,71,Associate of Arts in Political Science,Dallas College,Dallas,Undergraduate,,
955,71,Associate of Arts in English,Dallas College,Dallas,Undergraduate,,
956,71,Associate of Arts in Philosophy,Dallas College,Dallas,Undergraduate,,
957,71,Associate of Arts in Spanish,Dallas College,Dallas,Undergraduate,,
958,71,Associate of Applied Science in Culinary Arts,Dallas College,Dallas,Undergraduate,,
959,71,Associate of Applied Science in Baking and Pastry Arts,Dallas College,Dallas,Undergraduate,,
960,71,Associate of Applied Science in Hospitality Management,Dallas College,Dallas,Undergraduate,,
961,71,Associate of Applied Science in Fashion Design,Dallas College,Dallas,Undergraduate,,
962,71,Associate of Applied Science in Graphic Design,Dallas College,Dallas,Undergraduate,,
963,71,Associate of Applied Science in Animation,Dallas College,Dallas,Undergraduate,,
964,71,Associate of Applied Science in Journalism,Dallas College,Dallas,Undergraduate,,
965,71,Associate of Applied Science in Paralegal Studies,Dallas College,Dallas,Undergraduate,,
966,71,Associate of Applied Science in Real Estate,Dallas College,Dallas,Undergraduate,,
967,71,Associate of Applied Science in Supply Chain Management,Dallas College,Dallas,Undergraduate,,
968,71,Associate of Applied Science in Accounting,Dallas College,Dallas,Undergraduate,,
969,71,Associate of Applied Science in Business Management,Dallas College,Dallas,Undergraduate,,
970,71,Associate of Applied Science in Human Resources Management,Dallas College,Dallas,Undergraduate,,
971,71,Associate of Applied Science in Marketing,Dallas College,Dallas,Undergraduate,,
972,71,Associate of Applied Science in Early Childhood Education,Dallas College,Dallas,Undergraduate,,
973,71,Associate of Science in Engineering,Dallas College,Dallas,Undergraduate,,
974,71,Associate of Science in Computer Science,Dallas College,Dallas,Undergraduate,,
975,71,Associate of Science in Biology,Dallas College,Dallas,Undergraduate,,
976,71,Associate of Science in Chemistry,Dallas College,Dallas,Undergraduate,,
977,71,Associate of Science in Mathematics,Dallas College,Dallas,Undergraduate,,
978,71,Associate of Science in Physics,Dallas College,Dallas,Undergraduate,,
979,71,Associate of Science in Geology,Dallas College,Dallas,Undergraduate,,
980,71,Associate of Applied Science in Cybersecurity,Dallas College,Dallas,Undergraduate,,
981,71,Associate of Applied Science in Data Science,Dallas College,Dallas,Undergraduate,,
982,71,Associate of Applied Science in Information Technology,Dallas College,Dallas,Undergraduate,,
983,71,Associate of Applied Science in Software Development,Dallas College,Dallas,Undergraduate,,
984,71,Associate of Applied Science in Web Development,Dallas College,Dallas,Undergraduate,,
985,71,Associate of Applied Science in Electrical Engineering Technology,Dallas College,Dallas,Undergraduate,,
986,71,Associate of Applied Science in Mechanical Engineering Technology,Dallas College,Dallas,Undergraduate,,
987,71,Associate of Applied Science in Civil Engineering Technology,Dallas College,Dallas,Undergraduate,,
988,71,Associate of Applied Science in Automotive Technology,Dallas College,Dallas,Undergraduate,,
989,71,Associate of Applied Science in Aviation Maintenance,Dallas College,Dallas,Undergraduate,,
990,71,Associate of Applied Science in Diesel Technology,Dallas College,Dallas,Undergraduate,,
991,71,Associate of Applied Science in Construction Management,Dallas College,Dallas,Undergraduate,,
992,71,Associate of Applied Science in Biomedical Equipment Technology,Dallas College,Dallas,Undergraduate,,
993,71,Associate of Applied Science in Radiology,Dallas College,Dallas,Undergraduate,,
994,71,Associate of Applied Science in Nursing (RN),Dallas College,Dallas,Undergraduate,,
995,71,Associate of Applied Science in Dental Hygiene,Dallas College,Dallas,Undergraduate,,
996,71,Associate of Applied Science in Emergency Medical Services,Dallas College,Dallas,Undergraduate,,
997,71,Associate of Applied Science in Veterinary Technology,Dallas College,Dallas,Undergraduate,,
998,71,Associate of Applied Science in Geographic Information Systems,Dallas College,Dallas,Undergraduate,,
1011,73,Bachelor of Arts in Anthropology,Miami University,Oxford,Undergraduate,,
1012,73,Bachelor of Arts in Political Science,Miami University,Oxford,Undergraduate,,
1013,73,Bachelor of Arts in Psychology,Miami University,Oxford,Undergraduate,,
1014,73,Bachelor of Arts in English,Miami University,Oxford,Undergraduate,,
1015,73,Bachelor of Arts in History,Miami University,Oxford,Undergraduate,,
1016,73,Bachelor of Arts in Philosophy,Miami University,Oxford,Undergraduate,,
1017,73,Bachelor of Arts in Communication,Miami University,Oxford,Undergraduate,,
1018,73,Bachelor of Arts in Sociology,Miami University,Oxford,Undergraduate,,
1019,73,Bachelor of Arts in Spanish,Miami University,Oxford,Undergraduate,,
1020,73,Bachelor of Arts in International Studies,Miami University,Oxford,Undergraduate,,
1021,73,Bachelor of Arts in Art History,Miami University,Oxford,Undergraduate,,
1022,73,Bachelor of Arts in Music,Miami University,Oxford,Undergraduate,,
1023,73,Bachelor of Arts in Theatre,Miami University,Oxford,Undergraduate,,
1024,73,Bachelor of Arts in Journalism,Miami University,Oxford,Undergraduate,,
1025,73,Bachelor of Arts in Urban Regional Studies,Miami University,Oxford,Undergraduate,,
1026,73,Bachelor of Arts in Women's Gender Sexuality Studies,Miami University,Oxford,Undergraduate,,
1027,73,Bachelor of Arts in Classics,Miami University,Oxford,Undergraduate,,
1028,73,Bachelor of Arts in French,Miami University,Oxford,Undergraduate,,
1029,73,Bachelor of Arts in German,Miami University,Oxford,Undergraduate,,
1030,73,Bachelor of Arts in Italian,Miami University,Oxford,Undergraduate,,
1031,73,Bachelor of Arts in Russian,Miami University,Oxford,Undergraduate,,
1032,73,Bachelor of Arts in Chinese,Miami University,Oxford,Undergraduate,,
1033,73,Bachelor of Arts in Japanese,Miami University,Oxford,Undergraduate,,
1034,73,Bachelor of Arts in Arabic,Miami University,Oxford,Undergraduate,,
1035,73,Bachelor of Arts in Linguistics,Miami University,Oxford,Undergraduate,,
1036,73,Bachelor of Arts in Religion,Miami University,Oxford,Undergraduate,,
1037,73,Bachelor of Science in Computer Science,Miami University,Oxford,Undergraduate,,
1038,73,Bachelor of Science in Mechanical Engineering,Miami University,Oxford,Undergraduate,,
1039,73,Bachelor of Science in Electrical Engineering,Miami University,Oxford,Undergraduate,,
1040,73,Bachelor of Science in Chemical Engineering,Miami University,Oxford,Undergraduate,,
1041,73,Bachelor of Science in Civil Engineering,Miami University,Oxford,Undergraduate,,
1042,73,Bachelor of Science in Computer Engineering,Miami University,Oxford,Undergraduate,,
1043,73,Bachelor of Science in Software Engineering,Miami University,Oxford,Undergraduate,,
1044,73,Bachelor of Science in Biomedical Engineering,Miami University,Oxford,Undergraduate,,
1045,73,Bachelor of Science in Paper Engineering,Miami University,Oxford,Undergraduate,,
1046,73,Bachelor of Science in Engineering Management,Miami University,Oxford,Undergraduate,,
1047,73,Bachelor of Science in Manufacturing Engineering,Miami University,Oxford,Undergraduate,,
1048,73,Bachelor of Science in Biology,Miami University,Oxford,Undergraduate,,
1049,73,Bachelor of Science in Chemistry,Miami University,Oxford,Undergraduate,,
1050,73,Bachelor of Science in Biochemistry,Miami University,Oxford,Undergraduate,,
1051,73,Bachelor of Science in Physics,Miami University,Oxford,Undergraduate,,
1052,73,Bachelor of Science in Mathematics,Miami University,Oxford,Undergraduate,,
1053,73,Bachelor of Science in Statistics,Miami University,Oxford,Undergraduate,,
1054,73,Bachelor of Science in Geology,Miami University,Oxford,Undergraduate,,
1055,73,Bachelor of Science in Environmental Science,Miami University,Oxford,Undergraduate,,
1056,73,Bachelor of Science in Microbiology,Miami University,Oxford,Undergraduate,,
1057,73,Bachelor of Science in Zoology,Miami University,Oxford,Undergraduate,,
1058,73,Bachelor of Science in Botany,Miami University,Oxford,Undergraduate,,
1059,73,Bachelor of Science in Neuroscience,Miami University,Oxford,Undergraduate,,
1060,73,Bachelor of Science in Data Science,Miami University,Oxford,Undergraduate,,
1061,73,Bachelor of Science in Cybersecurity,Miami University,Oxford,Undergraduate,,
1062,73,Bachelor of Science in Actuarial Science,Miami University,Oxford,Undergraduate,,
1063,73,Master of Arts in English Literature,Miami University,Oxford,Graduate,,
1064,73,Master of Arts in History,Miami University,Oxford,Graduate,,
1065,73,Master of Arts in Political Science,Miami University,Oxford,Graduate,,
1066,73,Master of Arts in Psychology,Miami University,Oxford,Graduate,,
1067,73,Master of Arts in Sociology,Miami University,Oxford,Graduate,,
1068,73,Master of Arts in Communication,Miami University,Oxford,Graduate,,
1069,73,Master of Arts in Spanish,Miami University,Oxford,Graduate,,
1070,73,Master of Arts in Philosophy,Miami University,Oxford,Graduate,,
1071,73,Master of Arts in Theatre,Miami University,Oxford,Graduate,,
1072,73,Master of Arts in Musicology,Miami University,Oxford,Graduate,,
1073,73,Master of Arts in Creative Writing,Miami University,Oxford,Graduate,,
1074,73,Master of Arts in Art History,Miami University,Oxford,Graduate,,
1075,73,Master of Public Administration,Miami University,Oxford,Graduate,,
1076,73,Master of Accountancy,Miami University,Oxford,Graduate,,
1077,73,Master of Arts in Teaching,Miami University,Oxford,Graduate,,
1078,73,Master of Education in Educational Leadership,Miami University,Oxford,Graduate,,
1079,73,Master of Arts in Gerontology,Miami University,Oxford,Graduate,,
1080,73,Master of Arts in International Relations,Miami University,Oxford,Graduate,,
1081,73,Master of Arts in Linguistics,Miami University,Oxford,Graduate,,
1082,73,Master of Arts in Anthropology,Miami University,Oxford,Graduate,,
1083,73,Master of Fine Arts in Studio Art,Miami University,Oxford,Graduate,,
1084,73,Master of Music in Performance,Miami University,Oxford,Graduate,,
1085,73,Master of Arts in Journalism,Miami University,Oxford,Graduate,,
1086,73,Master of Arts in Public History,Miami University,Oxford,Graduate,,
1087,73,Master of Arts in Women's Gender Sexuality Studies,Miami University,Oxford,Graduate,,
1088,73,Master of Business Administration,Miami University,Oxford,Graduate,,
1089,73,Master of Science in Computer Science,Miami University,Oxford,Graduate,,
1090,73,Master of Science in Mechanical Engineering,Miami University,Oxford,Graduate,,
1091,73,Master of Science in Electrical Engineering,Miami University,Oxford,Graduate,,
1092,73,Master of Science in Chemical Engineering,Miami University,Oxford,Graduate,,
1093,73,Master of Science in Civil Engineering,Miami University,Oxford,Graduate,,
1094,73,Master of Science in Biomedical Engineering,Miami University,Oxford,Graduate,,
1095,73,Master of Science in Biology,Miami University,Oxford,Graduate,,
1096,73,Master of Science in Chemistry,Miami University,Oxford,Graduate,,
1097,73,Master of Science in Physics,Miami University,Oxford,Graduate,,
1098,73,Master of Science in Mathematics,Miami University,Oxford,Graduate,,
1099,73,Master of Science in Statistics,Miami University,Oxford,Graduate,,
1100,73,Master of Science in Data Science,Miami University,Oxford,Graduate,,
1101,73,Master of Science in Cybersecurity,Miami University,Oxford,Graduate,,
1102,73,Master of Science in Environmental Science,Miami University,Oxford,Graduate,,
1103,73,Master of Science in Geology,Miami University,Oxford,Graduate,,
1104,73,Master of Science in Neuroscience,Miami University,Oxford,Graduate,,
1105,73,Master of Science in Biochemistry,Miami University,Oxford,Graduate,,
1106,73,Master of Science in Microbiology,Miami University,Oxford,Graduate,,
1107,73,Master of Science in Materials Science,Miami University,Oxford,Graduate,,
1108,73,Master of Science in Actuarial Science,Miami University,Oxford,Graduate,,
1109,73,Master of Science in Bioinformatics,Miami University,Oxford,Graduate,,
1110,73,Master of Science in Software Engineering,Miami University,Oxford,Graduate,,
1111,73,Master of Science in Computer Engineering,Miami University,Oxford,Graduate,,
1112,73,Master of Science in Applied Mathematics,Miami University,Oxford,Graduate,,
1113,73,Master of Science in Geographic Information Science,Miami University,Oxford,Graduate,,
1114,73,Master of Science in Engineering Management,Miami University,Oxford,Graduate,,
1115,74,Bachelor of Arts in Biblical Text,Oklahoma Christian University,Oklahoma City,Undergraduate,,
