ProgramId,CollegeId,ProgramName,CollegeName,City,Level,QsWorldRanking,UsNewsRanking
13450,170,Minor in Folklore and Ethnomusicology,Indiana University,Bloomington,Undergraduate,,
13451,170,Minor in French,Indiana University,Bloomington,Undergraduate,,
13452,170,Minor in Game Design,Indiana University,Bloomington,Undergraduate,,
13453,170,Minor in Gender Studies,Indiana University,Bloomington,Undergraduate,,
13454,170,Minor in Geography,Indiana University,Bloomington,Undergraduate,,
13455,170,Minor in Geographic Information Systems and Remote Sensing,Indiana University,Bloomington,Undergraduate,,
13456,170,Minor in Geological Sciences,Indiana University,Bloomington,Undergraduate,,
13457,170,Minor in German,Indiana University,Bloomington,Undergraduate,,
13458,170,Minor in Germanic Studies,Indiana University,Bloomington,Undergraduate,,
13459,170,Minor in Global Health Promotion,Indiana University,Bloomington,Undergraduate,,
13460,170,Minor in Global Media,Indiana University,Bloomington,Undergraduate,,
13461,170,Minor in Greek,Indiana University,Bloomington,Undergraduate,,
13462,170,"Minor in Health, Identity, and Social Justice",Indiana University,Bloomington,Undergraduate,,
13463,170,Minor in Healthy Aging,Indiana University,Bloomington,Undergraduate,,
13464,170,Minor in Hebrew,Indiana University,Bloomington,Undergraduate,,
13465,170,Minor in Higher Education and Student Affairs,Indiana University,Bloomington,Undergraduate,,
13466,170,Minor in History,Indiana University,Bloomington,Undergraduate,,
13467,170,Minor in History and Philosophy of Science,Indiana University,Bloomington,Undergraduate,,
13468,170,Minor in Hospitality Services,Indiana University,Bloomington,Undergraduate,,
13469,170,Minor in Human Development and Family Studies,Indiana University,Bloomington,Undergraduate,,
13470,170,Minor in Human Sexuality,Indiana University,Bloomington,Undergraduate,,
13471,170,Minor in Illustration,Indiana University,Bloomington,Undergraduate,,
13472,170,Minor in India Studies,Indiana University,Bloomington,Undergraduate,,
13473,170,Minor in Individualized Minor,Indiana University,Bloomington,Undergraduate,,
13474,170,Minor in Interior Design Studies,Indiana University,Bloomington,Undergraduate,,
13475,170,Minor in International and Comparative Education,Indiana University,Bloomington,Undergraduate,,
13476,170,Minor in International Relations,Indiana University,Bloomington,Undergraduate,,
13477,170,Minor in International Studies,Indiana University,Bloomington,Undergraduate,,
13478,170,Minor in Italian,Indiana University,Bloomington,Undergraduate,,
13479,170,Minor in Jewish Studies,Indiana University,Bloomington,Undergraduate,,
13480,170,Minor in Kinesiology,Indiana University,Bloomington,Undergraduate,,
13481,170,Minor in Latin,Indiana University,Bloomington,Undergraduate,,
13482,170,Minor in Latin American and Caribbean Studies,Indiana University,Bloomington,Undergraduate,,
13483,170,Minor in Latino Studies,Indiana University,Bloomington,Undergraduate,,
13484,170,Minor in Leaders and Leadership,Indiana University,Bloomington,Undergraduate,,
13485,170,Minor in Linguistics,Indiana University,Bloomington,Undergraduate,,
13486,170,Minor in Marketing,Indiana University,Bloomington,Undergraduate,,
13487,170,Minor in Martial Arts,Indiana University,Bloomington,Undergraduate,,
13488,170,Minor in Maternal and Child Health,Indiana University,Bloomington,Undergraduate,,
13489,170,Minor in Mathematics,Indiana University,Bloomington,Undergraduate,,
13490,170,Minor in Media and Creative Advertising,Indiana University,Bloomington,Undergraduate,,
13491,170,Minor in Media and Diversity,Indiana University,Bloomington,Undergraduate,,
13492,170,Minor in Media Law and Ethics,Indiana University,Bloomington,Undergraduate,,
13493,170,Minor in Media Persuasion,Indiana University,Bloomington,Undergraduate,,
13494,170,"Minor in Media, Sex and Gender",Indiana University,Bloomington,Undergraduate,,
13495,170,Minor in Medieval Studies,Indiana University,Bloomington,Undergraduate,,
13496,170,Minor in Music,Indiana University,Bloomington,Undergraduate,,
13497,170,Minor in Native American and Indigenous Studies,Indiana University,Bloomington,Undergraduate,,
13498,170,Minor in Near Eastern Languages and Cultures,Indiana University,Bloomington,Undergraduate,,
13499,170,Minor in Norwegian,Indiana University,Bloomington,Undergraduate,,
13500,170,Minor in Nutrition,Indiana University,Bloomington,Undergraduate,,
13501,170,Minor in Obesity and Health,Indiana University,Bloomington,Undergraduate,,
13502,170,"Minor in Outdoor Recreation, Parks, and Human Ecology",Indiana University,Bloomington,Undergraduate,,
13503,170,Minor in Parks and Recreation Administration,Indiana University,Bloomington,Undergraduate,,
13504,170,Minor in Personal Well-Being,Indiana University,Bloomington,Undergraduate,,
13505,170,Minor in Philosophy,Indiana University,Bloomington,Undergraduate,,
13506,170,Minor in Philosophy of Mind and Cognition,Indiana University,Bloomington,Undergraduate,,
13507,170,Minor in Philosophy of the Arts,Indiana University,Bloomington,Undergraduate,,
13508,170,Minor in Physics,Indiana University,Bloomington,Undergraduate,,
13509,170,Minor in Polish Studies,Indiana University,Bloomington,Undergraduate,,
13510,170,Minor in Political Science,Indiana University,Bloomington,Undergraduate,,
13511,170,Minor in Pre-Law,Indiana University,Bloomington,Undergraduate,,
13512,170,Minor in Professional Writing,Indiana University,Bloomington,Undergraduate,,
13513,170,Minor in Psychology,Indiana University,Bloomington,Undergraduate,,
13514,170,Minor in Public Health,Indiana University,Bloomington,Undergraduate,,
13515,170,Minor in Public Management,Indiana University,Bloomington,Undergraduate,,
13516,170,Minor in Recreational Sport Management,Indiana University,Bloomington,Undergraduate,,
13517,170,Minor in Safety,Indiana University,Bloomington,Undergraduate,,
13518,170,Minor in Social Justice and Community Engagement,Indiana University,Bloomington,Undergraduate,,
13519,170,Minor in Sociology,Indiana University,Bloomington,Undergraduate,,
13520,170,Minor in Spanish,Indiana University,Bloomington,Undergraduate,,
13521,170,Minor in Special Education,Indiana University,Bloomington,Undergraduate,,
13522,170,Minor in Sport Marketing and Management,Indiana University,Bloomington,Undergraduate,,
13523,170,Minor in Studio Art,Indiana University,Bloomington,Undergraduate,,
13524,170,"Minor in Tourism, Hospitality, and Event Management",Indiana University,Bloomington,Undergraduate,,
13525,170,Minor in Underwater Resource Management,Indiana University,Bloomington,Undergraduate,,
13526,170,Minor in Youth Development,Indiana University,Bloomington,Undergraduate,,
