ProgramId,CollegeId,ProgramName,CollegeName,City,Level,QsWorldRanking,UsNewsRanking
24415,222,Master of Arts in Middle Grades Education,DePaul University,Chicago,Graduate,,
24416,222,Master of Music in Music Composition,DePaul University,Chicago,Graduate,,
24417,222,Master of Music in Music Education,DePaul University,Chicago,Graduate,,
24418,222,Master of Music in Music Performance,DePaul University,Chicago,Graduate,,
24419,222,Master of Science in Network Engineering and Security,DePaul University,Chicago,Graduate,,
24420,222,Master of Public Administration in Non-Profit Management Concentration,DePaul University,Chicago,Graduate,,
24421,222,Doctor of Nursing Practice in Nurse Anesthesia,DePaul University,Chicago,Graduate,,
24422,222,Doctor of Nursing Practice,DePaul University,Chicago,Graduate,,
24423,222,Master of Science in Nursing (Entry to the Profession),DePaul University,Chicago,Graduate,,
24424,222,"Master of Science in Nursing, Public Health",DePaul University,Chicago,Graduate,,
24425,222,Master of Arts in Organizational and Multicultural Communication,DePaul University,Chicago,Graduate,,
24426,222,Doctor of Philosophy in Organizational Psychology,DePaul University,Chicago,Doctoral,,
24427,222,Doctor of Philosophy,DePaul University,Chicago,Doctoral,,
24428,222,Master of Education in Physical Education,DePaul University,Chicago,Graduate,,
24429,222,Master of Science in Physics,DePaul University,Chicago,Graduate,,
24430,222,Master of Fine Arts in Playwriting,DePaul University,Chicago,Graduate,,
24431,222,Master of Science in Predictive Analytics and Geo-computation,DePaul University,Chicago,Graduate,,
24432,222,Master of Science in Product Innovation and Computing,DePaul University,Chicago,Graduate,,
24433,222,Master of Arts in Professional Communication,DePaul University,Chicago,Graduate,,
24434,222,Master of Science in Psychological Science,DePaul University,Chicago,Graduate,,
24435,222,Doctor of Philosophy in Psychology,DePaul University,Chicago,Doctoral,,
24436,222,Master of Public Administration,DePaul University,Chicago,Graduate,,
24437,222,Master of Public Health,DePaul University,Chicago,Graduate,,
24438,222,Master of Public Policy,DePaul University,Chicago,Graduate,,
24439,222,Master of Arts in Public Relations and Advertising,DePaul University,Chicago,Graduate,,
24440,222,Master of Science in Pure Mathematics,DePaul University,Chicago,Graduate,,
24441,222,Master of Arts in Reading Specialist,DePaul University,Chicago,Graduate,,
24442,222,Master of Science in Real Estate,DePaul University,Chicago,Graduate,,
24443,222,Master of Science in Refugee and Forced Migration Studies,DePaul University,Chicago,Graduate,,
24444,222,Registered Nurse to Master of Science in Nursing (RN to MSN),DePaul University,Chicago,Graduate,,
24445,222,Master of Fine Arts in Screenwriting,DePaul University,Chicago,Graduate,,
24446,222,Master of Arts in Secondary Education,DePaul University,Chicago,Graduate,,
24447,222,"Master of Arts in Social, Cultural, and Foundational Studies in Education",DePaul University,Chicago,Graduate,,
24448,222,Master of Arts in Sociology,DePaul University,Chicago,Graduate,,
24449,222,Master of Science in Software Engineering,DePaul University,Chicago,Graduate,,
24450,222,Master of Education in Special Education,DePaul University,Chicago,Graduate,,
24451,222,"Master of Science in Sport, Fitness, and Recreation Leadership",DePaul University,Chicago,Graduate,,
24452,222,Master of Science in Statistics,DePaul University,Chicago,Graduate,,
24453,222,Master of Science in Supply Chain Management,DePaul University,Chicago,Graduate,,
24454,222,Master of Science in Sustainable Management,DePaul University,Chicago,Graduate,,
24455,222,Master of Science in Taxation,DePaul University,Chicago,Graduate,,
24456,222,Master of Arts in Teaching and Learning,DePaul University,Chicago,Graduate,,
24457,222,Master of Fine Arts in Theatre Arts,DePaul University,Chicago,Graduate,,
24458,222,Master of Arts in Urban Planning and Development,DePaul University,Chicago,Graduate,,
24459,222,Doctor of Philosophy in Value-Creating Education for Global Citizenship,DePaul University,Chicago,Doctoral,,
24460,222,Master of Education in Value-Creating Education for Global Citizenship,DePaul University,Chicago,Graduate,,
24461,222,Master of Arts in Visual Arts Education,DePaul University,Chicago,Graduate,,
24462,222,Master of Arts in World Language Education,DePaul University,Chicago,Graduate,,
24463,222,"Master of Arts in Writing, Rhetoric, and Discourse",DePaul University,Chicago,Graduate,,
24464,222,Bachelor of Science in Business in Accountancy,DePaul University,Chicago,Undergraduate,,
24465,222,Bachelor of Fine Arts in Acting,DePaul University,Chicago,Undergraduate,,
24466,222,Bachelor of Science in Business in Actuarial Science,DePaul University,Chicago,Undergraduate,,
24467,222,Bachelor of Science in Actuarial Science,DePaul University,Chicago,Undergraduate,,
24468,222,Bachelor of Arts in African and Black Diaspora Studies,DePaul University,Chicago,Associate,,
24469,222,Bachelor of Arts in American Studies,DePaul University,Chicago,Undergraduate,,
24470,222,Minor in American Sign Language,DePaul University,Chicago,Undergraduate,,
24471,222,Bachelor of Arts in Animation,DePaul University,Chicago,Undergraduate,,
24472,222,Bachelor of Fine Arts in Animation,DePaul University,Chicago,Undergraduate,,
24473,222,Bachelor of Arts in Anthropology,DePaul University,Chicago,Undergraduate,,
24474,222,Bachelor of Arts in Applied Behavioral Sciences,DePaul University,Chicago,Undergraduate,,
24475,222,Bachelor of Arts in Applied Diplomacy,DePaul University,Chicago,Undergraduate,,
24476,222,Bachelor of Arts in Arabic Studies,DePaul University,Chicago,Undergraduate,,
24477,222,Bachelor of Arts in Art,DePaul University,Chicago,Undergraduate,,
24478,222,"Bachelor of Arts in Art, Media, and Design",DePaul University,Chicago,Undergraduate,,
24479,222,"Bachelor of Fine Arts in Art, Media, and Design",DePaul University,Chicago,Undergraduate,,
24480,222,Bachelor of Science in Astrophysics,DePaul University,Chicago,Associate,,
24481,222,Bachelor of Science in Biochemistry,DePaul University,Chicago,Undergraduate,,
24482,222,Bachelor of Science in Biological Sciences,DePaul University,Chicago,Undergraduate,,
24483,222,Bachelor of Arts in Professional Studies in Business Administration,DePaul University,Chicago,Undergraduate,,
24484,222,Bachelor of Science in Business in Business Administration,DePaul University,Chicago,Undergraduate,,
24485,222,Bachelor of Science in Business Analytics,DePaul University,Chicago,Undergraduate,,
24486,222,Minor in Catholic Studies,DePaul University,Chicago,Undergraduate,,
24487,222,Bachelor of Science in Chemistry,DePaul University,Chicago,Undergraduate,,
