QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Haile College of Business,,4.0,3.0,,"Fall, Spring",,,"$22,350 (Total for 30 credits, KY Resident)",,"$745 per credit hour (Kentucky Resident); $1,152 per credit hour (Non-Resident)",,,"Merit-based scholarships, Graduate Assistantships",As little as 10 months (30 credit hours),"$22,350 (Total for 30 credits, KY Resident)",Master of Accountancy,https://www.nku.edu/admissions/graduate/programs.html
,College of Health and Human Services,2.0,4.0,3.0,,Summer,,,,,Kentucky Resident: $667; Metro Rate: $787; Out-of-State: $977,,,Graduate Assistantships,2 years (5 semesters),18342.5,Master of Science in Athletic Training,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4546&returnto=4572
,Haile College of Business,1.0,4.0,2.5,,"Fall, Spring, Summer",,,,,$779 Per Credit Hour,,,"Merit-based, Diversity-based",As few as 12 months,"Total Estimated Tuition: $25,707",Master of Business Administration,https://onlinedegrees.nku.edu/programs/business/mba/
,Haile College of Business,,4.0,3.0,,"Fall, Spring, Summer",,,22950,,765,,,Graduate Assistantships,As few as 12 months,"$22,950 for the entire 30-credit-hour program ($765 per credit hour)",Master of Business Leadership & Innovation,https://www.youtube.com/watch?v=jvJe85nZuuE
,College of Health and Human Services,0.0,4.0,3.0,,Fall,early July 2025,"November 1, 2025",,,$800 per credit hour (Resident),1000,,"Graduate Assistantships, NKU Graduate Scholarship",21 months,61600,Master of Science in Cardiovascular Perfusion,https://www.nku.edu/admissions/graduate/programs.html
,College of Education,,4.0,2.75,,Fall,August,January 15,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)",,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)","Varies (e.g., $500, $1,500)",,"Merit-based, Need-based",2.5 years,"$667/credit hour (Kentucky Resident), $946/credit hour (Out-of-State)",Master of Science in Clinical Mental Health Counseling,https://www.nku.edu/admissions/graduate/programs.html
,College of Informatics,,4.0,3.0,,"Fall, Spring, Summer",,,,,"KY Resident: $667/credit hour, Non-Resident: $967/credit hour",,,"Graduate Assistantships, Tuition Scholarships",30-33 credit hours,,Master of Science in Computer Science,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4533
,College of Informatics,,4.0,3.0,,Multiple start dates per year,,,"$23,100 (Total Program Cost)",,$770 per credit hour (Non-Resident),,,Graduate Assistantships,As few as 20 months,"$23,100 (Total Program Cost)",Master of Science in Cybersecurity,https://onlinedegrees.nku.edu/programs/technology/ms-cybersecurity/
,College of Education,,4.0,2.75,,"Fall, Spring, Summer",,,,,$667 per credit hour (Kentucky Resident),"$1,000 - $5,000 per academic year",Up to 100% (for assistantships),"Graduate Assistantships, Fellowships, Merit-based Scholarships",,,Master of Arts in Education,https://www.nku.edu/admissions/graduate/programs.html
,College of Education,,4.0,3.0,,"Spring, Summer, Fall",,,,,$667 (Kentucky Resident); $960 (Non-Resident),"Up to $1,000 (Graduate Student Opportunity Grant); $2,000 (URM Graduate Student Scholarship)",,"Need-based, Diversity-based",30 credit hours,"$20,010 (Resident) - $28,800 (Non-Resident)",Master of Arts in Educational Leadership,https://www.nku.edu/admissions/graduate/programs.html
,College of Arts and Sciences,,4.0,3.0,,"Fall, Spring",,,,,$681 per credit hour (KY Resident); $963 per credit hour (Non-Resident),"Up to $4,000 per academic year",,"Graduate Assistantships, Fellowships, Merit-based scholarships",30 credit hours,,Master of Arts in English,https://www.nku.edu/admissions/graduate/programs.html
,College of Health and Human Services,,4.0,3.0,,Fall,,,24732,,Kentucky Resident: $687; Ohio Reciprocity (Metro): $802; Non-Resident: $960,"$1,000",,"Merit-based, Need-based, Assistantships",2 years,24732,Master of Science in Exercise Science,https://www.nku.edu/admissions/graduate/programs.html
