Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Optional,Optional,"Official transcripts from all undergraduate and graduate institutions attended; A bachelor’s degree from a regionally accredited institution; An overall undergraduate grade point average (GPA) of at least 3.00 on a 4.00 scale. If the undergraduate GPA is less than 3.00, the applicant may still be considered for admission by submitting a GMAT score of 500 or better. The analytical writing portion must have a score of 3.5 or better.",,False,False,False,False,False,False,,,program,Master of Accountancy,https://www.nku.edu/admissions/graduate/programs.html,
,,,,,,,,,,,,error,Master of Science in Athletic Training,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4546&returnto=4572,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"Admission to the NKU MBA program is based on the following criteria:

A bachelor's degree from a regionally accredited institution
A minimum undergraduate GPA of 3.0 on a 4.0 scale
Conditional admission may be granted to students with GPAs between 2.5 and 2.99
Submission of GMAT or GRE score reports
GMAT/GRE waivers are available for candidates with:
An undergraduate GPA of 3.2 or higher from a regionally accredited institution OR
Five or more years of professional work experience OR
A terminal degree (e.g., JD, MD, PhD, etc.) OR
A master's degree in a business-related field OR
Active CPA license.
Two letters of recommendation (can be academic or professional)
A current resume
A 500-word statement of purpose",,False,False,False,True,False,False,,,program,Master of Business Administration,https://onlinedegrees.nku.edu/programs/business/mba/,
Required,Required,Admission to the Master of Business Leadership and Innovation (MBLI) is selective. The admissions committee reviews each candidate’s application package and considers all components of the application to determine the candidate’s overall qualifications for the program. Applicants must meet the admission requirements of the graduate school as well as the program-specific requirements listed below: A bachelor's degree from an accredited institution. An undergraduate GPA of 3.0 or higher. OR an undergraduate GPA between 2.5-2.99 with three years of progressive work or military experience. A current resume detailing professional experience. A personal statement video (2-4 minutes in length).,Not Required,True,False,False,False,False,False,,,program,Master of Business Leadership & Innovation,https://www.youtube.com/watch?v=jvJe85nZuuE,
,,,,,,,,,,,,error,Master of Science in Cardiovascular Perfusion,https://www.nku.edu/admissions/graduate/programs.html,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"In addition to the online application for graduate admission and application fee, the following are required: Official transcripts from all post-secondary institutions attended. Three letters of recommendation. A statement of purpose outlining your career goals and reasons for seeking admission to the program. A resume highlighting relevant experience.",Not Required,True,False,False,False,False,False,,,program,Master of Science in Clinical Mental Health Counseling,https://www.nku.edu/admissions/graduate/programs.html,
,,,,,,,,,,,,error,Master of Science in Computer Science,https://onlinecatalog.nku.edu/preview_program.php?catoid=28&poid=4533,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Cybersecurity,https://onlinedegrees.nku.edu/programs/technology/ms-cybersecurity/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Arts in Education,https://www.nku.edu/admissions/graduate/programs.html,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Arts in Educational Leadership,https://www.nku.edu/admissions/graduate/programs.html,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
