Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,dept
,Master of Accounting,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Stephen M. Ross School of Business,69282,"Michigan Residents: $64,282/program, Non-Michigan Residents: $69,282/program",,,,,,,"The Michigan Ross Master of Accounting is a top-ranked, eight-month program that prepares you to be a leader in the ever-changing world of business. You’ll be ready for the CPA exam and a great job in just two semesters. You’ll go deeper into accounting topics than you would in an undergraduate program and take a set of core courses designed to prepare you to solve complex business problems. Choose from electives in areas like data analytics, finance, management, and more to round out your business knowledge. Our dedicated Career Development Office will give you the resources and support to land a job at a top firm. We have an outstanding track record of placing students at Big Four accounting firms and other top organizations in a variety of industries.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,70.0,,100.0,,,,,,,,,,,"$5,000 to full tuition",More than 65% of recent students received a scholarship,Merit-based,False,,,False,False,,,,Full-Time MBA Admissions
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All applicants to the Aerospace Engineering graduate program must submit the Rackham Graduate School online application. The following materials are required to be submitted with your application by the deadline:

- Application Fee
- Transcripts: We require you to upload one scanned official transcript from each undergraduate and graduate institution you have attended.
- Three letters of recommendation are required.
- A Statement of Purpose is required (approximately 500 words). This should be a concise, well-written statement about your academic and research background, your career goals, and how Michigan’s graduate program will help you meet your career and educational objectives.
- A Personal Statement is required (approximately 500 words).
- A resume or curriculum vitae (CV) is required.
- The GRE test is not required and will not be considered in the admission review.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"Non-Resident: $59,666/Year; Resident: $29,530/Year","Non-Resident: $59,666/Year; Resident: $29,530/Year",,,,,,"['Gas Dynamics', 'Flight Dynamics and Control', 'Structural Mechanics', 'Propulsion', 'Orbital Mechanics']","The Master of Science in Engineering (MSE) in Aerospace Engineering program at the University of Michigan is for students who have a bachelor of science in engineering or a related field and wish to pursue a graduate degree in Aerospace Engineering. Michigan Engineering is one of the only universities in the country to offer a fully-funded Master’s degree in Aerospace Engineering. Michigan Aerospace Engineering is a top-ranked program, known for its excellence in research and teaching. Our students have the opportunity to engage in cutting-edge research, working side-by-side with our renowned faculty.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,3280,False,True,,4.0,3.2,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,84.0,,,,,,,,,,,,,Merit-based,False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Arts in American Culture,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Literature, Science, and the Arts (LSA); Horace H. Rackham School of Graduate Studies","$26,920/Year (Resident); $54,904/Year (Non-Resident)","$26,920/Year (Resident); $54,904/Year (Non-Resident)",,,,,,,"The Master of Arts in American Culture is a terminal, two-year degree program that provides students with a broad and deep understanding of the diverse cultures of the United States. Our curriculum emphasizes interdisciplinary approaches to the study of American culture, drawing on methods and insights from history, literature, art history, media studies, and the social sciences. Students develop critical thinking, research, and writing skills that are valuable for a wide range of careers in education, public humanities, museums, archives, and non-profit organizations. The M.A. program requires 24 credits of graduate-level coursework, a master's thesis, and a demonstration of reading proficiency in one foreign language. All students are required to take AMCVUL 598: Introduction to Graduate Studies in American Culture and AMCVUL 698: Studies in American Culture. The remaining 18 credits are chosen from a wide range of elective courses in consultation with a faculty advisor.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,"Full tuition, health insurance, and an annual stipend (e.g., $28,016 for 2023-24).",100%,Fellowships and Graduate Student Instructorships (GSI),False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Science in Applied and Interdisciplinary Mathematics,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Literature, Science, and the Arts","Resident: $13,446/term; Non-Resident: $27,392/term","Resident: $13,446/term; Non-Resident: $27,392/term",,,,,,,"The M.S. in Applied and Interdisciplinary Mathematics is intended for students who wish to acquire a strong foundation in applied mathematics for a career in industry or government, or for further graduate studies. The program is flexible and can be tailored to a student's individual interests. It provides a solid background for a variety of careers in data science, finance, mathematical modeling, and research and development.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,"Resident: $2,077 for the first credit hour + $1,409 for each additional hour; Non-Resident: $3,640 for the first credit hour + $2,960 for each additional hour.",False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,68.0,,88.0,,,,,,,,,,,,,"Fellowships, Grants, Graduate Student Instructorships (GSI), Graduate Student Research Assistantships (GSRA)",False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Arts in Applied Economics,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Literature, Science, and the Arts","$13,778/Term (Resident); $27,362/Term (Non-Resident)","$13,778/Term (Resident); $27,362/Term (Non-Resident)",,,,,,,"The Master of Arts in Applied Economics (MAE) is a ten-month, intensive program focusing on the application of economic analysis to real-world problems. It is designed to equip its students with the analytical and quantitative tools for a successful career as an economist in business, government, or the non-profit sector. The MAE program has a dedicated career services counselor who works with students on internship and job placement and career development. Most students have a full-time job within six months of graduation. Some go on to top-ranked Ph.D. programs.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,"$1,495/credit (Resident); $3,010/credit (Non-Resident)",False,False,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,84.0,,,,,,,,,,,,,Merit-based,False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Applied Science in Applied Geosciences,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the Rackham Graduate School’s requirements, the following materials are required for admission to this program: Transcripts from all previous undergraduate and graduate institutions, three letters of recommendation, CV or resume, a statement of purpose describing your interest in the program and research experiences, and an English proficiency test score for non-native English speakers.",Optional,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Literature, Science, and the Arts",,"$13,639/Term (Resident); $27,355/Term (Non-Resident)",,,,,,,"The Master of Applied Science (M.A.S.) is a coursework only terminal master’s program designed for students who desire advanced training in geosciences to prepare them for careers in industry or government. The program will typically be completed in 12 months. In comparison with the M.S. degree, the M.A.S. program is focused less on original research and more on practical application of geosciences knowledge. The program is flexible to accommodate students interested in a broad array of geoscience fields including hydrogeology, geophysics, geochemistry, economic geology and environmental geology.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,"$1,492.25/credit (Resident); $3,016.25/credit (Non-Resident)",False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,,,"Fellowships, Grants",False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Science in Applied Physics,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,A complete application to the Applied Physics Graduate Program consists of the following: The Rackham Graduate School online application; The application fee; Transcripts from all previous undergraduate and graduate institutions; Three letters of recommendation; Academic Statement of Purpose; Personal Statement; Resume or Curriculum Vitae (CV); GRE Scores (Optional); TOEFL or MELAB scores (for non-native English speakers).,,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Literature, Science, and the Arts and College of Engineering","Non-Resident: $56,840/Year; Resident: $28,052/Year","Non-Resident: $56,840/Year; Resident: $28,052/Year",,,,,,,"The Applied Physics Program at the University of Michigan is an interdisciplinary graduate program that offers a flexible curriculum with a strong research component. The program combines the rigor of physics with the real-world applications of engineering, and it provides an outstanding environment for students to apply their physics training to cutting-edge topics in both basic and applied science. The M.S. program is designed for individuals who are interested in pursuing a career in industry, government, or a related field. The research component, with one of our 100+ affiliated faculty, is strongly emphasized. The program has strong ties to many departments within the College of Engineering and College of Literature, Science, and the Arts, as well as the Medical School. All M.S. students will be expected to conduct a significant research project with a faculty member associated with the Applied Physics Program. To earn the M.S. degree, students must either write a thesis and defend it orally, or they may opt out of the thesis by performing well on the Ph.D. qualifying exam.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,"Non-Resident: $3,134/Credit; Resident: $1,535/Credit",False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,,,"Fellowships, Graduate Student Research Assistantship (GSRA), Graduate Student Instructorship (GSI)",False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Arts in Arabic Studies,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Literature, Science, and the Arts","$14,142/Term (Resident); $28,524/Term (Non-Resident)","$14,142/Term (Resident); $28,524/Term (Non-Resident)",,,,,,"['Arabic Literature and Culture', 'Arabic Language and Linguistics']","The Department of Middle East Studies (MES) at the University of Michigan, Ann Arbor, is currently accepting applications to its M.A. program in Arabic Studies.

The M.A. in Arabic Studies at the University of Michigan is a two-year program that prepares students for entrance into a top-tier Ph.D. program in Arabic Studies or a related field; for a professional career in which expertise in the Arab world is a prerequisite; or to complement a professional degree (e.g., law, public policy, business, public health).

The program draws on the strengths of our distinguished faculty in Arabic language, linguistics, literature, and culture, and is enriched by the university’s renowned resources for the study of the Middle East, including the Islamic Studies Program, the Center for Middle Eastern and North African Studies (a Title VI National Resource Center), the an-Najah Arabic language program, and an extensive library collection.

The M.A. program has two tracks:

*   Track 1: Arabic Literature and Culture
*   Track 2: Arabic Language and Linguistics

Students on both tracks are required to complete a total of 30 credits (normally, 10 courses) and an M.A. thesis, an original research project of 30-40 pages written under the supervision of an MES faculty member. The degree requirements are flexible in order to meet the needs and interests of individual students. All students are required to take one MES course on literary and cultural theory and one on the structures of Arabic. Additional coursework is chosen from a list of MES graduate courses in consultation with the graduate advisor. Students who have not had the equivalent of five years of university-level training in Modern Standard Arabic must continue to take Arabic language courses. Students are also encouraged to study a second Middle Eastern language.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,"$1,475/credit (Resident); $3,073/credit (Non-Resident)",False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,"Foreign Language and Area Studies (FLAS) Fellowship provides $20,000 for tuition and a $20,000 stipend.",,"Merit-based fellowships, Assistantships (GSI/GSRA)",False,,,False,False,,,,Rackham Graduate School Admissions
,Master of Architecture,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All applicants to the Master of Architecture program must complete the Rackham Graduate School Application. The application requires an Academic Statement of Purpose and a Personal Statement. Three letters of recommendation are required. Applicants must submit transcripts from all attended post-secondary institutions. A portfolio of creative work is also required, along with a resume or curriculum vitae (CV). Non-native English speakers must submit English proficiency scores. Submission of GRE scores is optional.",Not Required,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Taubman College of Architecture and Urban Planning,63036,"Resident: $16,032/term; Non-Resident: $31,518/term",,,,,,"['Design + Health', 'Digital and Material Technologies', 'Public Design']","The Master of Architecture degree at the University of Michigan is for those who are passionate about design and want to make a difference in the world. As one of the country's top-ranked M.Arch programs, we are known for our strong design-centered curriculum that is enriched by a vibrant culture of research and making. Our students are challenged to think critically and creatively, and to develop the skills they need to become leaders in the field. Our interdisciplinary approach to architecture education means that students have the opportunity to take courses in a variety of fields, including urban planning, engineering, business, and art and design. This allows them to develop a well-rounded understanding of the built environment and the complex challenges facing our world today. We believe that architecture has the power to improve people's lives and that a rigorous education in design, history, theory, and technology is the best way to prepare our students to make a positive impact.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.","In the United States, most state registration boards require a degree from an accredited professional degree program as a prerequisite for licensure. The National Architectural Accrediting Board (NAAB), which is the sole agency authorized to accredit U.S. professional degree programs in architecture, recognizes three types of degrees: the Bachelor of Architecture, the Master of Architecture, and the Doctor of Architecture. Taubman College’s Master of Architecture program is accredited. Next accreditation visit: 2026.",20000,"Resident: $1,673/credit hour; Non-Resident: $3,405/credit hour",False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,112.0,,,6.5,,,68.0,,84.0,,,,,,,,,,,,96% of incoming students,Merit-based,False,,,False,False,,,,Taubman College Admissions
,Master of Fine Arts in Art and Design,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To be considered for admission, applicants must submit the following: Stamps School of Art & Design Graduate Application, Rackham Graduate School Application, Transcripts, Letters of Recommendation (3), Statement of Purpose, Artist's Statement, Portfolio, CV / Resume, English Proficiency Scores (if required). Standardized test scores (such as the GRE) are not required and will not be considered in the admission review.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Penny W. Stamps School of Art & Design,"Resident: $14,080/Term; Non-Resident: $28,406/Term","Resident: $14,080/Term; Non-Resident: $28,406/Term",,,,,,,"The MFA in Art & Design is an interdisciplinary, two-year, 60-credit program in which students—in consultation with faculty—develop a customized course of study that best supports their creative work and intellectual interests. We do not have media-specific or discipline-specific programs; instead, students are admitted into the program as a whole and pursue their own lines of inquiry in a robust environment of interdisciplinary critique, state-of-the-art resources and facilities, and a dynamic visiting artist and designer lecture series. MFA students are immersed in a dynamic culture of research and creative exploration, with an emphasis on experimentation and innovation. As a Stamps MFA student, you will pursue your work within a supportive community of peers and a faculty of accomplished artists and designers. The MFA curriculum provides a framework for students to identify and explore their own lines of inquiry, balanced with a range of topical seminars, electives, and opportunities for independent study. Students also take graduate-level academic courses from other units across the University of Michigan, one of the most comprehensive research universities in the world. MFA students have dedicated, semi-private graduate studios and access to a wide range of state-of-the-art workshops, labs, and equipment.",,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",The Stamps School of Art & Design at the University of Michigan is a charter member of the National Association of Schools of Art and Design (NASAD) and has been continuously accredited by NASAD since 1960.,,"Resident: $1,553/credit hour; Non-Resident: $3,145/credit hour",False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,"Full tuition waiver, health and dental benefits, and a stipend for living expenses.",100% of tuition,Merit-based (fellowships and Graduate Student Instructor positions),False,,,False,False,,,,Rackham Graduate School Admissions
