QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
"The official UCI website highlights its recognition in global rankings and links to the QS World University Rankings, which places UCI at #293 in the 2026 ranking. [20, 22]","The Paul Merage School of Business. [25, 26]",,4.0,"To remain in good academic standing at UCI, an undergraduate student must maintain a cumulative GPA of at least 2.0. [4] To be eligible to apply for the Accounting minor, students must have completed Management 30A and 30B with a grade no lower than a B (3.0) and other prerequisite courses with a grade no lower than a C (2.0). [28] Students who do not take introductory accounting courses (MGMT 30A and MGMT 30B) at UCI must complete MGMT 131A with a minimum grade of B. [25, 26]",28.94% (for first-year applicants). [9],Fall 2026,The application for Fall admission opens on August 1. [9],The application submission period for Fall admission is October 1 to December 1.,"Minors do not have program-specific tuition fees. The cost is included in the general undergraduate tuition. For the 2025-2026 academic year, estimated systemwide tuition and fees are $14,752 for California residents and $46,640 for out-of-state students. [2] Total estimated cost of attendance, including room, board, and other expenses, is approximately $40,908 for in-state students living on campus. [2]","For undergraduates who received aid, the average amount was $21,866. [2]","The University of California generally charges tuition as a flat amount per term for full-time students. However, for specific programs like the U.S. Department of Defense Tuition Assistance (TA) Program, the per-unit cost for undergraduates in 2025-2026 is calculated as $302.27. [6]",,Approximately 75% of UCI's enrolled students are offered some form of financial aid.,"Scholarships at UCI can be awarded based on academic achievement, financial need, community activities, work experience, and more. [13]","The Minor in Accounting requires the completion of seven upper-division courses, in addition to prerequisite courses. [25]","$14,752/Year (in-state); $46,640/Year (out-of-state) for the 2025-2026 academic year. [2]",Minor in Accounting,"The official university website for the University of California, Irvine is uci.edu."
,The Henry Samueli School of Engineering,,4,3,26.2%,Fall 2026,2025-08-01,2025-12-01,"$13,602/Year",21533,302.27,"Up to $10,000",,"Merit-based, Need-based",4 years,,Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Irvine is uci.edu."
,School of Humanities. [14],,,,,Fall 2026,,,,,,,,,,,Bachelor of Arts in African American Studies,"The official university website for the University of California, Irvine is uci.edu."
293,School of Humanities,,4,2,,Fall 2026,2025-08-01,2025-12-01,"$13,602.00/Year",,$302.27/unit,,,"Merit-based, Need-based",7 courses (28 units),"For the 2025-26 academic year, the estimated systemwide tuition for an undergraduate student is $13,602.00. [8] Adding campus fees brings the total fees to around $19,268 for students living at home. [16] There is no specific tuition fee for a minor program.",Minor in African American Studies,"The official university website for the University of California, Irvine is uci.edu."
,School of Social Sciences,,4.0,2.0,,Fall 2026,"August 1, 2025","November 30, 2025",,,,,,"Grants, Scholarships, Work-Study, Loans",4 years,,Bachelor of Arts in Anthropology,"The official university website for the University of California, Irvine is uci.edu."
,,,,,,,,,,,,,,,,,Minor in Anthropology,"The official university website for the University of California, Irvine is uci.edu."
,School of Physical Sciences,,4.0,3.0,28.94%,Fall 2026,"August 1, 2025","December 1, 2025","For the 2024-2025 academic year, the estimated undergraduate tuition is $13,146.00 per year for California residents.",,292.13,,72% receive Grants and Scholarships,"Merit-based scholarships such as the Regents' Scholarship, Chancellor's Excellence Scholarship, and Directors' Scholarship are offered based on the UC Application for Admission.",4 years,,Bachelor of Science in Applied and Computational Mathematics,"The official university website for the University of California, Irvine is uci.edu."
,School of Physical Sciences,,4.0,2.0,,Fall 2026,August 1,,15588,22000,,,,"Merit-based, Need-based",4 years,"$15,588/Year",Bachelor of Science in Applied Physics,"The official university website for the University of California, Irvine is uci.edu."
293,School of Social Sciences,,4,2,28.7%,Fall 2026,2025-08-01,2025-12-01,"$19,268.00/Year",21866,,,72%,"['Merit-based', 'Need-based']",,"$19,268.00/Year",Minor in Archaeology,"The official university website for the University of California, Irvine is uci.edu."
,School of Humanities,,4,2,28.94% for first-year applicants for the 2025 admitted class. [32],Fall 2026,August 1,The application submission period for fall admission is October 1 - December 1. [4],"$13,602 per year for undergraduates first enrolled in AY 2025-26. [6]",,$302.27 per unit. [3],"The Armenian Studies Prize in Honor of Sylvie Tertzakian offers up to $2,000. [7] The OC Trex Armenian Studies Scholarship provides two awards of $6,000 each. [5]",,"Scholarships are awarded for academic achievement, financial need, community activities, work experience, and more. [18] For Armenian Studies, there are also research-based awards. [7]",Seven courses (28 units) are required for the minor. [22],"$13,602 per year for undergraduates first enrolled in AY 2025-26. [6]",Minor in Armenian Studies,"The official university website for the University of California, Irvine is uci.edu."
