Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,"The Bachelor of Science in Actuarial Mathematics at Kent State University provides students with a strong foundation in mathematics, statistics, and finance, essential for a career as an actuary. The curriculum covers topics such as probability, statistics, financial mathematics, economics, and actuarial models, preparing students for the preliminary exams of the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS). The program emphasizes practical skills through courses in statistical software and real-world applications. Graduates are well-prepared for entry-level positions in insurance companies, consulting firms, government agencies, and other organizations requiring actuarial expertise. Additionally, the program prepares students for graduate studies in actuarial science or related quantitative fields. Our dedicated faculty members, many of whom are credentialed actuaries, provide individualized attention and mentorship, helping students achieve their academic and professional goals.",https://www.kent.edu/math/actuarial-mathematics,,Bachelor of Science in Actuarial Mathematics,https://www.kent.edu/math,
,"The Bachelor of Arts degree in Africana Studies is an interdisciplinary program designed to give students a comprehensive understanding of Africana peoples and cultures in Africa, the Caribbean, Latin America and the United States. The program exposes students to critical thinking, reading and writing in several academic areas (humanities, social sciences and the arts). Africana Studies helps students to connect historical and contemporary issues; to develop a global perspective; and to appreciate cultural diversity. The program provides the necessary knowledge and skills for graduates to succeed in the 21st century.",https://catalog.kent.edu/colleges/as/afs/africana-studies-ba/,,Bachelor of Arts in Africana Studies,https://catalog.kent.edu/colleges/as/afs/africana-studies-ba/africana-studies-ba.pdf,
,"The Air Traffic and Airspace Management B.S. degree provides students with a strong foundation in aviation management, air traffic control and flight operations. Graduates of this program will be prepared for a career as an air traffic controller, or other careers in aviation management and flight operations. The Air Traffic and Airspace Management program is approved by the Federal Aviation Administration (FAA) under Title 14 CFR Part 65 for air traffic control training. Graduates of this program will receive a letter of accomplishment that may reduce the length of air traffic control training at the FAA Academy in Oklahoma City.",https://catalog.kent.edu/colleges/ar/aern/air-traffic-airspace-management-bs/,Approved by the Federal Aviation Administration (FAA) under Title 14 CFR Part 65 for air traffic control training.,Bachelor of Science in Air Traffic and Airspace Management,https://catalog.kent.edu/colleges/ar/aern/air-traffic-airspace-management-bs/air-traffic-airspace-management-bs.pdf,
,"The Bachelor of Arts in American Sign Language (ASL) is an interdisciplinary program designed to give students a thorough grounding in ASL linguistics, deaf culture and the history of the deaf community. The program is designed to provide students with the linguistic and cultural competency necessary for success in careers that involve working with deaf individuals and the deaf community, as well as prepare them for further graduate study in ASL linguistics, deaf studies, interpreting and other related fields. Students will develop proficiency in ASL and learn about various aspects of deaf culture, including its history, values, and social norms. Students will also gain an understanding of the linguistic features of ASL, including its phonology, morphology, syntax, and semantics. The program offers opportunities for experiential learning through interaction with the deaf community and service-learning projects. Overall, the BA in ASL program aims to equip students with the knowledge, skills, and cultural awareness necessary to become effective communicators and advocates for the deaf community.",,,Bachelor of Arts in American Sign Language,https://catalog.kent.edu/colleges/as/mcls/american-sign-language-ba/american-sign-language-ba.pdf,
,"The Bachelor of Science degree in American Sign Language/English Interpreting prepares students for professional careers as interpreters in a wide range of settings, including educational, legal, medical, mental health, business, employment and video relay services.
This program develops fluency in American Sign Language and spoken English, as well as an understanding of the cultural characteristics of both the Deaf and hearing communities. Students also learn interpreting theory, ethics and professional standards and develop the interpreting skills necessary to work between these two languages and cultures. Graduates of the program are well-prepared to take the national certification examination for interpreters.",https://www.kent.edu/ehhs/ldes/asei/american-sign-languageenglish-interpreting-bs,,Bachelor of Science in American Sign Language/English Interpreting,https://www.kent.edu/ehhs/ldes/asei/american-sign-languageenglish-interpreting-bs,BS
,"The Animation Game Design (AGD) B.S. degree is for students interested in a career in the interactive entertainment industry focusing on the artistic and aesthetic elements of games, or in the fields of animation, interactive media and simulation. The AGD curriculum allows students to develop the aesthetic and technical skills needed to create engaging and impactful games, interactive experiences and animations. Graduates with the AGD degree find careers in the gaming industry as designers, artists, animators and producers. In addition, the AGD degree prepares students for careers in 3D animation, interactive media, simulation, architectural visualization and other visual effects related fields. Graduates also pursue graduate school to further their education.",https://catalog.kent.edu/coursesaz/agd/,,Bachelor of Science in Animation Game Design,https://catalog.kent.edu/coursesaz/agd/,
,"The Bachelor of Arts (B.A.) degree in Anthropology is designed for students seeking a broad education in the discipline to develop skills in critical thinking, writing, problem-solving, cultural competency and data analysis relevant to a variety of careers. The Anthropology B.A. provides students with a foundational understanding of the four subfields of anthropology: cultural anthropology, archaeology, biological anthropology and linguistic anthropology. Students gain an understanding of humanity from a holistic and cross-cultural perspective and learn to apply theoretical and methodological approaches to human behavior, societies, cultures and their origins. The B.A. program provides flexibility to allow students to pair anthropology with another major or a minor to prepare for a wide variety of career opportunities, including education, government, museum work, international business, social services and non-governmental organizations, public health, law and policy, scientific research, forensic science and cultural resource management. Students can also pursue further study in graduate school in any of the four subfields of anthropology and related fields.",https://catalog.kent.edu/colleges/as/anth/anthropology-bs/,,Bachelor of Arts in Anthropology,https://catalog.kent.edu/colleges/as/anth/anthropology-bs/,
,"The Bachelor of Science in Anthropology degree is designed for students who want a strong grounding in the natural sciences in addition to an understanding of human culture and society. Students pursuing the B.S. in Anthropology will conduct field and laboratory research to better understand human origins, evolution, and variation. While the program’s focus is on science, students also will be introduced to social and cultural anthropology. The B.S. degree is excellent preparation for graduate studies in biological anthropology and archaeology or careers in forensic anthropology, museum studies, public health, law, and medicine.",https://www.kent.edu/anthropology/anthropology-bs,,Bachelor of Science in Anthropology,https://www.kent.edu/anthropology/anthropology-bs,
,"The Bachelor of Business Administration (B.B.A.) in Accounting program focuses on financial, managerial, governmental and international accounting, auditing and taxation. The program develops critical skills for accounting professionals and prepares students for a variety of entry-level professional positions and graduate studies in accounting, business, law and other fields. The B.B.A. in Accounting curriculum is designed to provide students with the necessary foundation to pass professional examinations such as the Certified Public Accountant (CPA), Certified Management Accountant (CMA), Certified Internal Auditor (CIA) and others. Students considering a career in public accounting should carefully review the education requirements for CPA licensure in the state where they plan to practice. For Ohio, students must complete 150 semester hours of education to sit for the CPA exam and 150 semester hours of education for licensure. The B.B.A. in Accounting program requires 120 semester hours; therefore, students seeking CPA licensure must pursue additional hours of education beyond the B.B.A. in Accounting degree.",https://catalog.kent.edu/colleges/be/acct/accounting-bba/accounting-bba.pdf,,Bachelor of Business Administration in Accounting,https://catalog.kent.edu/colleges/be/acct/accounting-bba/accounting-bba.pdf,
,"If you enjoy working with numbers and wish to start your career quickly, a two-year associate degree in Accounting Technology may be for you. Accountants play a key role in the success of every business, making accounting a stable and in-demand profession. Through Kent State's Accounting Technology associate degree, you will gain the knowledge and skills necessary to pursue a variety of accounting support positions in industry, small business, public accounting, and government. These include positions such as: Accounts Payable Clerk, Accounts Receivable Clerk, Bookkeeper, Payroll Clerk, Staff Accountant and Tax Preparer. Your studies will cover principles of financial and managerial accounting, computerized accounting applications and income tax preparation. Additionally, the program includes a capstone experience where you’ll demonstrate the skills learned by engaging in a simulated business situation using current accounting software.",https://www.kent.edu/cats/accounting-technology-aab,,Associate of Applied Business in Accounting Technology,https://www.kent.edu/cats/accounting-technology-aab,
