Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"The BS program in accountancy provides a broad-based education in business and a comprehensive education in accounting. The W. P. Carey School of Business accountancy programs are widely recognized for their high-quality instruction and the excellence of their graduates. The programs focus on understanding the role of accounting in society as well as the underlying concepts of accounting. Students are encouraged to develop a sense of inquiry, a desire for lifelong learning and the ability to adapt to a changing professional environment.

Students learn how to provide services that assure the reliability of information and how to design and implement information systems used to generate data for decision-making. Students gain a deeper understanding of areas such as taxation, auditing, financial reporting and management accounting. Because the school attracts many students who have had international experiences, a strong emphasis is placed on preparing students for global business opportunities.

Graduates often begin their careers with professional services firms, in business or in government. Graduates are well prepared to advance quickly in their chosen fields. The BS program in accountancy may be appropriate for students who are not planning to seek professional certification as a CPA. Most states, including Arizona, require 150 semester hours of education for CPA certification. This program requires 120 credit hours.",https://degrees.apps.asu.edu/bachelors/major/ASU00/BAACCBS,"The accountancy BS program at ASU is accredited by the Association to Advance Collegiate Schools of Business (AACSB). The W. P. Carey School of Business is one of the original 16 schools to have both its business and accounting programs accredited by AACSB International. This represents the highest standard of achievement for business schools worldwide. Programs that earn accreditation confirm their commitment to quality and continuous improvement through a rigorous and comprehensive peer review. Less than five percent of the more than 16,000 business schools worldwide have been accredited.",BS,"Accountancy, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,"The BS program in actuarial science provides a strong foundation in mathematics, statistics and business for students interested in a career as an actuarial professional. The program prepares students to pass the initial actuarial exams administered by the Society of Actuaries and the Casualty Actuarial Society.

In addition to fulfilling the mathematics and statistics requirements of the program, students take courses in computer science, economics, finance, accounting and other business areas.

The Society of Actuaries has recognized this program for its quality curriculum, and it is on the society's list of Universities and Colleges with Actuarial Programs.",https://degrees.apps.asu.edu/bachelors/major/ASU00/MAACTSCBS,,BS,"Actuarial Science, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Air Traffic Management,"The aeronautical management technology program at ASU provides a technical foundation in the aviation field with a management focus. The air traffic management concentration prepares students for a career in air traffic control. The curriculum meets the Federal Aviation Administration requirements for graduates of an approved program to be recommended for the Air Traffic-Collegiate Training Initiative. Upon graduation, students may be eligible to bypass the first five weeks of initial qualification training at the FAA Academy. Graduates also may be eligible to take the air traffic selection and training exam earlier than the general public. This is a competitive program; space is limited. Students will spend an average of 15 to 20 hours a week in specialized air traffic control labs.",https://degrees.apps.asu.edu/bachelors/major/aeronautical-management-technology-air-traffic-management-bs,This program is accredited by the Aviation Accreditation Board International.,,"Aeronautical Management Technology (Air Traffic Management), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Air Transportation Management,"The aeronautical management technology program is a management-oriented degree program designed to prepare graduates for a variety of careers in the aviation industry. The program provides students with a strong foundation of aviation knowledge and skills through a multidisciplinary program with a choice of one of three concentrations: air traffic management, air transportation management or professional flight.

The air transportation management concentration curriculum provides a broad perspective of aviation management and operations. The coursework provides a strong business and management foundation applicable to all facets of the aviation industry, from general aviation to commercial air transportation and from civilian to military aviation. The program is specifically designed to prepare graduates for a wide variety of professional careers in the air transportation industry, including airline management and operations, air cargo management and logistics, airport management and operations, corporate aviation management, and government and non-government aviation and aerospace organizations.

Graduates of the air transportation management concentration have a broad understanding of the airline and corporate aviation industries as well as the airport's role within the national airspace system. They are trained in aviation safety, security, operations and management and are prepared for a variety of career paths. Students learn to implement and manage systems that are key to a safe and efficient air transportation system and that move people and goods safely around the world.

The aeronautical management technology program is accredited by the Aviation Accreditation Board International.",https://degrees.apps.asu.edu/bachelors/major/ASU00/ESAMTBS/aeronautical-management-technology-air-transportation-management,The aeronautical management technology program is accredited by the Aviation Accreditation Board International.,BS,"Aeronautical Management Technology (Air Transportation Management), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Professional Flight,"The aeronautical management technology program prepares students for a variety of leadership and management positions in the aviation industry. This concentration provides students with the required aeronautical knowledge and skills to earn a commercial pilot certificate with multiengine and instrument ratings.

In addition to general education requirements, students take courses in aviation weather, safety, security, human factors, air traffic control and airport management. The program culminates with two capstone courses in which students solve real-world aviation problems.

Professional flight students can complete their private pilot certificate at a flight provider of their choice before entering the program. Students complete the instrument, commercial, multiengine and certified flight instructor courses with ATP Flight School, ASU's affiliate for flight training. Graduates of the program are eligible for a R-ATP certificate at 1,000 flight hours, per FAA regulations.",https://degrees.apps.asu.edu/bachelors/major/ASAMTPROBS,The Aeronautical Management Technology (Professional Flight) BS is accredited by the Aviation Accreditation Board International.,BS,"Aeronautical Management Technology (Professional Flight), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Unmanned Aerial Systems,"The aeronautical management technology program is a management- and business-focused degree for students interested in a broad range of careers in the aerospace industry, both in the flight and in the ground support areas. This program provides students with a strong foundation in technical areas, including:

aircraft flight systems
aircraft propulsion
air traffic control
aviation safety
unmanned aerial systems

The program also develops students' skills in:

aviation law
financial accounting
human factors
leadership
management
marketing

This unique combination of technical and business knowledge prepares graduates for a wide range of leadership roles in the aviation industry.

The unmanned aerial systems concentration provides students with knowledge in all aspects of unmanned aerial systems, including:

design
operations
policy
systems
uses",https://degrees.apps.asu.edu/bachelors/major/ASU00/ESAMTBS/aeronautical-management-technology-unmanned-aerial-systems,The aeronautical management technology (unmanned aerial systems) program is accredited by the Aviation Accreditation Board International.,,"Aeronautical Management Technology (Unmanned Aerial Systems), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Aeronautics,"The aerospace engineering BSE program with a concentration in aeronautics provides a broad and challenging, high-quality education that prepares students for the practice of engineering at a professional level. The program develops graduates with the technical and critical-thinking skills needed to design aircraft and propulsion systems for commercial and military use.

Students learn from leading experts in aerospace engineering, including five National Academy of Engineering members and 11 fellows of the American Institute of Aeronautics and Astronautics. Students can gain a competitive edge through participation in a number of student organizations and research labs.

Aerospace engineers learn the fundamentals of aerodynamics, stability and control, propulsion and structures to design flight vehicles that meet specified performance and safety requirements. The concentration in aeronautics focuses on the design of vehicles that fly within the Earth's atmosphere, such as airplanes, helicopters and unmanned aerial vehicles.",https://degrees.apps.asu.edu/bachelors/major/ASU00/ESAEAEBSE/aerospace-engineering-aeronautics,"The aerospace engineering BSE program with a concentration in aeronautics is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org, under the General Criteria and the Program Criteria for Aerospace and Similarly Named Engineering Programs.",BSE,"Aerospace Engineering (Aeronautics), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Astronautics,"The BSE program in aerospace engineering with a concentration in astronautics provides students with an education in the fundamental principles of aerospace engineering as well as specialized knowledge in the analysis and design of space vehicles and their subsystems. Graduates are well prepared for careers in the aerospace industry or for graduate study.

Aerospace engineering is the branch of engineering that focuses on the design, construction, testing and operation of vehicles that operate in the Earth's atmosphere and in space. Aerospace engineers are employed by the aerospace and defense industries, research and development laboratories and government agencies, and some graduates become astronauts.

Aerospace engineers develop new technologies for use in space exploration, commercial aviation, national defense systems and climate monitoring. They often specialize in one or more areas of aerospace engineering, including:

aerodynamics, the study of how air flows over and around aerospace vehicles and the forces the flow produces

flight mechanics, which is the study of the trajectory and rotational motion of vehicles in the air or in space

flight software and controls, which focuses on the design of the control systems to ensure the desired vehicle performance

propulsion, which is the design of engines and other devices to propel the vehicles in the atmosphere or in space

structural design and analysis, which focuses on the design of the physical configuration of the vehicle to withstand the aerodynamic and other forces to which it is subjected

Students receive a broad education in the fundamental principles of aerospace engineering as well as specialized knowledge in the analysis and design of space vehicles and their subsystems.

The program culminates in a senior-year capstone design experience in which students work in teams to design a complete aerospace vehicle, from initial concept to final design.",https://degrees.apps.asu.edu/bachelors/major/ASU00/ESAEAEABSE,"The aerospace engineering (astronautics), BSE is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org, under the General Criteria and the Aerospace and Similarly Named Engineering Programs Program Criteria.",,"Aerospace Engineering (Astronautics), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
Autonomous Vehicle Systems,"The aerospace engineering BSE program provides students with an education in the fundamental principles of aerospace engineering. The program focuses on developing the knowledge and skills necessary for the design and development of aerospace vehicles and systems. The curriculum offers a balance of theoretical and practical hands-on experiences and addresses the design of aircraft, spacecraft and related systems.

The autonomous vehicle systems concentration provides students the ability to apply fundamental aerospace engineering knowledge to autonomous vehicle systems. In addition to a set of core aerospace engineering courses that provide a strong foundation, the students are required to take a set of courses that offer hands-on experience in autonomous vehicles. Graduates with this concentration are well equipped to work in this fast-growing sector of the economy.

The aerospace engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",https://degrees.apps.asu.edu/bachelors/major/ASU00/ESAEAVSBSE,"The aerospace engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",,"Aerospace Engineering (Autonomous Vehicle Systems), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,"The BA program in African and African American studies is an interdisciplinary degree program in The College of Liberal Arts and Sciences that provides a comprehensive, holistic and rigorous introduction to the study of Africa and people of African descent throughout the world. The program aims to expose students to a full range of social, political, cultural and historical subjects, centered on the experiences of people of African descent. Students learn the histories and contemporary experiences of African Americans and other people in the African diaspora, as well as those living on the African continent. Students develop the skills necessary to analyze and evaluate information from a variety of sources and in various forms. They learn to critically examine complex social and historical issues, construct cogent arguments, and communicate their ideas effectively in both writing and speech. The program helps students develop a critical consciousness of the national and global connections relevant to people of African descent. It facilitates an understanding of how race and other socially constructed categories have shaped the lives and experiences of African-descended people. Students learn how to analyze the concepts of race and racism from an interdisciplinary perspective. This includes studying the social and historical contexts in which these ideas have been created and reproduced, how racial identities are constructed and how race continues to be a factor in contemporary society. The program provides students with a general education in the arts, humanities and social sciences. This ensures they acquire a solid foundation in the research and analytical methods used in these broad disciplines and are able to apply them to specific questions and issues. Students leave the program with highly marketable and transferable skills that prepare them for a wide range of careers in both the private and public sectors.",https://degrees.apps.asu.edu/bachelors/major/ASU00/LSAASBA,,,"African and African American Studies, BA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
