Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Bachelor of Business Administration (BBA) degree program is a full-time, four-year undergraduate business program. It provides an opportunity to develop business acumen and leadership skills in a challenging, yet supportive, student-centered environment. Ross BBAs get a comprehensive education that includes business fundamentals, liberal arts courses, a required international experience, and a capstone course in which they start and run a real business. First-year applicants may apply directly to Ross for preferred admission consideration. Students not admitted to Ross through preferred admission may apply to Ross as a transfer student from another U-M unit, such as LSA, at the end of their first year.",https://michiganross.umich.edu/undergraduate/bba,,BBA,"Accounting, BBA",https://admissions.umich.edu/academics-majors/majors-degrees,
,"Actuaries are professionals who work in the insurance and financial services industries. Their work is to analyze the financial consequences of risk. They use mathematics, statistics, and financial theory to study uncertain future events. Actuarial mathematics is the body of mathematics that is used by these professionals. Traditionally, actuarial mathematics has dealt primarily with the mathematics of life insurance, health insurance, property and casualty insurance, pensions, and social insurance. More recently, actuarial mathematics has grown to include the study of financial risk in a much wider setting. Examples of this are the pricing of stock options and other financial derivatives, and the development of sophisticated investment strategies.",https://lsa.umich.edu/math/undergraduates/actuarial-mathematics-program.html,,"AB, BS","Actuarial Mathematics, AB, BS",https://admissions.umich.edu/academics-majors/majors-degrees,
,"Aerospace Engineering is the branch of engineering that deals with the design, analysis, testing, and production of aircraft, spacecraft, and related systems. Our undergraduates develop a solid foundation in the fundamentals of aerodynamics and propulsion, structural mechanics and materials, and flight dynamics and control systems. The program culminates in a senior-level capstone design course that gives students the opportunity to work in teams to design a complete aerospace vehicle system, such as a passenger aircraft, helicopter, satellite, or interplanetary probe.",https://aero.engin.umich.edu/,"The Aerospace Engineering undergraduate program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",BSE,Aerospace Engineering,https://admissions.umich.edu/academics-majors/majors-degrees,
"['African Studies', 'Afroamerican and African Diaspora Studies']","The Department of Afroamerican and African Studies (DAAS) at the University of Michigan provides a multidisciplinary and interdisciplinary program of study about the history, culture, and society of Africa and the African diaspora. With over twenty core faculty members who conduct research on the African continent, the Caribbean, Latin America, and the United States, DAAS offers students a wide range of courses and concentrations that analyze the economic, political, and cultural formations of the African diaspora. Our courses expose students to current debates and new fields of knowledge and prepare them for careers in education, social work, law, public policy, and many other fields.",https://lsa.umich.edu/daas,,A.B.,Afroamerican and African Studies,https://admissions.umich.edu/academics-majors/majors-degrees,
"['Arab and Muslim American Studies', 'Asian/Pacific Islander American Studies', 'Digital Studies', 'Latina/o Studies', 'Native American Studies']","The American Culture (AC) major offers an interdisciplinary approach to the study of United States society and culture. You’ll examine the country from multiple perspectives, drawing on sources from literature, history, the arts, and the social sciences. The program emphasizes the multicultural diversity of the American experience, asking you to look at the country through the lenses of race, ethnicity, class, gender, and religion. You will explore America in the contexts of its global and transnational relationships as well as the impact of its domestic diversity.",https://lsa.umich.edu/ac,,BA,American Culture,https://admissions.umich.edu/academics-majors/majors-degrees,
"['Biological Anthropology', 'Archaeology', 'Sociocultural Anthropology', 'Linguistic Anthropology', 'General Anthropology']","Anthropology is the study of humankind from a broad comparative and historical perspective. The field is traditionally divided into four subfields: biological anthropology, archaeology, sociocultural anthropology, and linguistic anthropology. Because of its breadth, a major in anthropology is an excellent foundation for a liberal arts education and can be a bridge to many other disciplines in the humanities (e.g., history, classics), the social sciences (e.g., sociology, psychology), and the natural sciences (e.g., biology, geology, environmental science).",https://lsa.umich.edu/anthro,,"BA, Minor",Anthropology,https://admissions.umich.edu/academics-majors/majors-degrees,
,"The BSE in Applied Physics is jointly administered by the Department of Physics and the College of Engineering. It is intended for students who want to apply the principles of physics to the development of new technology. Students can choose to concentrate in an area of engineering or pursue an interdisciplinary course of study. Applied Physics students take core courses in physics and mathematics, as well as a selection of engineering courses chosen to provide a solid foundation in the engineering discipline of their choice. They also receive training in the design of experiments and in the process of technological innovation. With its combination of a solid background in basic science and an introduction to engineering, the Applied Physics program is excellent preparation for graduate study in either physics or engineering.",https://lsa.umich.edu/physics/undergraduates/programs-of-study/bse-in-applied-physics.html,,BSE,Applied and Engineering Physics,https://admissions.umich.edu/academics-majors/majors-degrees,
,,,,,Applied Arts,https://admissions.umich.edu/academics-majors/majors-degrees,
,"The Applied Exercise Science (AES) undergraduate program prepares students to be leaders in a variety of fields related to health, fitness, and the prevention and treatment of chronic disease. AES provides a strong science-based academic background, comprehensive professional development, and practical hands-on experiences to enable students to excel in a variety of health-related careers, including physical therapy, occupational therapy, physician assistant, medicine, and corporate wellness/fitness.",https://www.kines.umich.edu/academics/undergraduate-programs/applied-exercise-science,,BS,Applied Exercise Science,https://admissions.umich.edu/academics-majors/majors-degrees,
,"The Applied Fitness and Conditioning major prepares students for careers in applied exercise physiology, strength and conditioning, corporate wellness, and for graduate study in a number of health- and fitness-related fields. The required coursework addresses the American College of Sports Medicine (ACSM) standards and prepares students for their nationally accredited certifications (e.g., certified personal trainer, certified exercise physiologist). Students also have the opportunity to take advanced coursework in athletic training, biomechanics, exercise physiology, motor control, and sport management.",https://lsa.umich.edu/movement/undergraduates/majors/applied-fitness-and-conditioning.html,,Bachelor of Science (B.S.),Applied Fitness and Conditioning,https://admissions.umich.edu/academics-majors/majors-degrees,
