Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Science in Chemical Engineering,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Civil Engineering,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Electrical and Computer Engineering,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Environmental Engineering,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Materials Science and Engineering,https://www.cmu.edu/admission/majors-programs,Not Required,Required,"First-year applicants to Carnegie Mellon are required to submit the Common Application, a $75 application fee or waiver, an official high school transcript, a Secondary School Counselor Evaluation, one Teacher Recommendation, and answers to the Carnegie Mellon Writing Questions. Submission of SAT or ACT scores is optional. English Proficiency Testing is required for students whose native language is not English.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Mechanical Engineering,https://www.cmu.edu/admission/majors-programs,Not Required,Not Required,"All first-year applicants must submit the following for a complete application: Common Application, a non-refundable $75 application fee or an approved fee waiver, official high school transcript, one teacher recommendation, a Secondary School Counselor Recommendation, and the Common Application Essay and Writing Supplement. For students applying for Fall 2025 admission, standardized test scores (SAT/ACT) are optional. For students who've taken college courses while in high school, an official college/university transcript is required. English Language Proficiency Testing is required for applicants whose native language is not English.",Not Required,True,True,,True,False,False,,,program,
Additional Major in Biomedical Engineering,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Additional Major in Engineering and Public Policy,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Additional Major in Engineering Design, Innovation & Entrepreneurship",https://www.cmu.edu/admission/majors-programs,Not Required,Not Required,"The additional major is open to any student in the College of Engineering. You may declare the additional major as early as the spring of your first year, and no later than the fall of your junior year. You must use the Intent to Declare form to begin the process.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Architecture (B.Arch),https://www.cmu.edu/admission/majors-programs,Not Required,Not Required,"All first-year applicants must submit the following:
- Common Application
- Official High School Transcript
- One Teacher Recommendation
- Guidance Counselor Recommendation
- Common Application Essay and Carnegie Mellon Writing Questions
- Standardized Test Scores (Optional for 2025 Applicants)
- English Proficiency Test Scores (if applicable)
- Application Fee or Waiver
- Portfolio of creative work is required for all applicants to the School of Architecture.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Arts in Architecture (B.A. in Architecture),https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Fine Arts in Art,https://www.cmu.edu/admission/majors-programs,Not Required,Not Required,"All first-year applicants must submit the Common Application & Carnegie Mellon Writing Supplement, application fee, official high school transcript, one teacher recommendation, and a school counselor recommendation. For applicants to the School of Art, a portfolio is also required.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Design (B.Des),https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Fine Arts in Drama,https://www.cmu.edu/admission/majors-programs,Required,Required,"All first-year applicants must submit the Common Application, which includes the Carnegie Mellon Writing Questions, an official high school transcript, a teacher recommendation, a secondary school counselor evaluation, and the application fee. In addition, all applicants to the School of Drama must submit a pre-screen application for their chosen area of study (e.g., Acting, Design, Dramaturgy) via the Acceptd platform. Pre-screen requirements are specific to each option and may include a resume, headshot, essays, a portfolio, monologues, or songs. Based on this pre-screen, select applicants will be invited to an audition or interview.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Fine Arts in Music Composition,https://www.cmu.edu/admission/majors-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Fine Arts in Electronic Music,https://www.cmu.edu/admission/majors-programs,Required,Required,"All applicants to the School of Music must submit the Common Application, including the Carnegie Mellon Writing Supplement, and the School of Music Application Supplement. Required application components include an official high school transcript, a teacher recommendation, an essay, and a resume. Applicants to the B.F.A. in Electronic Music must also submit a composition portfolio.",Not Required,True,False,,False,False,False,,,program,
