QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Program name,Program Page url,Tuition fee
,College of Engineering,,4.0,2.0,,,,,,,,,,"Merit-based scholarships, Need-based grants",5 years (10 semesters),Bachelor of Science in Bioengineering,https://catalog.northeastern.edu/undergraduate/engineering/bioengineering/,
,College of Engineering,,4.0,2.0,,,,,"$62,392/Year",,"$2,080",,,,,Bachelor of Science in Chemical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/chemical/chemical-engineering-bsche/,"$62,392/Year"
170,College of Engineering,,4.0,2.0,6%,Fall 2026,August 2025,,"$31,560/semester","$16,000 annually","$2,630 per semester hour","$10,000 to $28,000 annually",,"Merit-based, Need-based",4 years,Bachelor of Science in Civil Engineering,https://admissions.northeastern.edu/academics/areas-of-study/,"$31,560/semester"
,College of Engineering,,4.0,2.0,,,,,"$30,830/Semester",,"$2,055/Credit Hour",,,"Merit-based, Need-based",8 semesters (4 years),Bachelor of Science in Computer Engineering,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/computer-engineering-bscompe/,
,College of Engineering,,4.0,2.0,,,,,,,,,,,4 Years,Bachelor of Science in Electrical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/,
,College of Engineering,,4.0,2.0,,,,,,,,,,Merit-based,4 years,Bachelor of Science in Environmental Engineering,https://catalog.northeastern.edu/undergraduate/engineering/civil-environmental/environmental-engineering-bsenve/environmental-engineering-bsenve.pdf,
,College of Engineering,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",130 Semester Hours,Bachelor of Science in Industrial Engineering,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsie/,
,College of Engineering,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based, Federal, State, Private",4 years (8 semesters) plus co-op,Bachelor of Science in Mechanical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsme/,
,Khoury College of Computer Sciences,,4.0,2.0,,,,,,,"$2,580 per semester hour",,,"Merit scholarships, Need-based institutional grants, Federal Pell Grants, Federal Supplemental Educational Opportunity Grants (FSEOG), Iraq and Afghanistan Service Grants, TEACH Grants, Massachusetts State Scholarship",,Bachelor of Arts in Computer Science,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/bacs/,"$30,960 per semester (for full-time, 12-16 semester hours, 2023-2024 academic year)"
,College of Computer and Information Science,,4.0,2.0,,,,,"30,900/Semester",,"2,575/semester hour",,,"Merit-based, Need-based",4 years,Bachelor of Science in Computer Science,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/,"30,900/Semester"
,College of Professional Studies,,4.0,2.0,,Fall 2026,,,,,,,,"University Scholarship, Dean’s Scholarships, Boston Public Schools Scholarship","Depends on prior learning, transfer credits, and course load each semester",Bachelor of Science in Information Science,https://catalog.northeastern.edu/professional-studies/bachelors-postbaccalaureate/lowell-institute-school/information-technology-bs/,
,College of Science,,4.0,2.0,,,,,"30,500/Semester",,"2,080/semester hour",,,"Merit-based, Need-based",4 years,Applied Physics,https://catalog.northeastern.edu/undergraduate/science/physics/applied-physics-bs/,"30,500/Semester"
139,College of Science,,4.0,2.0,6.31% (for Fall 2022),Fall 2026,,,30960/Semester or 61920/Year,,2064,,,"Merit-based, Need-based",4 years,Behavioral Neuroscience,https://cos.northeastern.edu/nucos-department/behavioral-neuroscience/,30960/Semester or 61920/Year
,College of Science,,4.0,2.0,,,,,,,,,,,4 years,Biochemistry,https://catalog.northeastern.edu/undergraduate/science/interdisciplinary/biochemistry-bs/biochemistry-bs.pdf,
375,College of Science,1.0,4.0,3.0,,,,,31568/Year,,1973/credit,,100%,"Merit-based (Teaching Assistantships, Research Assistantships, Fellowships)",5 years,Biology,https://phd.northeastern.edu/program/biology-2/,31568/Year
,College of Science,,4.0,2.0,,Fall 2026,,,62000/Year,,2067/Semester Hour (Part-Time),,,"Merit-based, Need-based, Federal and State aid",4 years,Biomedical Physics,https://catalog.northeastern.edu/undergraduate/science/physics/biomedical-physics-bs/,62000/Year
,College of Science,,4.0,2.0,,Fall 2026,,,,,,,,,Four years,Cell and Molecular Biology,https://catalog.northeastern.edu/undergraduate/science/biology/cell-molecular-biology-bs/,
,College of Science,,,2.0,,,,,"$62,392/Year",,"$2,079",,,Merit-based,4 years,Chemistry,https://catalog.northeastern.edu/undergraduate/science/chemistry-chemical-biology/chemistry-bs/chemistry-bs.pdf,"$62,392/Year"
,College of Science,,4.0,2.0,,,,,,,2056,,,"Merit-based, Need-based",4 years,Ecology and Evolutionary Biology,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/ecology-evolutionary-biology-bs/ecology-evolutionary-biology-bs.pdf,
,College of Science,,4.0,2.0,,,,,"$62,920/Year",,"$1,960/Semester Hour",,,,4 years,Environmental Studies,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/environmental-studies-ba/,"$62,920/Year"
,College of Science,,4.0,2.0,,,,,"$30,960 per semester",,"$2,580 per semester hour",,,"Merit-based, Need-based",128 Semester Hours,Environmental and Sustainability Sciences,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/environmental-sustainability-sciences-bs/,"$30,960 per semester"
,College of Science,,4.0,2.0,,Fall 2026,,,"$61,600/Year",,"$2,053/Credit Hour",,,,,Linguistics,https://catalog.northeastern.edu/undergraduate/science/interdisciplinary/linguistics-bs/,
,College of Science,,4.0,2.0,,,,,,,,,,,,Marine Biology,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/marine-biology-bs/,
,College of Science,2.0,4.0,3.0,,,,,,,,,,"Departmental Scholarships, Assistantships",2 years,Mathematics,https://catalog.northeastern.edu/graduate/science/mathematics/,
,College of Science,,4.0,2.0,,,,,,,,,,,4 or 5 years,Physics,https://catalog.northeastern.edu/undergraduate/science/physics/,
,College of Science,2.0,4.0,3.0,,,,,$0,,"$1,970 per semester hour",,100% of tuition,Merit-based (full tuition coverage and stipend),5 years,Psychology,https://phd.northeastern.edu/program/psychology-2/,
,D'Amore-McKim School of Business,,4.0,2.0,,Fall 2026,,,"$30,860.00/semester",,"$2,057.00/credit hour",,,"Merit-based, Need-based",Four years,Business Administration,https://damore-mckim.northeastern.edu/programs/bs-business-administration/,"$30,860.00/semester"
37 (2024 QS World University Rankings),D'Amore-McKim School of Business,2.0,4.0,3.0,,,,,"$17,100/semester",,"$1,710.00",,Partial tuition,Merit-based,12-16 months (full-time) or 24-36 months (part-time),Finance,https://damore-mckim.northeastern.edu/programs/ms-finance/,"$17,100/semester"
,D'Amore-McKim School of Business,,4.0,2.0,,Fall 2026,,,,,,,,,,Marketing,https://catalog.northeastern.edu/undergraduate/business/concentrations/marketing/,
,D'Amore-McKim School of Business,4.0,4.0,2.0,,Fall 2026,,,"$62,392/Year",,"$2,080/credit hour",,,"Need-based, Merit-based",4 years,International Business,https://damore-mckim.northeastern.edu/international-business/,"$62,392/Year"
,"College of Arts, Media and Design",,4.0,2.0,,Fall 2026,,,,,,,,,4 years,Graphic Design,https://camd.northeastern.edu/programs/graphic-and-information-design-bfa/,
38,"College of Arts, Media and Design",,4.0,2.0,5.6%,,,,"$64,370/Year",,"$2,146",,,"Merit-based scholarships, Need-based financial aid",4 years,Game Design,https://admissions.northeastern.edu/academics/areas-of-study/,"$64,370/Year"
,"College of Arts, Media and Design",,4.0,2.0,5.6% (Fall 2023),,,,"$31,518/Semester",,"$2,627/credit",,,"Merit-based, Need-based",4 years,Communication Studies,https://www.northeastern.edu/,"$31,518/Semester"
among the top 200 universities in the world,Department of Theatre,,4.0,2.0,6.8% for the 2022-2023 academic year,Fall 2026,,"January 1, 2026 (Regular Decision)","$30,960/Semester (Full-Time Undergraduate Tuition, 2023-2024)",,"$2,580/semester hour",,,"Merit-based, Need-based, Institutional, Federal, State, Private",4 years,Theatre,https://camd.northeastern.edu/programs/theatre-and-english-ba/,
,College of Computer and Information Science,,4.0,2.0,,,,,,,,,,"Need-based, Merit-based",4 years,Cybersecurity,https://catalog.northeastern.edu/undergraduate/computer-information-science/cybersecurity/cybersecurity-bs/,
,Khoury College of Computer Sciences,,4.0,2.0,,Fall 2026,,,30808,,2054,,,"Merit-based, Need-based",8 semesters (4 years),Data Science,https://www.khoury.northeastern.edu/programs/data-science-bs/,30808
37,College of Social Sciences and Humanities,,4.0,2.0,,Fall 2026,,Priority: January 15; Final: Rolling after January 15 until July 15 (for MA in Political Science fall enrollment),"$14,432/Semester (estimated for full-time MA in Political Science, based on 8 credits per semester over 4 semesters)",,"$1,804.00",,,Merit-based,Two academic years (full-time for MA in Political Science),Political Science,https://cssh.northeastern.edu/polisci/,"$14,432/Semester (estimated for full-time MA in Political Science, based on 8 credits per semester over 4 semesters)"
