Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"Our undergraduate program provides students with an in-depth understanding of accounting and its related fields. The program is designed to prepare students for careers in public accounting, industry, and government. Our curriculum is registered with the New York State Education Department as meeting the 150-credit hour education requirements for licensure as a CPA. The program also provides an excellent foundation for students who wish to pursue graduate studies in accounting, business, or law.",https://management.buffalo.edu/academics/undergraduate-programs/accounting.html,The University at Buffalo School of Management is accredited by AACSB International - The Association to Advance Collegiate Schools of Business. [1],BS,Bachelor of Science in Accounting,https://www.buffalo.edu/admissions/academics/programs.html,
,,,,,Bachelor of Science in Aerospace Engineering,https://www.buffalo.edu/admissions/academics/programs.html,
,"African and African American studies is an interdisciplinary major that introduces students to the social, cultural, historical and artistic dimensions of the lives of people of African descent throughout the world. The curriculum is structured to provide a comprehensive understanding of the individual characteristics and common concerns of Black communities in Africa, the United States and the wider African diaspora.",https://www.buffalo.edu/cas/aas.html,,BA,Bachelor of Arts in African and African American Studies,https://www.buffalo.edu/admissions/academics/programs.html,
,"American Studies provides students with a multifaceted understanding of the United States in all its complexity and diversity. [1] Rooted in courses in history and social sciences, literature and the arts, and race and ethnicity, it invites students to develop fresh, insightful interpretations of America's past and present, while also preparing them for the future as deft critical thinkers and creative problem-solvers. [1]",https://cas.buffalo.edu/american-studies.html,,BA,Bachelor of Arts in American Studies,https://www.buffalo.edu/admissions/academics/programs.html,
"['Medical Anthropology, Ethics, and Care', 'Culture and Communication', 'Indigenous Worlds']","Anthropology is an open major. Students may complete this degree with either a Bachelor of Arts or a Bachelor of Science. If you're uncertain which is the right path for you, you can read about the major requirements below or learn more about the differences. Students completing the Bachelor of Arts in Anthropology may choose one of five options listed below. BA Anthropology students are not required to pursue an option and may elect to follow the standard course of study outlined here. Students fulfilling an option must complete all other remaining requirements of the standard anthropology major. Requirements for the options can also count toward major requirements. Completion of these options will be noted on the transcript upon graduation.",https://www.buffalo.edu/admissions/academics/programs/anthropology-ba.html,,BA,Bachelor of Arts in Anthropology,https://www.buffalo.edu/admissions/academics/programs.html,
,"The Bachelor of Science in Architecture is a pre-professional, four-year undergraduate degree that provides a solid foundation in the field of architecture. It is the first of two degrees required to become a licensed architect. The program combines a liberal arts education with a rigorous, studio-based curriculum that prepares students for graduate studies and a variety of career paths in design and the built environment. Students explore design, history, theory, technology, and representation, developing critical thinking and creative problem-solving skills.",https://www.buffalo.edu/admissions/academics/programs/architecture-bs.html,,BS,Bachelor of Science in Architecture,https://www.buffalo.edu/admissions/academics/programs.html,
,,,,BA,Bachelor of Arts in Art History,https://www.buffalo.edu/admissions/academics/programs.html,
"['General Studio', 'Emerging Practices', 'Graphic Design', 'Painting', 'Photography', 'Print Media']","The Department of Art at the University at Buffalo prepares students for the real-world practice of visual art and scholarship. It unites the disciplines of fine art, design and emerging practices with art history and visual theory to equip students with an interdisciplinary approach to investigating and creating the visual world. Students have the opportunity to become proactive members of the arts community, gain professional experiences for their portfolio and resume, and build networks with faculty, staff, visiting artists, and peers.",https://arts-sciences.buffalo.edu/art/undergraduate/apply.html,,BFA in Fine Art,Bachelor of Fine Arts in Art,https://www.buffalo.edu/admissions/academics/programs.html,
,"Our Asian Studies Program BA has a flexible and adaptable course framework. You decide which Asian language (Arabic, Chinese, Hindi, Japanese, Korean) and which region of Asia most interests you, and then you develop your academic plan from there! You are required to take 4 semesters of an Asian language, and you can focus on history, language, culture, health, gender, popular culture or develop a broader understanding as you take your required upper level electives. [13]",https://www.buffalo.edu/cas/asian/undergrad-study/ba-asian-studies.html,,BA,Bachelor of Arts in Asian Studies,https://www.buffalo.edu/admissions/academics/programs.html,
,,,,BS,Bachelor of Science in Biochemistry,https://www.buffalo.edu/admissions/academics/programs.html,
"['General Biological Sciences', 'Ecology, Evolution and Conservation Biology Concentration', 'Human Biology Concentration', 'Integrative Physiology and Neurobiology Concentration', 'Molecular, Cellular and Developmental Biology Concentration']","The bachelor of science (BS) degree in biological sciences educates students broadly in biology. As a BS biological sciences student, you'll explore the structure, function, behavior and evolution of cells, organisms, populations and ecosystems. Students seeking a degree in biological sciences can opt for a general curriculum (BLS) or focus on a particular area by selecting one of our four concentrations. All these programs lead to a variety of overlapping postgraduation academic and career options; we encourage you to look at the differences in course requirements and select the curriculum that best matches your academic interests.",https://catalog.buffalo.edu/academicprograms/biological_sciences_bs.html,,BS,Bachelor of Science in Biological Sciences,https://www.buffalo.edu/admissions/academics/programs.html,
"['Imaging', 'Tissue Engineering', 'Sensor Materials and Devices', 'Computation']","Biomedical engineers combine the problem solving ability of engineers with the knowledge of the biological and medical fields to develop new solutions for improving human health, healthcare, and quality of life for all people. The undergraduate program provides the scope of knowledge and training for employment in the field and also forms the basis for further study at the graduate level. [7] As an undergraduate student, you will learn to apply mathematical methods, science concepts, and experimental techniques of engineering to solve complex biological and medical problems in both the classroom and laboratory. [2] The undergraduate curriculum imparts fundamental learning in mathematics, physics, chemistry, basic biology, and engineering. [2] The Biomedical Engineering core courses provide you with a hands-on engineering experience that involves design and modeling. [2] The curriculum emphasizes four main areas (Imaging, Tissue Engineering, Sensor Materials and Devices, and Computation), and allows for students to obtain depth in areas of their choice through technical electives. [7]",https://engineering.buffalo.edu/biomedical/undergraduate/program.html,"The Biomedical Engineering BS program is accredited by the Engineering Accreditation Commission of ABET under the commission's General Criteria and Program Criteria for Bioengineering and Biomedical and Similarly Named Engineering Programs. [2, 3, 9]",BS,Bachelor of Science in Biomedical Engineering,https://www.buffalo.edu/admissions/academics/programs.html,
,"The Biomedical Sciences major provides students with the knowledge and skills to be successful in a broad range of health-related fields, including medicine, dentistry, veterinary medicine, physician assistant, physical therapy, or any of the many other health sciences careers. [1] It provides a thorough foundation in biology's fundamental principles including organism function, cell biology, genetics, physiology and the research process. [1] Command of these core concepts is necessary for students to understand complex biological problems and to apply their knowledge to health-related problems. [1] Four health related natural science electives are required so that students can develop a strong understanding of the basis of human health. [1] Additionally, students must choose one course on societal perspectives on health which will expose them to a variety of health care concerns and provide a framework for the students to understand and have empathy for their patients. [1] The Biomedical Sciences major also emphasizes skills that students need to be effective health care providers. [1] The capstone experience focuses on clinical experiences that are necessary for students to gain perspective on the true nature of their chosen profession and required of all health-related graduate programs. [1] Students can utilize their health-related internships, study abroad, or research experience to apply what they have learned and satisfy the beyond the classroom learning requirement. [1]",https://www.buffalo.edu/cas/biology/undergraduate-education/majors-minors/biomedical-sciences-major.html,,BS,Bachelor of Science in Biomedical Sciences,https://www.buffalo.edu/admissions/academics/programs.html,
,"The Bachelor of Science in Biotechnology is an interdisciplinary program for students interested in scientific careers in the biotechnology industry. Students learn biotechnology theory and gain hands-on lab experience. The curriculum starts with foundational courses in biology and chemistry (like cell biology and organic chemistry) and moves to advanced subjects such as cell culture techniques, immunology, and genetics. Students create a personalized curriculum by choosing technical electives from various departments like anthropology, biology, chemistry, medicinal chemistry, biochemical pharmacology, and computer science to align with their career goals. [2, 15] Housed within the Jacobs School of Medicine and Biomedical Sciences, the program provides access to expert faculty and modern labs. [15]",https://medicine.buffalo.edu/education/undergraduate/biotechnology-bs.html,,BS,Bachelor of Science in Biotechnology,https://www.buffalo.edu/admissions/academics/programs.html,
,,,,BS,Bachelor of Science in Business Administration,https://www.buffalo.edu/admissions/academics/programs.html,
