Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
"Africana Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Ancient History, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Required,"Prospective students must apply using the Common Application or the Coalition Application. The application must include the Penn-specific Supplement with its required essays, an official high school transcript, a School Report, one letter of recommendation from a school counselor, and two letters of recommendation from teachers. Standardized test scores (either SAT or ACT) are also required. Reports such as the Mid-Year Report and Final Report are required when available.",Required,True,True,,False,True,True,,,program,
"Anthropology, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Architecture, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Biochemistry, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Not Required,"Application requirements are for admission to the undergraduate school (College of Arts and Sciences) rather than directly to the major. Key components include: The Common Application or Coalition Application, Powered by Scoir; Penn-specific Application Essay; Official High School Transcript; School Report; Letters of Recommendation (1 from a counselor and 2 from teachers); Mid-Year Report; and the Final Report for enrolling students. Standardized test scores (SAT/ACT) are optional for the 2024-25 application cycle.",Not Required,True,False,,True,False,False,,,program,
"Biology, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Biophysics, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Not Required,"To apply for undergraduate admission at the University of Pennsylvania, prospective students must submit the following: The Common Application or Coalition Application, a Penn-specific Essay, Official High School Transcript, School Report, a Counselor Recommendation, and two Teacher Recommendations. A Mid-Year Report is required for all admitted students, and a Final Report is required for all enrolling students. As of the 2024-2025 application cycle, applicants are required to submit either SAT or ACT scores. An interview is optional and offered based on availability. Applicants with a background in fine arts may also submit an optional supplement.",Not Required,True,False,,True,True,True,,,program,
"Chemistry, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Not Required,"Prospective students apply to one of Penn’s four undergraduate schools, not to a specific major. The application requirements are for admission to the university's undergraduate program. The required components include: The Common Application or Coalition Application, Penn-specific Essays, Official High School Transcript, School Report, Counselor Recommendation, two Teacher Recommendations, Mid-Year Report, Final Report (for admitted students), and an application fee or fee waiver.",Not Required,True,False,,True,False,False,,,program,
"Cinema and Media Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Not Required,"To apply as a first-year student, applicants must submit the Common Application or Coalition Application, a Penn-specific Essay, an official High School Transcript, a School Report, a Counselor Recommendation, two Teacher Recommendations, a Mid-Year Report, and a Final Report upon enrollment.",Not Required,True,True,,False,False,False,,,program,
"Classical Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/,Not Required,Not Required,"To apply, prospective students must submit either the Common Application or the Coalition Application. The application must include Penn-specific essays, an official high school transcript, a school report, three letters of recommendation (one from a counselor and two from teachers), a Mid-Year Report, and a Final Report upon completion of the academic year. An application fee or fee waiver is also required. Standardized test scores (SAT/ACT) are optional for the 2024-25 admissions cycle.",Not Required,True,False,,False,False,False,,,program,
