QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,,,,,,,,,,,,,Master of Arts in Anthropology,https://grad.uci.edu/admissions/degree-programs/
,School of Social Sciences,,,,,Fall,October 1st,December 1st,,,,,,,,,PhD in Anthropology,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,Master of Arts in Art History,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,PhD in Art History,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,Master of Fine Arts in Art,https://grad.uci.edu/admissions/degree-programs/
,School of Humanities,Accumulation of more than eight units of 'F' and/or 'U' grades is considered not in good academic standing.,4.0,"A cumulative GPA of 3.0 is required for admission, with a 3.3 GPA in all Asian American Studies coursework. A minimum GPA of 3.5 is required for graduation for students in the thesis or creative project tracks.",,"Fall, Winter",Applications for Fall admission typically open in September of the preceding year. Specific dates for Fall 2026 have not been released.,"Applications are accepted on a rolling basis during the final year of undergraduate study, with a fall quarter deadline for fall graduates and a winter quarter deadline for winter and spring graduates. Specific dates for Fall 2026 have not been released.",,,,,,"Fellowships, Assistantships","Students in the 4+1 program complete the M.A. requirements within one year after transitioning to graduate student status, with a maximum time to degree of two years after the Bachelor's degree.",,Master of Arts in Asian American Studies,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,Master of Arts in Classics,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,PhD in Classics,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,Master of Arts in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,PhD in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/
,Claire Trevor School of the Arts,8,4.0,3,,Fall,2025-09-01,2025-12-31,,,,,,"fee fellowships, non-resident tuition fellowships, and employment as teaching associates and graduate student researchers",2 years,,Master of Fine Arts in Dance,https://grad.uci.edu/admissions/degree-programs/
,Claire Trevor School of the Arts,,4.0,3.5,,Fall,,,,,,"The Claire Trevor School of the Arts offers several scholarships, including the Leo Freedman Graduate Fellowship (approximately $7,000), the Kris and Linda Elftmann Scholarship (up to $3,000), and the H.B. and Isabelle Yolen Memorial Scholarship ($2,000). [2]",,"Fellowships, teaching assistantships, merit-based, and need-based scholarships. [2, 9]",Four years. [21],,PhD in Drama and Theatre,https://grad.uci.edu/admissions/degree-programs/
,School of Humanities,,,,,,,,,,,,,,Typically 2 years as part of Ph.D. progression,,Master of Arts in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/
,School of Humanities,Students will be placed on academic probation if their cumulative GPA falls below 3.0. Failure to raise the GPA to 3.0 in the following semester results in disqualification. [2],4.0,3,,Fall,,,,,,,,"Teaching assistantships, conference and research grants, and travel reimbursements.","The normative time to complete the Ph.D. is seven years, with a maximum time permitted of eight years. [6]",,PhD in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/
,,,,,,,,,,,,,,,,,Master of Arts in English,https://grad.uci.edu/admissions/degree-programs/
,School of Humanities,,4.0,3.0,Approximately 12 students are admitted each year from over 400 applicants. [18],Fall,"The application for Fall 2026 is expected to open in September 2025, though a specific date is not available on the website.","The specific application deadline for Fall 2026 is not yet posted. All offers of admission are made by March 25, and candidates must accept or decline by April 15. [1]",,,,"Domestic students who receive a Teaching Assistantship are provided with a nine-month salary, estimated to be $34,000.00 for the academic year. [2]",The Department of English provides full tuition coverage for domestic students through Teaching Assistantships. [2] Full financial support is rarely possible for international students. [2],Teaching Assistantships (also referred to as Tuition Fellowships for out-of-state students). [2],"The MFA program is a two-to-three-year program. The Department of English is committed to providing three full years of financial support to all domestic students. [18, 2]","The tuition and fees for the 2025-2026 academic year will be posted on the University Registrar's website in July 2025. [10] For domestic students, Teaching Assistantships provide full tuition coverage. [2] International students are responsible for non-resident tuition and fees. [2]",Master of Fine Arts in English,https://grad.uci.edu/admissions/degree-programs/
