Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Master of Science in Accounting degree program is designed for accounting students or professionals who have completed an undergraduate accounting degree from a U.S. college or university, and who seek to enhance their technical and professional skills through completion of an advanced degree in accounting. [1] The one-year, full-time curriculum, together with most undergraduate accounting programs, should satisfy the 150-hour educational requirement for certification and licensure as a certified public accountant (CPA). [1] Our MS accounting graduates have consistently out-performed the top largest accounting programs in New York State on the CPA exam. [1]",https://www.buffalo.edu/grad/explore/about/programs.html/graduate/accounting-ms,This program is officially registered with the New York State Education Department (SED). [1],MS,Accounting MS,https://www.buffalo.edu/grad/explore/about/programs.html,
," The A dult/Gerontology Nurse Practitioner DNP program prepares nurses for advanced practice to be competent in assessing and managing both health and illness states across the adult/older-adult age spectrum, and across the continuum of care from wellness to illness. Students train in community-based setting as well as hospitals and subspecialty areas in order to prepare them for a broad spectrum of opportunities in the care of adults. The program is designed for nurses who are bachelor's or master's prepared.",https://www.buffalo.edu/grad/explore/about/programs/adult-gerontology-nurse-practitioner-post-ms-dnp.html,This program is officially registered with the New York State Education Department (SED).,Doctoral,Adult/Gerontology Nurse Practitioner (Post-MS) DNP,https://www.buffalo.edu/grad/explore/about/programs.html,
,"The Adult/Gerontology Nurse Practitioner DNP program prepares nurses for advanced practice to be competent in assessing and managing both health and illness states across the adult/older-adult age spectrum, and across the continuum of care from wellness to illness. [2, 7] Students train in community-based setting as well as hospitals and subspecialty areas in order to prepare them for a broad spectrum of opportunities in the care of adults. [2, 7] The program is designed for nurses who are bachelor's or master's prepared. [2, 7]",https://www.buffalo.edu/grad/explore/about/programs/0410_adult-gerontology-nurse-practitioner-post-ms-dnp.html,"This program is officially registered with the New York State Education Department (SED). [2, 7]",DNP,Adult/Gerontology Nurse Practitioner DNP,https://www.buffalo.edu/grad/explore/about/programs.html,
,"There is an increased international, national, and statewide interest in the field of advanced manufacturing – from new methods in additive manufacturing, to co-robotics, and digital manufacturing. [3] An Advanced Certificate in Advanced Manufacturing prepares students for careers in this growing field. [1] Students in the program take courses with graduate faculty members in Industrial and Systems Engineering or Mechanical and Aerospace Engineering, and they have access to state-of-the-art facilities and interaction with UB's Community of Excellence in Sustainable Manufacturing and Advanced Robotic Technologies (SMART). [1, 3] This advanced certificate program is designed as a stand-alone credential for local professionals seeking to enhance their background in cutting-edge manufacturing technologies at the graduate level. [3] It is also for currently enrolled master's or PhD students seeking to gain a credential that will complement their degree program. [3]",https://www.buffalo.edu/grad/programs/advanced-manufacturing-ac.html,This program is officially registered with the New York State Education Department (SED). [1],Advanced Certificate,Advanced Manufacturing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html,
,A-program-description-was-not-found-on-the-official-website,https://www.buffalo.edu/grad/explore/about/programs.html,,MS,Aerospace Engineering MS,https://www.buffalo.edu/grad/explore/about/programs.html,
,"The Aerospace Engineering PhD aprogram outfits pupils with the abilities and information essential to assume administration functions in the aerospace business and related areas. This system encompasses a broad spectrum of uses in aeronautics and astronautics, including subsonic and supersonic aircraft, satellites, space shuttles, and space stations. Participants in this program also have the opportunity to connect with UB's graduate program in Computational Data-enabled Science and Engineering. This partnership delivers thorough instruction in computational data science, which is advantageous for both experimental and computational materials scientists. [1]",https://www.buffalo.edu/grad/programs/aerospace-engineering-phd.html,,PhD,Aerospace Engineering PhD,https://www.buffalo.edu/grad/explore/about/programs.html,
,"The Graduate Affordable Housing Advanced Certificate is designed for individuals with an earned bachelor's degree and interested in gaining further knowledge about issues facing affordable housing in the United States. In the U. S., the pervasiveness of affordability problems among lower-income renters is primarily due to the shortage of appropriately priced housing and the low and decreasing incomes of renters. [1]",https://www.buffalo.edu/grad/explore/about/programs.html?program=affordable-housing-adv-cert,This program is officially registered with the New York State Education Department (SED). [4],Advanced Certificate,Affordable Housing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html,
,"American studies is home to an interdisciplinary group of faculty and students committed to rigorous, socially engaged scholarship. We take a global and hemispheric approach to the study of the Americas, examining local cultures, nations and regions within their larger geopolitical contexts. [3] Building on our traditional strengths in American Indian studies, critical race theory, feminism, class analysis and community engagement, we encourage scholarly work on history, politics, visual cultures, literary and oral cultures, environmental and agricultural practices, religions, gender, sexuality, kinship systems, geography, and economics. [3] Learn more about the program.",https://www.buffalo.edu/grad/study/programs/american-studies-ma.html,This program is officially registered with the New York State Education Department (SED). [3],MA,American Studies MA,https://www.buffalo.edu/grad/explore/about/programs.html,
"Field choices for American Studies PhD students are, History, Cultural Studies, Law & Social. Policy and Theory & Methodology. [14]","The PhD degree prepares students for intellectual work in many different careers, including the highest levels of college and university teaching and research. The program consists of three basic stages: 1) coursework, 2) written and oral exams, and 3) researching, writing, and defending a dissertation. Most of our doctoral students complete their PhD within four to seven years. [3]",https://www.buffalo.edu/grad/explore/about/programs/american-studies-phd.html,This program is officially registered with the New York State Education Department (SED).,PhD,American Studies PhD,https://www.buffalo.edu/grad/explore/about/programs.html,
,"New Technology has enabled tools for examination of biological structure in both macroscopic and microscopic worlds, and has facilitated powerful computational approaches for integrating those data with other modes including molecular, genetic, and biochemical information. [11] Imaging, mechanical, electrical and optical biosensors, and high-resolution tissue and cellular microscopic evaluations, can be married with the new analytics of machine vision and machine learning to obtain insight into biomedical mechanisms. [11]",https://medicine.buffalo.edu/departments/pathology/education/graduate/phd.html,This program is officially registered with the New York State Education Department (SED). [11],PhD,Anatomy and Cell Biology PhD,https://www.buffalo.edu/grad/explore/about/programs.html,
