Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Science in Accounting,https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Adapted Physical Education (Advanced Certificate),https://www.brockport.edu/academics/kinesiology/adapted-physical-education/physical-education-track-masters/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Biology,https://explore.suny.edu/programs/state-university-college-at-brockport-adolescence-education-biology-master-master-of-education-1470329456334,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Adolescence Education: Biology + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,Required,Required,"A bachelor’s degree in one of the content areas (or the equivalent of 30 credits in the content area), with a GPA of 3.0 or higher.
Initial Teacher Certification in the same content area.
Online application
Official transcripts from all colleges/universities attended
Two letters of recommendation (one academic, one professional)
A statement of objectives
A resume
Proof of fingerprint clearance",Not Required,True,False,,False,False,False,,,program,
Master of Science in Education in Adolescence Education: Biology + Students with Disabilities Certification,https://www.brockport.edu/academics/biology/adolescence-biology-major/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Chemistry,https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Adolescence Education: Chemistry + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Chemistry + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Earth Science,https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Earth Science + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Adolescence Education: Earth Science + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,Required,Required,A bachelor’s degree from an accredited US institution or the international equivalent with a minimum 3.0 cumulative GPA. Qualifying degrees and/or coursework in one of the approved content areas. Application form and fee. Official transcripts from all previously attended institutions. Two letters of recommendation. A 500-word statement explaining your reasons for wanting to enter the teaching profession and this program in particular. A current resume. An on-campus or virtual interview may be required.,,True,False,True,True,False,False,,,program,
Master of Science in Education in Adolescence Education: English,https://www.brockport.edu/academics/graduate-programs/,Required,Required,"To be considered for admission, applicants must have:

A bachelor’s degree in English from an accredited US institution or the international equivalent.
A minimum undergraduate GPA of 3.0.
A completed application that includes:
Official transcripts from all colleges/universities attended.
One letter of recommendation that addresses the applicant’s potential for success in the teaching profession and in graduate study.
A statement of objectives that addresses how the applicant’s academic background and experience have prepared them for this program and for a career in teaching English.
A writing sample that demonstrates the applicant’s skill in literary analysis.
A resume",Required,True,False,,False,False,False,,,program,
Adolescence Education: English + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,Required,Required,"To be admitted into our adolescence inclusive generalist teacher certification programs, you will need the following:

- Completed online application
- Baccalaureate degree from an accredited institution
- A minimum undergraduate GPA of 3.0
- Transcripts from all previously attended colleges and universities
- Two letters of recommendation
- A statement of objectives
- A resume
- Proof of NYS Initial Teacher Certification in English Language Arts (7-12) is required for the Advanced Certificate.
- Proof of fingerprint clearance is required.",Not Required,True,False,False,False,False,False,,,program,
Master of Science in Education in Adolescence Education: English + Students with Disabilities Certification,https://www.brockport.edu/academics/education/english-masters/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Mathematics,https://www.brockport.edu/academics/graduate-programs/,Required,Required,"Completed online application, which includes: Official transcripts from all undergraduate/graduate institutions attended, showing a minimum undergraduate GPA of 3.0; One letter of recommendation (academic or professional); A statement of objectives; Resume. Initial Teacher Certification in the same area as the certification sought is required for Track 2. Content Core Requirements: Applicants need 30 credits in their content area (i.e. Biology, Chemistry, Earth Science, English, French, Math, Physics, Social Studies, Spanish) with a minimum 3.0 GPA in the content area coursework.",Not Required,True,False,True,False,False,False,,,program,
Adolescence Education: Mathematics + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Education in Adolescence Education: Mathematics + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/,Required,Required,"Completed online application, including: Application fee. Official transcripts from all accredited colleges or universities attended. Two letters of recommendation (one must be from a faculty member and one must be from a supervisor). A statement of objectives that explains how the program relates to the applicant’s personal and professional goals. A current resume. Meet the requirements listed under Option I, II, or III below. OPTION I - To be unconditionally accepted into the program, applicants must have a minimum cumulative GPA of 3.0 on a 4.0 scale. OPTION II - Applicants with a minimum cumulative GPA of 2.75 - 2.99 on a 4.0 scale will be considered for admission based on a minimum score on the Graduate Record Examination (GRE): Verbal 147; Quantitative 147; Analytical Writing 3.0. OPTION III - Applicants with a minimum cumulative GPA of 2.5 - 2.74 on a 4.0 scale will be considered for admission based on a minimum score on the Graduate Record Examination (GRE): Verbal 150; Quantitative 150; Analytical Writing 3.5. Note: Due to the COVID-19 pandemic, the GRE requirement is currently being waived. In addition, all applicants must have successfully completed: A major in Mathematics with a minimum of 30 credit hours in mathematics coursework, 12 of which must be at the 300-level or above. The coursework should include courses in calculus, linear algebra, geometry, abstract algebra, statistics/probability, and the history of mathematics.",Not Required,True,False,True,False,False,False,,,program,
Master of Science in Education in Adolescence Education: Physics,https://www.brockport.edu/live/profiles/adolescence-education-physics-msed,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Adolescence Education: Physics + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/,Not Required,Required,"Applicants for the advanced certificate in adolescence special education must meet the general requirements for admission to graduate study at SUNY Brockport and the following program-specific requirements:
- Possession of a master’s degree from an accredited US institution or its equivalent
- An undergraduate and graduate GPA of 3.0 or higher
- Possession of New York State initial or professional teacher certification in an adolescence education (grades 7-12) content area
- A statement of objectives for pursuing this advanced certificate
- Two letters of recommendation",Not Required,True,False,True,False,False,False,,,program,
