Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,,,,,Master of Arts in English,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,
,,,,,Master of Arts in History,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,
,,,,,Master of Arts in Mass Communication,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Music,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Sociology,https://www.ucmo.edu/about/university-leadership/board-of-governors/meeting-schedule-and-information/documents/2013-meetings/2013march21-meet.pdf,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Speech Communication,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Teaching English as a Second Language,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Theatre,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Social Gerontology,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Graduate Certificate in Social Gerontology,https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/department-of-human-services/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Graduate Certificate in Teaching English as a Second Language,https://www.griffith.edu.au/study/degrees/graduate-certificate-in-teaching-english-to-speakers-of-other-languages-3016,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Graduate Certificate in Women's & Gender Studies,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Accountancy,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Business Administration (MBA),The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Accounting,"The University of Central Missouri's MBA program is a valuable credential designed to help you succeed in today's rapidly changing business environment. Whether you are seeking to advance your career, change careers, or start your own business, the UCM MBA program can help you achieve your goals. Our program is designed to be flexible, with online and on-campus options that allow you to balance your studies with your personal and professional life. The UCM MBA is also affordable, making it a great investment in your future. At UCM, you will learn from experienced faculty who are experts in their fields. You will also have the opportunity to network with a diverse group of students from all over the world. This will give you the opportunity to learn from their experiences and perspectives.",https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/master-of-business-administration-mba/,"The Harmon College business programs are currently accredited by the Association to Advance Collegiate Schools of Business (AACSB), an accreditation earned by less than 5 percent of the world's business schools. [2] In addition, many of the programs within the HCBPS including Accounting, Aviation, Computer Information Systems, Public Relations, Social Work, and Speech Language Pathology hold individual accreditation status. [2]",Masters,"MBA, Accounting",https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/master-of-business-administration-mba/,
,,,,,"MBA, Ethical Strategic Leadership",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MBA, Finance",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MBA, Information Systems",https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/master-of-business-administration-mba/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MBA, Marketing",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MBA, Sports Business",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Aviation Safety,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Criminal Justice,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Computer Information Systems & Information Technology,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Speech-Language Pathology,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Arts in Teaching (MAT): Middle School & Secondary,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in College Student Personnel Administration,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Counseling,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Educational Technology,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Career and Technical Education (CTE) Administration Leadership,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Career and Technical Education (CTE) Industry Training,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Career and Technical Education (CTE) Teaching Leadership,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Library Science & Information Services,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Education (MSE) in Curriculum & Instruction,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, Elementary Education/Curriculum & Instruction",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, Elementary Math Specialist",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, Elementary School Administration",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, Literacy Education",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, Secondary School Administration",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,"MSE, K-12 Special Education",The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Education Specialist (Ed.S.) in Human Services/Educational Technology,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Ed.S. in Human Services/Learning Resources,https://www.ucmo.edu/current-students/office-of-the-registrar-and-student-records/catalogs/documents/ucm-grad-catalog-2016.pdf,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Ed.S. in Human Services/Professional Counseling,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Ed.S. in Human Services/Technology & Occupational Education,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
