Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Advanced Studies in Climate Science and Policy,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Earth Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Earth Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Earth Sciences with a Specialization in Interdisciplinary Environmental Research,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"The following materials must be submitted via the online application for an application to be considered complete: Statement of Purpose, Three Letters of Recommendation, Resume or CV, and Transcripts. In the statement of purpose we would like to hear about your previous research experience and your research interests for graduate school. Please be sure to list any SIO faculty members with whom you are interested in working. Applicants are strongly encouraged to communicate with potential advisors before applying. The GRE General Test is not required for Fall 2024 admissions. For international applicants whose native language is not English and who have not studied full-time for at least one uninterrupted academic year at a university-level institution in which English is the language of instruction and in a country in which English is a dominant language, the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) is required.",Not Required,True,False,False,True,False,False,,,program,
PhD in Geophysics (Joint with San Diego State University),https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Advanced Studies in Marine Biodiversity and Conservation,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"A complete online application includes the following: Online Application and Fee, Statement of Purpose: Describe your academic and professional background, and why you are interested in the MAS MBC program., Resume or CV, Three Letters of Recommendation, Official Transcripts, TOEFL or IELTS Scores (for international applicants only), There is NO GRE requirement for the MAS MBC program.",Not Required,True,False,True,False,False,False,,,program,
Master of Science in Marine Biology,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Marine Biology,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Marine Biology with a Specialization in Interdisciplinary Environmental Research,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Oceanography,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Oceanography,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"Scripps Institution of Oceanography (SIO) seeks to admit a diverse and outstanding student body. Students are selected based on their scholastic record and potential for success in graduate school. No single factor is used to make admission decisions. The department considers all application materials, including statement of purpose, letters of recommendation, resume/CV, and academic preparation (coursework and research experience).",Not Required,True,False,,True,False,False,,,program,
PhD in Oceanography with a Specialization in Interdisciplinary Environmental Research,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"A Statement of Purpose is required. Please use the statement to address the following: What is your motivation to pursue a graduate degree in ocean, earth, or climate science?; How do your research interests align with research being conducted at Scripps?; What are your research goals and how would a degree from Scripps help you achieve them?; How have you prepared for graduate school? What skills and knowledge have you gained from your previous academic, research, professional, and/or personal experiences? What challenges have you faced and how did you overcome them?; What are your personal and professional goals after completing a graduate degree? We encourage you to review the UC San Diego Graduate Division’s guidance on writing a statement of purpose. A Resume or CV is required. Three Letters of Recommendation are required. Transcripts are required from all post-secondary institutions attended. Both a scanned unofficial copy and an official copy are required by the admissions deadline. International applicants may be required to submit scores from the TOEFL iBT or IELTS. The minimum TOEFL score required for consideration for admission is 550 for the paper-based test, 213 for the computer-based test, or 80 for the internet-based test. The minimum required IELTS score is 7.",Not Required,True,False,,True,False,False,,,program,
PhD in Anthropology,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Anthropology and Cognitive Science,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Anthropology (Science Studies),https://grad.ucsd.edu/admissions/programs.html,Optional,Required,"GRE General: Not required.
Official TOEFL scores are required for international applicants whose native language is not English and who have not studied full-time for one uninterrupted academic year at a university-level institution in which English is the language of instruction and in a country in which English is a dominant language.
Letters of Recommendation (3 required)
Bachelor's Degree, or the equivalent, from an accredited institution in the United States or from a recognized university-level academic institution abroad. A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale is required.
Demonstrated strong interest in Science Studies",Required,True,False,True,False,False,False,,,program,
PhD in Anthropology with a Specialization in Anthropogeny,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Anthropology with a Specialization in Cognitive Science,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"The UCSD Application for Graduate Admission is online. Applications are accepted for the PhD program for Fall quarter admission only. Applicants may apply to both the PhD program in Anthropology and the MAS program in the Anthropology of Climate Change. A separate application and fee are required for each program. Please review the Anthropology Graduate Admissions FAQs before applying. Required application materials for the PhD program include: the online application with application fee; statement of purpose; three letters of recommendation; a resume or curriculum vitae; a writing sample; transcripts from all post-secondary institutions attended; and TOEFL or IELTS scores for international applicants. The Department of Anthropology does not require GRE scores. For more detailed information on graduate admissions in Anthropology, visit the department website.",Required,True,False,False,False,False,False,,,program,
PhD in Anthropology with a Specialization in Computational Social Science,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"Please be sure to submit all of the required application materials. This will ensure your application is reviewed in a timely manner. The following is a list of all required materials: Transcripts, Resume or Curriculum Vitae, Letters of Recommendation, Statement of Purpose, English Language Proficiency, Writing Sample(s)",Required,True,False,False,False,False,False,,,program,
PhD in Anthropology with a Specialization in Critical Gender Studies,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"In addition to the general requirements for admission to graduate studies at UCSD, the following materials must be submitted online by the deadline for your application to be considered:
1. Statement of Purpose: Describe your interest in pursuing a doctoral degree in anthropology at UCSD. In your statement you should address the following: What specific research questions or problems in anthropology are you interested in pursuing? In which of the department's three subfields (archaeological, biological, or sociocultural anthropology) does your research interest lie? Which faculty members in the department are you most interested in working with and why? What previous experiences have prepared you for graduate study in anthropology?
2. Three Letters of Recommendation: Enter the names and contact information of your recommenders in the online application. Recommenders will be contacted by email and will be asked to submit their letters electronically.
3. Transcripts: Upload a copy of transcripts from all post-secondary institutions attended.
4. Writing Sample: A sample of your written work (e.g. a chapter from an M.A. thesis, a term paper, a published article). We recommend submitting a single-authored piece that highlights your abilities to write and reason anthropologically. There is no specific page length required, but we suggest a writing sample around 20 pages.
5. Resume or C.V.
6. GRE General Test: The GRE is no longer required for applicants.
7. TOEFL or IELTS: Required for international applicants whose native language is not English and who have not studied full-time for one uninterrupted academic year at a university-level institution in which English is the language of instruction and in a country in which English is a dominant language.",Required,True,False,True,False,False,False,,,program,
PhD in Anthropology with a Specialization in Interdisciplinary Environmental Research,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Astronomy and Astrophysics,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Doctor of Audiology (AuD) (Joint with San Diego State University),https://grad.ucsd.edu/admissions/programs.html,Required,Required,"A bachelor's degree (or equivalent) is required for admission to the AuD program. An undergraduate major in speech, language, and hearing sciences is not required; students from other disciplines are encouraged to apply, but they must complete the specified prerequisites prior to entry into the graduate program. A minimum GPA of 3.0 is required for admission, but the program is very competitive and the mean GPA of admitted students is approximately 3.7. Prerequisites: Anatomy and Physiology of Speech and Hearing (or separate courses in Anatomy and Physiology of Speech and Anatomy and Physiology of Hearing), Phonetics, Language Acquisition, Introduction to Audiology, Aural Rehabilitation, Speech and Hearing Science, and one course in physical sciences (e.g., physics or chemistry), one course in biological sciences, one course in social sciences, and one course in statistics.",Not Required,True,False,,True,False,False,,,program,
Master of Science in Bioengineering,https://grad.ucsd.edu/admissions/programs.html,Required,Required,A statement of purpose is required. Three Letters of recommendation are required. Letters should be a candid and honest assessment of the applicant from the recommender. A resume or curriculum vitae is required. Transcripts are required. Please upload a copy of your transcripts to the online application. This can be an unofficial copy.,Not Required,True,False,True,True,False,False,,,program,
PhD in Bioengineering,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Bioinformatics and Systems Biology,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"A bachelor's degree in a scientific or engineering discipline with a strong quantitative and analytical background, and at least one year of Biology, one year of Chemistry, one year of Physics and one year of Mathematics including calculus and statistics. Linear algebra and programming experience is highly recommended. The most competitive applicants typically have extensive laboratory and/or programming experience.",Not Required,True,False,False,True,False,False,,,program,
PhD in Bioinformatics and Systems Biology,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"Applicants must have a bachelor's degree or the equivalent from an accredited institution in the United States or from a recognized university-level academic institution abroad. A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 on a 4.0 scale is required. Please see the Graduate Division's pages on minimum admissions requirements for US applicants and international applicants for more information.",Not Required,True,False,,True,False,False,,,program,
Master of Science in Biological Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Biological Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Biomedical Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Biomedical Sciences,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Biostatistics,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"The M.S. in Biostatistics program requires the following coursework to be completed prior to admission: one year of calculus (through multivariable/vector calculus); one course in linear algebra; and experience with a programming language (e.g. R, Python, C++, Java). While not required, we recommend applicants have one course in probability and statistics and one course in real analysis.",Not Required,True,False,False,True,False,False,,,program,
PhD in Biostatistics,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Business Analytics,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Finance,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"To be considered for admission, you must submit the following: Online Application, Transcripts, Résumé/CV, two Letters of Recommendation, Statement of Purpose, GMAT or GRE Test Scores, English Language Proficiency scores (if applicable), and a non-refundable application fee. An interview, by invitation only, is also part of the process.",Not Required,False,True,False,True,False,False,,,program,
Master of Professional Accountancy,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"Application requirements include a completed UC San Diego online application, transcripts from all higher education institutions attended, a statement of purpose, current résumé or CV, two letters of recommendation, official GMAT or GRE scores (waivers available), and an application fee. Students admitted to the MPAc program are expected to have completed coursework in financial and managerial accounting at an accredited institution prior to the start of the program.",Not Required,False,True,True,True,False,False,,,program,
Master of Science in Business Administration,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Full-Time MBA,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
FlexMBA,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Executive MBA,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Management,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Arts in Chemistry,https://grad.ucsd.edu/admissions/programs.html,,,,,True,False,False,False,False,False,,,program,
Master of Science in Chemistry,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Chemistry,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Clinical Psychology (Joint with San Diego State University),https://grad.ucsd.edu/admissions/programs.html,Required,Required,"Successful applicants to the Joint Doctoral Program in Clinical Psychology generally possess the following qualifications:
1. An undergraduate major in psychology, or at least 30 undergraduate semester hours in psychology.
2. A grade point average of 3.5 or better in all psychology courses, and an overall undergraduate GPA of 3.5 or better.
3. Completion of a course in statistics (preferably in psychology, but other social/behavioral sciences are acceptable) and a course in research methods. Additional coursework in the biological and physical sciences is also desirable.
4. Research experience, typically one to two years in a faculty member's lab.
5. Strong letters of recommendation, including at least two from faculty who can speak to the applicant's research potential and academic skills.
6. A well-written personal statement describing the applicant's research interests and career goals, including the identification of one or two JDP faculty with whom they would like to work.",Not Required,True,False,True,True,False,False,,,program,
Master of Arts in Communication,https://communication.ucsd.edu/graduate/admissions-faq.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Communication,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"All applicants must have a bachelor's degree or the equivalent from an accredited institution in the United States or from a recognized university-level academic institution abroad. A grade point average (GPA) of 3.0 or better, or the equivalent, is required by the Graduate Division. The department may consider exceptions. The Test of English as a Foreign Language (TOEFL) is required for international applicants whose native language is not English. Minimum TOEFL score is 550 on the paper-based test (pBT), 213 on the computer-based test (cBT), and 85 on the internet-based test (iBT). Applicants who have received a degree from a university in which English is the language of instruction may be exempt from the TOEFL requirement.",Required,True,False,,False,False,False,,,program,
PhD in Communication (Science Studies),https://grad.ucsd.edu/admissions/programs.html,Required,Required,"To be considered for admission, applicants must submit the following: Statement of Purpose, Resume or CV, Writing Sample, Three Letters of Recommendation, Transcripts, GRE General Test (optional), English Language Proficiency (required for international applicants).",Required,True,True,False,False,False,False,,,program,
Master of Science in Computer Science,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Computer Science,https://grad.ucsd.edu/admissions/programs.html,Required,Required,"We generally admit students with a Bachelor's or Master's degree in computer science, computer engineering, or a related field. Strong applicants will have a high GPA (typically 3.5 or higher), strong letters of recommendation, and prior research experience.",Not Required,True,False,,True,False,False,,,program,
Master of Science in Computer Science with a Specialization in Human-Centered Design,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Computer Science with a Specialization in Human-Centered Design,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Computer Science (Computer Engineering),https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Computer Science (Computer Engineering),https://grad.ucsd.edu/admissions/programs.html,Required,Required,Please see department website for additional requirements and information.,Not Required,True,False,True,True,False,False,,,program,
PhD in Computer Science (Computer Engineering) with a Specialization in Human-Centered Design,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Computer Science and Cognitive Science,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Computer Science with a Specialization in Bioinformatics,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Advanced Studies in Data Science and Engineering,https://grad.ucsd.edu/admissions/programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
