Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Required,Required,"To be accepted to this program, you must have a bachelor's degree from a regionally accredited institution and a 3.0 minimum undergraduate GPA. [3] To apply, you need to complete an online application that includes official transcripts from each undergraduate institution, a personal statement, two letters of recommendation, and a resume. [3]",Not Required,True,False,,False,False,False,,,program,Academic Advising (Graduate Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html,
Required,Required,"To be eligible to pursue an MBA at Indiana University's Kelley School of Business, you must hold a bachelor's degree from a US institution or its recognized equivalent. [2] Most applicants have at least two years of career experience. [3] Your resume should detail your responsibilities, skills, accomplishments, and leadership aptitude. [3] One letter of recommendation is requested. [3] An MBA essay is also required. [3]",Not Required,False,True,,True,False,False,,,program,Accounting (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html,
Required,Required,"A complete application includes an online application form, application fee, official transcripts from all post-secondary institutions, and two letters of recommendation. For international applicants, a demonstration of English proficiency is also required.",Not Required,False,True,True,True,False,False,,,program,Accounting - Financial Analysis (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html,
Required,Required,"Applicants must have completed a four-year undergraduate degree. A grade point average of 3.2 and above is expected. [2] A business degree is not required; however, applicants must complete all prerequisite courses before beginning the MSADA program. [5] Prerequisite courses include: Intro to Financial Accounting, Intro to Managerial Accounting, Intermediate Financial Accounting I and II, Cost Accounting, Tax, and Auditing. [3]",Not Required,True,False,,True,False,False,,,program,Accounting with Data and Analytics (Master of Science),https://graduate.indiana.edu/degrees-programs/degrees.html,
Not Required,Required,"All application materials must be submitted by December 1. Admitted Students enter the program beginning in the Fall semester. The Addiction Neuroscience (AN) program is designed for full-time students only. Application materials required include an online application, a minimum undergraduate GPA of 3.20, a personal statement expressing interest in addiction neuroscience and detailing any relevant research experience, three letters of recommendation, and two official transcripts of all undergraduate and graduate coursework. [2] International students must submit TOEFL scores unless they hold a bachelor's degree from a predominantly English-speaking country. [2] Majors in the life sciences such as psychology, biology, or chemistry are particularly encouraged, though other degrees with appropriate coursework will be considered. [2] High priority is given to academic preparation and performance in the life sciences. [2]",Not Required,False,True,,True,False,False,,,program,Addiction Neuroscience (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
Required,Required,Bachelor's degree from an accredited institution (minimum accumulative GPA 2.75 out of 4.00); Completed online application that includes: Personal statement; Resume; Three letters of recommendation; Minimum 79 TOEFL score or minimum 6.5 IELTS score or minimum 115 Duolingo score (international students only). [1],Not Required,True,False,False,False,False,False,,,program,Addictions Counseling (M.S.Ed.),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,False,False,,False,False,False,,,program,"Adult Gerontology Acute Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,False,False,False,False,False,False,,,program,"Adult Gerontology Primary Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,False,False,,False,False,False,,,program,Advanced Materials and Manufacturing (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,False,False,False,False,False,False,,,program,Aerospace Engineering (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
Not Required,Required,"The AAADS Graduate Studies Committee, in consultation with the chair of the department and faculty, will be responsible for the admission of graduate students into the doctoral program. The committee will consider GRE scores, a personal statement, a writing sample of no more than 30 pages, and at least three letters of reference from instructors who have sufficient evidence to write candidly about your बौद्धिक abilities and potential for success in this endeavor. Prospective graduate students who hold a master's degree must have a cumulative grade point average of 3.5 on a 4.0 scale in their prior program(s). Incoming graduate students who have recently completed their undergraduate studies must have at least a 3.3 grade point average for their last two years of undergraduate studies. [3]",Required,False,False,,False,False,False,,,program,African American Studies (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
Required,Required,"A complete application for the Anatomy, Cell Biology and Physiology PhD Education Track includes an online admissions application, application fee ($70 non-refundable), personal statement, three letters of recommendation, CV/Resume, and official transcripts. [1]",Not Required,False,True,,True,False,False,,,program,Anatomy (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
