Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"The Master of Science in Accounting (MS in Accounting) is a 30-credit graduate program designed for individuals who wish to develop the skills and knowledge necessary to pursue a career in public accounting, and meet the 150-credit hour licensure requirement in New York State. The graduate program also serves as a foundation for doctoral studies and other business-related professional careers.",https://www.brockport.edu/academics/accounting/graduate/,Our undergraduate and graduate programs are accredited by AACSB International-the Association to Advance Collegiate Schools of Business. Less than five percent of business schools worldwide have earned this distinction.,Masters,Master of Science in Accounting,https://www.brockport.edu/academics/graduate-programs/
,"The Advanced Certificate in Adapted Physical Education is a 15-credit program of study that results in a recommendation for New York State certification as a teacher of adapted physical education. The program is specifically designed to meet the academic requirements for the New York State certification exam in adapted/special physical education. The program is offered fully online. This program is designed for individuals who have already earned initial or professional NYS certification in physical education and have completed a master's degree. The courses focus on developing knowledge and skills in the areas of assessment, instruction, and consultation as they pertain to teaching physical education to students with disabilities.",https://www.brockport.edu/academics/kinesiology/adapted-physical-education/advanced-certificate/,,Advanced Certificate,Adapted Physical Education (Advanced Certificate),https://www.brockport.edu/academics/kinesiology/adapted-physical-education/physical-education-track-masters/
Biology,"The Master of Science in Education in Adolescence Education program is a 36-39 credit graduate program that prepares students for initial and/or professional certification as a secondary classroom teacher in New York State. This program is for students who do not have a teaching certification. Program concentrations are available for the following content areas: biology, chemistry, earth science, English, French, mathematics, physics, social studies and Spanish. This program leads to an MSEd degree and eligibility for New York State Initial Teacher Certification in Adolescence Education, grades 7-12, in the student’s academic specialty. An option for dual certification in TESOL or Students with Disabilities is also available. Successful completion of the program and passing of all required New York State certification examinations (EAS, edTPA, and appropriate CST) will lead to the College’s recommendation for the Initial Certificate.",https://www.brockport.edu/academics/education_human_development/graduate/adolescence_inclusive/,Council for the Accreditation of Educator Preparation (CAEP),Master's Degree,Master of Science in Education in Adolescence Education: Biology,https://explore.suny.edu/programs/state-university-college-at-brockport-adolescence-education-biology-master-master-of-education-1470329456334
Biology,Our Adolescence Inclusive Generalist Education programs lead to dual certification in the student’s content area and Students with Disabilities Generalist (7-12). The program is for students who have already earned an undergraduate degree in one of the content areas listed below. Our programs are nationally recognized by the Council for the Accreditation of Educator Preparation (CAEP). We are also proud to have a very high employment rate for our graduates.,https://www.brockport.edu/academics/teacher-education/graduate/adolescence-inclusive-generalist/,The Teacher Education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Advanced Certificate,Adolescence Education: Biology + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
Biology,"Are you a problem-solver? A mentor? A leader? Do you want to work with adolescents of all abilities? Our adolescence inclusive general-ed program is for you. This program leads to dual certification in your content area (grades 7-12) and as a Teacher of Students with Disabilities (grades 7-12). Our program is committed to preparing teachers to meet the needs of all learners in today's diverse classrooms. Students will engage in coursework that focuses on content-specific pedagogy and inclusive practices, including co-teaching and collaboration, differentiating instruction, and culturally responsive-sustaining education. Through a series of carefully planned field experiences, students will have the opportunity to implement what they have learned with the mentorship of our expert faculty.",https://www.brockport.edu/academics/teacher_education/graduate/adolescence_inclusive/,The educator preparation programs (advanced level) at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Masters,Master of Science in Education in Adolescence Education: Biology + Students with Disabilities Certification,https://www.brockport.edu/academics/biology/adolescence-biology-major/
Chemistry,"The Master of Science in Education in Adolescence Education is intended for students who have completed an undergraduate major in the area in which they seek certification. We offer certification in the following content areas: Biology, Chemistry, Earth Science, English, French, Mathematics, Physics, Social Studies, and Spanish. Completion of this program leads to a master's degree and initial and professional New York State teacher certification in Adolescence Education (grades 7-12) in the student's area of concentration. The program prepares teachers to meet the needs of a diverse student population and promotes the development of critically reflective practitioners who are student advocates.",https://www.brockport.edu/academics/teacher_education/graduate/adolescence_education/,All teacher education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,MSEd,Master of Science in Education in Adolescence Education: Chemistry,https://www.brockport.edu/academics/graduate-programs/
Chemistry,"The Adolescence Inclusive Generalist Education with Students with Disabilities program prepares candidates to teach in secondary schools (grades 7-12). Our program provides initial teacher certification for those with a bachelor’s degree in one of the following content areas: English, French, social studies, Spanish, biology, chemistry, earth science, mathematics, or physics. The program is designed for students who do not hold a teaching certificate. Candidates will complete the program as a cohort, taking courses that are carefully sequenced to build on one another, and are tied to two semester-long field experiences. You'll work closely with expert faculty in a supportive, student-centered environment. Upon completion of the program, candidates are eligible for both an initial teaching certificate in their content area and in teaching students with disabilities (generalist).",https://www.brockport.edu/academics/education-human-development/graduate/adolescence-inclusive-generalist/,"The School of Education, Health and Human Services at SUNY Brockport is accredited by the Council for the Accreditation of Educator Preparation (CAEP).",Advanced Certificate,Adolescence Education: Chemistry + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
Chemistry,"The Inclusive Adolescence Education program leads to a Master of Science in Education (MSEd) and recommendation for Initial and Professional New York State teacher certification in both Adolescence Education (Grades 7-12) and Teaching Students with Disabilities (Grades 7-12) in a specific content area. This program is a 45-48 credit program designed for candidates who have a bachelor’s degree in one of the content areas in which we offer certification, or the equivalent in coursework.",https://www.brockport.edu/academics/education_human_development/graduate/adolescence_inclusive/,"The School of Education, Health, and Human Services at SUNY Brockport is accredited by the Council for the Accreditation of Educator Preparation (CAEP) and the Association for Advancing Quality in Educator Preparation (AAQEP).",,Master of Science in Education in Adolescence Education: Chemistry + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
Earth Science,Our Master of Science in Education in Adolescence Education: Earth Science is for students who have a bachelor’s degree in geology or a related field and are seeking an initial teaching certificate. Our program is nationally recognized by the National Science Teachers Association (NSTA).,https://www.brockport.edu/academics/education-human-development/graduate/adolescence-education/earth-science/,"All teacher certification programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP). The Adolescence Education - Science Education program, which includes Earth Science, is nationally recognized by the National Science Teachers Association (NSTA).",Master's,Master of Science in Education in Adolescence Education: Earth Science,https://www.brockport.edu/academics/graduate-programs/
Earth Science,"SUNY Brockport offers a Master of Science in Education in Adolescence Education that leads to Initial and Professional New York State teacher certification in one of seven content areas for grades 7-12. All of our adolescence education programs lead to dual certification in your chosen content area and students with disabilities.

This is a 45-48 credit hour program designed for students who have an undergraduate degree in the content area they wish to teach, but lack a background in education. It is an intensive, field-based program that immerses students in a school setting from the very first semester. Students complete coursework that provides them with the tools and resources they need to serve all students, including those with special needs.

There is no GRE requirement for this program.",https://www.brockport.edu/academics/teacher-education/graduate/adolescence_education/,The Teacher Education Unit at SUNY Brockport is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,,Master of Science in Education in Adolescence Education: Earth Science + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
,"The Adolescence Inclusive Generalist Program leads to an initial and professional New York State teaching certificate in the candidate's content area (grades 7-12) and teaching students with disabilities at the same level (generalist). The program is nationally recognized by the Council for the Accreditation of Educator Preparation (CAEP). The program offers a master's degree, an advanced certificate, or a combined master's/advanced certificate program. Coursework focuses on adolescent development and learning, curriculum and instruction in the content area, and adapting instruction for all learners, including those with disabilities.",https://www.brockport.edu/academics/teacher-education/graduate/adolescence-inclusive-generalist/,The program is nationally recognized by the Council for the Accreditation of Educator Preparation (CAEP).,Advanced Certificate,Adolescence Education: Earth Science + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
English,"Become a teacher who is qualified to teach all learners in grades 7-12. Our master’s program leads to dual certification in your content area and in teaching students with disabilities.

The Adolescence Inclusive Generalist Program leads to a Master of Science in Education and prepares teacher candidates to work with students in grades 7-12, including students with disabilities. The program leads to Initial and Professional New York State teacher certification in a content area (grades 7-12) and in Teaching Students with Disabilities (grades 7-12 Generalist).",https://www.brockport.edu/academics/teacher_education/graduate/adolescence_inclusive_generalist/,The Teacher Education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Masters,Master of Science in Education in Adolescence Education: English,https://www.brockport.edu/academics/graduate-programs/
English,"This program is designed for candidates who already hold an initial and/or professional teaching certificate in English (grades 7-12) and want to become certified to teach students with disabilities at the same grade level. It combines online and on-campus courses, making it an excellent option for working professionals. Through this program, you will develop a deep understanding of disabilities and their effect on learning. You’ll learn how to develop appropriate Individualized Education Programs (IEPs), adapt curricula, and assess student learning. We’ll also prepare you to create a safe, supportive classroom where you can effectively partner with families and other school professionals.",https://www.brockport.edu/academics/education-human-development/graduate/adolescence-inclusive-generalist/,All of our teacher preparation programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Advanced Certificate,Adolescence Education: English + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
,"Our dual-certification master’s degree program prepares graduates to become effective English teachers for all students in grades 7-12, including those with disabilities. The program offers a unique focus on young adult literature, the teaching of writing, and literacy in the disciplines. Graduates of this program are well prepared to meet the demands of teaching the diverse population of students in today’s schools. You will earn a Master of Science in Education (MSEd) and be eligible for both initial and professional NYS certifications in English Language Arts (7-12) and Students with Disabilities (7-12 Generalist). This program provides both the master’s degree and the teacher certifications needed by most public school districts. The required coursework can be completed on a full-time or part-time basis, through a combination of on-campus and online coursework. We offer all required courses on a rotating schedule that makes it easy to plan your program of study. As a student in our program, you will benefit from individualized advisement and a variety of field experiences in diverse settings.",https://www.brockport.edu/academics/education/english-masters/,All of our educator preparation programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Masters,Master of Science in Education in Adolescence Education: English + Students with Disabilities Certification,https://www.brockport.edu/academics/education/english-masters/
Mathematics,"The Master of Science in Education in Adolescence Education is a 42-45 credit program for students who have a bachelor's degree in a content area, but are not certified to teach. The adolescence program prepares students to teach in grades 7-12. As a student in our program, you will develop the professional knowledge, skills and dispositions necessary to become a highly qualified teacher and educational leader. The program leads to Initial and Professional New York State teacher certification in one of the following content areas: English, social studies, mathematics, biology, chemistry, earth science, or physics.",https://www.brockport.edu/academics/education_human_development/graduate/adolescence_education/,All of our teacher education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Master of Science in Education,Master of Science in Education in Adolescence Education: Mathematics,https://www.brockport.edu/academics/graduate-programs/
,"The Advanced Certificate in Adolescence Education: Mathematics + Students with Disabilities is for students who are already certified in Mathematics 7-12, but who are also seeking Students with Disabilities 7-12 Generalist certification. As a student in this program, you will complete 15 credits of coursework designed to meet the academic requirements for initial/professional certification in Students with Disabilities 7-1_ Generalist. Coursework is aligned with both New York State requirements for certification and Council for Exceptional Children (CEC) standards for teacher preparation. The program is fully online, with synchronous courses that are offered in the late afternoon/evening.",https://www.brockport.edu/academics/teacher-education/graduate/adolescence-education-mathematics-disabilities-certification/,"The Division of Education and Human Development at SUNY Brockport is accredited by the Council for the Accreditation of Educator Preparation (CAEP), 1140 19th St NW, Suite 400, Washington, DC 20036, (202) 223-0077.",Advanced Certificate,Adolescence Education: Mathematics + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
Mathematics + Students with Disabilities Certification,The Adolescence Inclusive Generalist Program is for candidates who have completed an undergraduate degree in an approved content area and want to become a certified teacher. The program leads to a Master of Science in Education (MSEd) and dual initial teaching certification in a specific content area (grades 7-12) and in Teaching Students with Disabilities (grades 7-12).,https://www.brockport.edu/academics/teacher-education/graduate/adolescence-inclusive-generalist/,All teacher education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Masters,Master of Science in Education in Adolescence Education: Mathematics + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
,The Adolescence Education: Physics program is a master’s level program that leads to New York State teacher certification in physics (grades 7-12). Our program includes a comprehensive foundation in the teaching of science combined with extensive field experience to prepare you to enter the teaching profession and succeed in your classroom.,https://www.brockport.edu/live/profiles/adolescence-education-physics-msed,All teacher certification programs at SUNY Brockport are accredited by the Association for Advancing Quality in Educator Preparation (AAQEP).,Masters,Master of Science in Education in Adolescence Education: Physics,https://www.brockport.edu/live/profiles/adolescence-education-physics-msed
,"The Adolescence Inclusive Generalist Program leads to a recommendation for an additional teaching certificate in Students with Disabilities 7-12 Generalist. Candidates must already possess an initial or professional certificate in an adolescence content area in order to be admitted into this program. Through this program, you will gain the knowledge and skills to successfully teach all students in the inclusive classroom. You will learn to collaborate and co-teach with other professionals as you work in our partner schools. This program also fulfills the master’s degree requirement for professional certification.",https://www.brockport.edu/academics/teacher-education/graduate/adolescence-inclusive-generalist/,SUNY Brockport’s Department of Education and Human Development is accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Advanced Certificate,Adolescence Education: Physics + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
Physics + Students with Disabilities Certification,"Become a more marketable teacher. Our Master of Science in Education in Adolescence Inclusive Generalist Education is a dual-certification program. This program prepares you to become an inclusive educator, certified to teach a content area in grades 7-12 AND certified to teach students with disabilities in grades 7-12. The program can be completed in as little as three semesters. It includes a full year of residency, where you will teach alongside a mentor in a local school. It offers you the opportunity to work and build relationships with a diverse group of students in an inclusive school setting. You will also have the opportunity to participate in our international professional semester programs in England, New Zealand and Australia.",https://www.brockport.edu/academics/teacher_education/graduate/adolescence-inclusive/,The Teacher Education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Master,Master of Science in Education in Adolescence Education: Physics + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
Social Studies,"SUNY Brockport offers Master of Science in Education (MSEd) degrees that lead to Initial and/or Professional New York State teacher certification in Adolescence Education (grades 7-12). These programs are for individuals who have a bachelor’s degree in the content area they wish to teach, or the equivalent (see content core requirements). Our Adolescence Education programs include a combination of coursework in pedagogy (the art and science of teaching) and a variety of field experiences in local schools. We offer programs in: Biology, Chemistry, Earth Science, English, Mathematics, Physics, Social Studies, Spanish, French.",https://www.brockport.edu/academics/teacher_education/graduate/adolescence_education/,All teacher education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Master,Master of Science in Education in Adolescence Education: Social Studies,https://www.brockport.edu/academics/graduate-programs/
,"This program is designed for students who already have an initial certification in Social Studies 7-12 and a master's degree. Students will take courses to obtain an additional certification in Students with Disabilities 7-12. As a nationally-accredited program, our graduates are highly sought-after. Most are employed as special education teachers in public schools and bring a wealth of expertise to the field. Our graduates can also teach social studies in a special class setting in public schools. Students may pursue this program on a part-time or full-time basis.",https://www.brockport.edu/academics/teacher_education/graduate/social_studies_disabilities_cert/,All teacher education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Advanced Certificate,Adolescence Education: Social Studies + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
Social Studies + Students with Disabilities Certification,"The Adolescence Inclusive Generalist Program leads to a Master of Science in Education (MSEd) and recommendation for NYS initial and professional teacher certification in both an adolescence content area (grades 7-12) and in teaching students with disabilities at the same grade level. This program is for candidates who have completed an undergraduate major in the content area for which they are seeking certification, but do not yet hold a teacher certification. The program is designed to prepare teachers to work with a broad range of students, including those with disabilities, in grades 7-12 classrooms. This 45-48 credit program can be completed in four semesters of full-time study. Part-time options are also available.",https://www.brockport.edu/academics/teacher-education/graduate/adolescence-inclusive-generalist/,The Teacher Education programs at SUNY Brockport are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,Masters,Master of Science in Education in Adolescence Education: Social Studies + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
,"Our Advanced Certificate in Aging Studies program enhances the knowledge and skills of individuals from various disciplines and professions. The program is specifically designed to provide specialized academic training in gerontology for graduate students and practitioners in the field of aging who wish to become more knowledgeable about the aging process and the needs of older people. This flexible, 15-credit graduate-level program may be taken separately or with a graduate degree program in another discipline. Courses are open to both matriculated and non-matriculated students.",https://www.brockport.edu/academics/aging/,,Advanced Certificate,Aging Studies (Advanced Certificate),https://www.brockport.edu/academics/aging/
,"The Master of Science in Athletic Administration is a 36-credit, fully online program that will prepare you for a successful career in the exciting and competitive world of sports. Whether you are a current or aspiring athletic administrator, coach, or sports professional, our program will equip you with the skills and knowledge you need to lead and manage athletic programs at all levels, from interscholastic to intercollegiate. Our program is designed to provide you with the essential skills and knowledge needed to excel in the dynamic field of athletic administration. You will learn to: Lead and manage athletic programs effectively. Develop and implement strategic plans for athletic departments. Manage budgets and financial resources. Ensure compliance with legal and ethical standards in athletics. Promote a positive and inclusive culture within athletic programs. Market and promote athletic programs to various stakeholders.",https://www.brockport.edu/live/profiles/athletic-administration-ms,,,Master of Science in Athletic Administration,https://www.brockport.edu/live/profiles/athletic-administration-ms
,"The Master of Science in Athletic Training (MSAT) is a 54-credit, two-year full-time cohort program that prepares students to become highly skilled and competent athletic trainers. The program emphasizes the promotion of life-long learning and an evidence-based practice approach to clinical decision making. Students will gain valuable clinical experience under the direct supervision of a certified and licensed athletic trainer and/or physician. Upon completion of the program, students will be eligible to sit for the Board of Certification, Inc. (BOC) examination.",https://www.brockport.edu/academics/kinesiology/graduate/athletic_training/,"SUNY Brockport is currently accredited by the Commission on Accreditation of Athletic Training Education (CAATE), 2001 K Street NW, Third Floor – North, Washington, DC 20006 USA. The program has chosen to voluntarily withdraw its CAATE accreditation effective August 18, 2023 and is no longer accepting new students.",Master of Science,Master of Science in Athletic Training,https://www.brockport.edu/academics/graduate-programs/
