DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Undergraduate Admissions,,,,,,,,Syracuse,USA,US,United States,orange@syr.edu,315.443.3611,,NY,401 University Place,,13244-2130,New York,,False,https://www.syracuse.edu/admissions/undergraduate/,,,False,False,Syracuse University
Graduate Admissions,,,,,,,,Syracuse,USA,US,United States,grad@syr.edu,315.443.4492,,NY,,,,New York,,False,https://www.syracuse.edu/admissions/graduate/,,,False,False,Syracuse University
International Admissions,,,,,,,,Syracuse,USA,US,United States,,,,NY,900 South Crouse Ave,,13244,New York,,False,https://www.syracuse.edu/admissions/international/,,,False,False,Syracuse University
Transfer Student Admission,,,,,,,,Syracuse,USA,US,United States,transfertosu@syr.edu,315.443.3611,,NY,,,,New York,,False,https://www.syracuse.edu/admissions/transfer-student-admission/,,,False,False,Syracuse University
Veterans Admissions,,,,,,,,Syracuse,USA,US,United States,rwb@syr.edu,315.443.6124,,NY,,,,New York,,False,https://www.syracuse.edu/admissions/veteran-military/,,,False,False,Syracuse University
Law Admissions,,,,,,,,Syracuse,USA,US,United States,admissions@law.syr.edu,315.443.1962,,NY,950 Irving Avenue,,13244,New York,,False,https://law.syracuse.edu/admissions/,Dineen Hall,,False,False,Syracuse University
Part-time Study (College of Professional Studies),,,,,,,,Syracuse,USA,US,United States,parttime@syr.edu,315.443.9378,,NY,700 University Ave.,,13244,New York,,False,https://professionalstudies.syracuse.edu/admissions/part-time-study/,,,False,False,Syracuse University
School of Education - Graduate Admissions,,,,,,,,Syracuse,USA,US,United States,soeadmissions@syr.edu,315.443.2505,,NY,,,,New York,,False,https://soe.syr.edu/admissions/graduate-admissions/,,,False,False,Syracuse University
School of Information Studies - Graduate Admissions,,,,,,,,Syracuse,USA,US,United States,,,,NY,110 Hinds Hall,,13244,New York,,False,https://ischool.syr.edu/admissions/graduate/,Hinds Hall,,False,False,Syracuse University
Maxwell School of Citizenship and Public Affairs - Graduate Enrollment,,,,,,,,Syracuse,USA,US,United States,MaxEnroll@syr.edu,,,NY,,,,New York,,False,https://www.maxwell.syr.edu/admissions/graduate-admissions/,,,False,False,Syracuse University
