DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Undergraduate Admissions,,,,,,,,Atlanta,US,US,United States,admissions@gsu.edu,404-413-2500,,GA,P.O. Box 4009,,30302-4009,Georgia,,False,https://www.gsu.edu/admissions/,Welcome Center,,False,False,Georgia State University
Graduate Admissions,,,,,,,,Atlanta,US,US,United States,gradapply@gsu.edu,404-413-2444,,GA,P.O. Box 4018,,30302,Georgia,,False,https://graduate.gsu.edu/admissions/apply/,,,False,False,Georgia State University
International Admissions,,,,,,,,Atlanta,US,US,United States,adminternational@gsu.edu,404-413-2500,,GA,33 Gilmer St. SE,Suite 227/228,,Georgia,,False,https://www.gsu.edu/admissions/international-students/,Sparks Hall,,False,False,Georgia State University
Andrew Young School of Policy Studies Office of Academic Assistance,,,,,,,,Atlanta,US,US,United States,aysenroll@gsu.edu,404-413-0021,,GA,55 Park Place,Suite 239A,30303,Georgia,,False,https://aysps.gsu.edu/admissions/,,,False,False,Georgia State University
Byrdine F. Lewis College of Nursing and Health Professions Office of Academic Assistance,,,,,,,,Atlanta,US,US,United States,cnhpoaa@gsu.edu,404-413-1000,,GA,,,30302-3995,Georgia,,False,https://lewis.gsu.edu/admissions-alumni/admissions/graduate-admissions/,Urban Life Building,,False,False,Georgia State University
"College of Arts & Sciences, Office of Graduate Services",,,,,,,,Atlanta,US,US,United States,artsandsciencesgrad@gsu.edu,404-413-5040,,GA,25 Park Place,Suite 300,30303,Georgia,,False,https://cas.gsu.edu/graduate-studies/apply-now/,,,False,False,Georgia State University
College of Education and Human Development Office of Graduate Student Services,,,,,,,,Atlanta,US,US,United States,cehdgrad@gsu.edu,404-413-8100,,GA,30 Pryor Street,Suite 300,,Georgia,,False,https://education.gsu.edu/office-of-graduate-admissions-and-student-services/,,,False,False,Georgia State University
College of the Arts Office Academic Assistance,,,,,,,,Atlanta,US,US,United States,cota@gsu.edu,404-413-5855,,GA,55 Park Place NE,Suite 990,,Georgia,,False,,,,False,False,Georgia State University
College of Law Admissions,,,,,,,,Atlanta,US,US,United States,lawadmissions@gsu.edu,404-413-9200,,GA,85 Park Place NE,,,Georgia,,False,https://law.gsu.edu/admissions/,,,False,False,Georgia State University
Institute for Biomedical Sciences,,,,,,,,Atlanta,US,US,United States,biomedical@gsu.edu,404-413-3578,,GA,100 Piedmont Ave SE,716,30303-5035,Georgia,,False,https://biomedical.gsu.edu/admissions-academics/,Petit Science Center,,False,False,Georgia State University
J. Mack Robinson College of Business Office of Graduate Business Programs,,,,,,,,Atlanta,US,US,United States,rcbgradadmissions@gsu.edu,404-413-7167,,GA,55 Park Place,,,Georgia,,False,https://robinson.gsu.edu/graduate/admissions/,,,False,False,Georgia State University
School of Public Health Office of Academic Assistance,,,,,,,,Atlanta,US,US,United States,publichealthadvising@gsu.edu,404-413-1452,,GA,140 Decatur St,3rd floor,,Georgia,,False,https://publichealth.gsu.edu/admissions/,Urban Life Building,,False,False,Georgia State University
