DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Purdue University Office of Admissions,,,,,,,,West Lafayette,USA,US,United States,admissions@purdue.edu,765-494-1776,,IN,2550 Northwestern Ave.,Suite 1900,47906,Indiana,,False,https://www.purdue.edu/admissions/apply/index.php,Stewart Center,,False,False,Purdue University
Graduate School,,,,,,,,West Lafayette,USA,US,United States,gradinfo@purdue.edu,765-494-2600,,IN,,,,Indiana,,False,https://www.purdue.edu/gradschool/admissions/how-to-apply/index.html,,,False,False,Purdue University
International Students and Scholars,,,,,,,,West Lafayette,USA,US,United States,iss@purdue.edu,765-494-5770,,IN,,,,Indiana,,False,https://www.purdue.edu/IPPU/ISS/Admission/index.html,,,False,False,Purdue University
International Admissions,,,,,,,,West Lafayette,USA,US,United States,intl-admissions@purdue.edu,,,IN,,,,Indiana,,False,https://www.purdue.edu/admissions/apply/index.php,,,False,False,Purdue University
Undergraduate Admissions - Purdue University Northwest,,,,,,,,,USA,US,United States,,1 (219) 989-1104,,IN,,,,Indiana,,False,https://www.pnw.edu/admissions/apply/,,,False,False,Purdue University
Graduate Studies Office - Purdue University Northwest,,,,,,,,,USA,US,United States,grad@pnw.edu,1 (219) 989-2257,,IN,,,,Indiana,,False,https://www.pnw.edu/grad-studies/admission/apply-now/,,,False,False,Purdue University
International Admissions - Purdue University Northwest,,,,,,,,Hammond,USA,US,United States,iadmissions@pnw.edu,(219) 989-2477,,IN,2200 169th Street,,46323,Indiana,,False,https://www.pnw.edu/international/admissions/,Lawshe Hall,,False,False,Purdue University
Office of Admissions - Purdue University Fort Wayne,,,,,,,,Fort Wayne,USA,US,United States,admissions@pfw.edu,260-481-6812,,IN,2101 East Coliseum Boulevard,,46805,Indiana,,False,https://www.pfw.edu/admissions/apply/,,,False,False,Purdue University
Purdue Global Admissions,,,,,,,,West Lafayette,USA,US,United States,,844-PURDUE-G (844-787-3834),,IN,2550 Northwestern Avenue,Suite 1100,47906,Indiana,,False,https://www.purdueglobal.edu/admissions/admissions-process/,,,False,False,Purdue University
Purdue Global International Admissions,,,,,,,,,USA,US,United States,international@support.purdueglobal.edu,954-512-5112,,,,,,,,False,https://www.purdueglobal.edu/admissions/admissions-process/,,,False,False,Purdue University
Veterinary Medicine Admissions,,,,,,,,West Lafayette,USA,US,United States,vetadmissions@purdue.edu,765-496-5000,,IN,,,,Indiana,,False,https://vet.purdue.edu/dvm/admissions-dvm.php,,,False,False,Purdue University
