DepartmentName,Description,Status,CollegeId,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,City,Country,CountryCode,CountryName,Email,PhoneNumber,PhoneType,State,Street1,Street2,ZipCode,StateName,MaximumApplicationsPerTerm,IsRecommendationSystemOpted,AdmissionUrl,BuildingName,BatchId,IsImportVerified,IsImported,CollegeName
Office of Undergraduate Admission,,,,,,,,Charlottesville,USA,US,United States,undergradadmission@virginia.edu,(434) 982-3200,,VA,P.O. Box 400160,,22904,Virginia,,False,https://admission.virginia.edu/apply/application-requirements,Peabody Hall,,False,False,University of Virginia
Graduate School of Arts & Sciences,,,,,,,,Charlottesville,USA,US,United States,gsas.admission@virginia.edu,(434) 924-7184,,VA,P.O. Box 400775,,22904,Virginia,,False,https://gsas.virginia.edu/admissions/requirements,Leake Hall,,False,False,University of Virginia
Admissions Office - School of Law,,,,,,,,Charlottesville,USA,US,United States,admissions@law.virginia.edu,434-924-7351,,VA,580 Massie Road,,22903-1738,Virginia,,False,https://www.law.virginia.edu/admission/jd-admissions,Slaughter Hall,,False,False,University of Virginia
Admissions - Darden School of Business,,,,,,,,Charlottesville,USA,US,United States,darden@virginia.edu,+1-434-924-7281,,VA,100 Darden Boulevard,,22903,Virginia,,False,https://www.darden.virginia.edu/mba/admissions/application-process,The Darden School,,False,False,University of Virginia
Admissions - School of Medicine,,,,,,,,Charlottesville,USA,US,United States,somadm@virginia.edu,434-924-5571,,VA,P.O. Box 800725,,22908,Virginia,,False,https://med.virginia.edu/education/admissions/application-process/,McKim Hall,,False,False,University of Virginia
Admissions - School of Nursing,,,,,,,,Charlottesville,USA,US,United States,gnurs@virginia.edu,434-924-2743,,VA,P.O. Box 400160,,22903,Virginia,,False,https://www.nursing.virginia.edu/admissions/apply/,Claude Moore Nursing Education Building,,False,False,University of Virginia
Graduate Admissions - School of Engineering and Applied Science,,,,,,,,Charlottesville,USA,US,United States,grad-engineering@virginia.edu,434-924-3897,,VA,351 McCormick Road,P.O. Box 400242,22904,Virginia,,False,https://engineering.virginia.edu/future-grads/how-apply,Thornton Hall,,False,False,University of Virginia
Admissions - School of Architecture,,,,,,,,Charlottesville,USA,US,United States,a-school-admissions@virginia.edu,(434) 924-6442,,VA,P.O. Box 400122,,22904,Virginia,,False,https://www.arch.virginia.edu/admissions/undergraduate,Campbell Hall,,False,False,University of Virginia
Admissions - Frank Batten School of Leadership and Public Policy,,,,,,,,Charlottesville,USA,US,United States,BattenAdmissions@virginia.edu,(434) 924-7093,,VA,235 McCormick Road,,22904,Virginia,,False,https://batten.virginia.edu/admission/master-public-policy-mpp/how-apply,Garrett Hall,,False,False,University of Virginia
Admissions - McIntire School of Commerce,,,,,,,,Charlottesville,USA,US,United States,commerceadmissions@virginia.edu,(434) 924-3865,,VA,P.O. Box 400173,,22904,Virginia,,False,https://www.commerce.virginia.edu/admissions,Rouss & Robertson Halls,,False,False,University of Virginia
Admissions - School of Education and Human Development,,,,,,,,Charlottesville,USA,US,United States,ehd-admissions@virginia.edu,(434) 924-0742,,VA,P.O. Box 400261,,22904,Virginia,,False,https://education.virginia.edu/admission/undergraduate-admission,Holloway Hall,,False,False,University of Virginia
Admissions - School of Continuing and Professional Studies,,,,,,,,Charlottesville,USA,US,United States,scps-admission@virginia.edu,434.924.4444,,VA,104 Midmont Lane,P.O. Box 400764,22904,Virginia,,False,https://www.scps.virginia.edu/admissions/how-to-apply,Zehmer Hall,,False,False,University of Virginia
Admissions - School of Data Science,,,,,,,,Charlottesville,USA,US,United States,datascience@virginia.edu,,,VA,P.O. Box 400249,,22904,Virginia,,False,https://datascience.virginia.edu/admissions,Dell 1,,False,False,University of Virginia
