Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted
Not Required,Required,"To apply as a first-year student, you’ll need to submit: Your application, an application essay, and official transcripts. Submitting SAT and ACT scores is optional.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts,https://www.evergreen.edu/registration/degree-requirements,
Not Required,Required,"To apply as a first-year student, you'll need to submit the Evergreen application or the Common App, a $50 nonrefundable fee or fee waiver, a required essay, and an official transcript from the last high school you attended. Evergreen is test-optional.",Not Required,True,False,True,False,False,,,program,Bachelor of Science,https://www.reachivy.com/degree/bsc,True
Not Required,Required,"To apply for first-year admission, you'll need to submit:

Application: You can apply using the Evergreen Application or the Common Application.
Application Fee: A nonrefundable $50 application fee. You can request a fee waiver if you can't afford the fee.
Transcripts: Official high school transcript or official GED scores.
Essay: An essay on one of two prompts is required.
Test Scores (Optional): We are test-optional. If you choose to submit them, send us your official ACT or SAT scores.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts and Science,https://www.evergreen.edu/registration/degree-requirements,True
Not Required,Optional,"To apply for first-year admission, you will need to submit: Application for Admission, a nonrefundable $50 application fee, and official high school transcripts or GED results.",Not Required,True,False,False,False,False,,,program,Interdisciplinary Arts and Sciences at Olympia,https://www.quora.com/Is-it-possible-to-establish-an-unconventional-college-that-doesnt-guarantee-GPAs-but-only-academic-portfolios-and-its-teaching-approach-is-project-based-and-no-course-credit-hours-of-general-education-courses-and,True
Not Required,Required,"Applicants must submit the Application for Admission, a nonrefundable application fee, official transcripts from all colleges/universities attended (or high school transcript for first-year applicants), and an essay. The essay is a critical part of the application, providing an opportunity to tell the admissions committee more about yourself.",Not Required,True,False,False,False,False,,,program,Liberal Studies at Evergreen Tacoma,https://www.evergreen.edu/registration/degree-requirements,
Not Required,Required,"To be considered for the Native Pathways Program, applicants must first apply and be admitted to The Evergreen State College as a first-year, transfer, or post-baccalaureate student. All applicants who are admitted to Evergreen and who are an enrolled member or descendant of an American Indian/Alaska Native/First Nations tribe are automatically considered for the Native Pathways Program. General application requirements for first-year students include an Application for Admission, an essay (200-500 words), an official High School Transcript or GED Certificate, and a $50 Application Fee.",Not Required,True,False,False,False,False,,,program,Native Pathways Program,https://www.evergreen.edu/academics/native-pathways-program,False
Not Required,Required,"All first-year applicants must submit a completed application for admission, official high school transcript or official copy of GED test results, and an essay. One letter of recommendation is recommended, but not required. SAT or ACT scores are optional and not required for admission.",Required,True,True,True,False,False,,,program,Applied Computer Science and Information Technology,https://www.evergreen.edu/registration/degree-requirements,True
Optional,Required,"To apply as a first-year student, you’ll need to submit: The Evergreen Application or the Common App. Your essay. Official transcripts from all high schools and colleges you’ve attended. The nonrefundable $50 application fee. We also welcome optional materials like test scores, letters of recommendation, and a resume or portfolio.",Not Required,True,False,False,False,False,,,program,Education and English Language Learning,https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual,False
Optional,Required,"To be considered for admission, you must submit a completed application including: Application (either the Evergreen Application or the Common Application), Nonrefundable $50 application fee or waiver, Personal Essay, Official high school transcript or GED certificate.",Not Required,False,True,False,False,False,,,program,Ethnic Studies,https://www.evergreen.edu/registration/degree-requirements,True
Not Required,Required,"To apply for first-year admission, you need to submit: Application: Submit the Evergreen application or the Common App. Essay: We require an essay on a topic of your choice. This is your chance to show us what you care about and how you think. High school transcript(s). Application fee of $50.",Not Required,True,False,False,False,False,,,program,Literature,https://www.evergreen.edu/registration/degree-requirements,
Not Required,Required,"To apply for admission as a first-year student, you will need to submit: The Evergreen application or the Common Application; A $50 nonrefundable application fee or fee waiver; Official high school and/or college transcripts; One essay.",Not Required,True,False,False,False,False,,,program,"El Camino: Latinx Studies, Latin American Studies, and Multilingual Education",https://www.evergreen.edu/academics/undergraduate-studies/el-camino-latinx-studies-latin-american-studies-and-multilingual,True
Optional,Optional,"A complete application includes: Application for Admission, $50 Application Fee, Official High School Transcript or GED certificate.",,True,False,True,False,False,,,program,Environmental Solutions,https://www.evergreen.edu/academics/undergraduate-studies/environmental-solutions,True
Not Required,Required,"To apply for admission as a first-year student, you’ll need: a completed admission application, a nonrefundable $50 application fee or fee waiver, official high school transcripts (or GED test results), and one essay from the list of prompts. Test scores (SAT or ACT) are optional.",Not Required,True,True,True,False,False,,,program,Environmental Studies,https://www.evergreen.edu/academics/undergraduate-studies/environmental-studies,False
,,,,True,False,False,False,False,,,program,Environmental Justice,https://www.evergreen.edu/catalog/offering/environmental-justice-social-movements-42762,False
